"plh0218","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","728","0.506536367589532","0.481150743291412","0.531921991887652"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","2592","0.536691122439328","0.522754698607511","0.550627546271145"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","239","0.562107214526975","0.516369722338463","0.607844706715487"
"1 Strongly disagree","2005","lower secondary degree","higher education","91","0.482722544710139","0.410124827708189","0.555320261712088"
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","159","0.279880313868751","0.243217536027808","0.316543091709695"
"1 Strongly disagree","2005","secondary school degree","middle vocational","1947","0.455159851759536","0.439879458399425","0.470440245119647"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","330","0.428629576586737","0.391731050993585","0.46552810217989"
"1 Strongly disagree","2005","secondary school degree","higher education","323","0.547804091470638","0.508627360313642","0.586980822627635"
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","137","0.20305345328308","0.173891998292188","0.232214908273973"
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","317","0.330963674443134","0.30110373533623","0.360823613550038"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","123","0.324571449487562","0.275165026957709","0.373977872017414"
"1 Strongly disagree","2005","college entrance qualification","higher education","1220","0.385073961579333","0.368110309321509","0.402037613837157"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","169","0.584478049790336","0.531145511067911","0.637810588512761"
"1 Strongly disagree","2005","Other degree","middle vocational","204","0.556414666290021","0.506853409318285","0.605975923261756"
"1 Strongly disagree","2005","Other degree","vocational + Abi","67","0.592619696741752","0.505072254904972","0.680167138578531"
"1 Strongly disagree","2005","Other degree","higher vocational","31","0.526156374276781","0.392980317842565","0.659332430710996"
"1 Strongly disagree","2005","Other degree","higher education","102","0.52767333521669","0.456119800259972","0.599226870173409"
