"plh0218","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","2561","0.394489709818912","0.382696811905296","0.406282607732527","1"
"1 Strongly disagree","2005","Urban Area","Female","3374","0.481812675089897","0.470292699284956","0.493332650894838","1"
"1 Strongly disagree","2005","Rural Area","Male","1429","0.44589235059208","0.428889382749753","0.462895318434406","1"
"1 Strongly disagree","2005","Rural Area","Female","1765","0.510384689515775","0.493933632378859","0.526835746652691","1"
"2 on scale 1-7 ","2005","Urban Area","Female","1785","0.233644878178508","0.223889093005702","0.243400663351313","2"
"2 on scale 1-7 ","2005","Rural Area","Male","795","0.22975861960158","0.215368580309791","0.244148658893368","2"
"2 on scale 1-7 ","2005","Rural Area","Female","873","0.237095431044536","0.223099100282774","0.251091761806297","2"
"2 on scale 1-7 ","2005","Urban Area","Male","1578","0.234212760150843","0.223993927798838","0.244431592502849","2"
"3 on scale 1-7 ","2005","Urban Area","Female","756","0.103311798647927","0.0962945841392278","0.110329013156626","3"
"3 on scale 1-7 ","2005","Rural Area","Male","396","0.107802478087119","0.0971938914351874","0.118411064739051","3"
"3 on scale 1-7 ","2005","Rural Area","Female","339","0.0915578332993018","0.0820667913634941","0.10104887523511","3"
"3 on scale 1-7 ","2005","Urban Area","Male","768","0.117809672065474","0.110030855059854","0.125588489071094","3"
"4 on scale 1-7","2005","Rural Area","Female","234","0.0661785218244111","0.0579974923502451","0.0743595512985771","4"
"4 on scale 1-7","2005","Urban Area","Female","630","0.0854834308943376","0.0790372004781383","0.0919296613105368","4"
"4 on scale 1-7","2005","Rural Area","Male","291","0.0926505308372296","0.0827325354866546","0.102568526187805","4"
"4 on scale 1-7","2005","Urban Area","Male","735","0.109131924621782","0.101608344667499","0.116655504576065","4"
"5 on scale 1-7","2005","Rural Area","Male","214","0.0680719383037504","0.0594562911847837","0.076687585422717","5"
"5 on scale 1-7","2005","Urban Area","Female","401","0.0562022648206478","0.0508923758811068","0.0615121537601889","5"
"5 on scale 1-7","2005","Urban Area","Male","537","0.0803917568547735","0.0738310728114845","0.0869524408980626","5"
"5 on scale 1-7","2005","Rural Area","Female","185","0.0527680800283603","0.0454105625009593","0.0601255975557614","5"
