"plh0218","year","migback","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","Male","2346","0.194530443881716","0.187610009437406","0.201450878326026"
"1 Strongly disagree","2005","no migration background","West Germany","Female","2950","0.242360083044014","0.234868441743087","0.24985172434494"
"1 Strongly disagree","2005","no migration background","East Germany","Male","1018","0.211544979608692","0.200111048722697","0.222978910494686"
"1 Strongly disagree","2005","no migration background","East Germany","Female","1356","0.279582880890818","0.267018154387196","0.29214760739444"
"1 Strongly disagree","2005","direct migration background","West Germany","Male","493","0.231417774970569","0.214022566125645","0.248812983815493"
"1 Strongly disagree","2005","direct migration background","West Germany","Female","635","0.284199279381306","0.265595821555698","0.302802737206914"
"1 Strongly disagree","2005","direct migration background","East Germany","Male","","","",""
"1 Strongly disagree","2005","direct migration background","East Germany","Female","32","0.296372789258899","0.206869588237461","0.385875990280337"
"1 Strongly disagree","2005","indirect migration background","West Germany","Male","106","0.122937914631832","0.100083527113809","0.145792302149855"
"1 Strongly disagree","2005","indirect migration background","West Germany","Female","161","0.188536808482159","0.161313306877081","0.215760310087236"
"1 Strongly disagree","2005","indirect migration background","East Germany","Male","","","",""
"1 Strongly disagree","2005","indirect migration background","East Germany","Female","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","Male","1453","0.115826719271946","0.110231874056985","0.121421564486907"
"2 on scale 1-7 ","2005","no migration background","West Germany","Female","1642","0.124917244732788","0.119136939582275","0.1306975498833"
"2 on scale 1-7 ","2005","no migration background","East Germany","Male","571","0.117647982544009","0.10862772529516","0.126668239792858"
"2 on scale 1-7 ","2005","no migration background","East Germany","Female","627","0.112169524787761","0.103334491219946","0.121004558355576"
"2 on scale 1-7 ","2005","direct migration background","West Germany","Male","255","0.0930833512787005","0.081099240500437","0.105067462056964"
"2 on scale 1-7 ","2005","direct migration background","West Germany","Female","276","0.111939510222281","0.0989348473656915","0.124944173078871"
"2 on scale 1-7 ","2005","direct migration background","East Germany","Male","","","",""
"2 on scale 1-7 ","2005","direct migration background","East Germany","Female","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","Male","82","0.110831178398762","0.0889820264110813","0.132680330386444"
"2 on scale 1-7 ","2005","indirect migration background","West Germany","Female","96","0.121203086870431","0.0984880942974825","0.143918079443379"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","Male","","","",""
"2 on scale 1-7 ","2005","indirect migration background","East Germany","Female","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","Male","701","0.0555886207394941","0.0515828272175516","0.0595944142614367"
"3 on scale 1-7 ","2005","no migration background","West Germany","Female","717","0.0526367102020258","0.0487326397167864","0.0565407806872652"
"3 on scale 1-7 ","2005","no migration background","East Germany","Male","280","0.0550705296586466","0.0486839980867132","0.06145706123058"
"3 on scale 1-7 ","2005","no migration background","East Germany","Female","207","0.0446918927628877","0.0389070461833435","0.050476739342432"
"3 on scale 1-7 ","2005","direct migration background","West Germany","Male","120","0.0543505282318446","0.0449996349831778","0.0637014214805114"
"3 on scale 1-7 ","2005","direct migration background","West Germany","Female","110","0.046811554049662","0.0380988685739198","0.0555242395254043"
"3 on scale 1-7 ","2005","direct migration background","East Germany","Male","","","",""
"3 on scale 1-7 ","2005","direct migration background","East Germany","Female","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","Male","55","0.0664188382616033","0.0490874570551811","0.0837502194680255"
"3 on scale 1-7 ","2005","indirect migration background","West Germany","Female","49","0.060848811071137","0.0442106508489166","0.0774869712933574"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","Male","","","",""
"3 on scale 1-7 ","2005","indirect migration background","East Germany","Female","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","Male","652","0.0511638489065741","0.0473117962033182","0.05501590160983"
"4 on scale 1-7","2005","no migration background","West Germany","Female","567","0.0439888043783807","0.0404035698272477","0.0475740389295138"
"4 on scale 1-7","2005","no migration background","East Germany","Male","213","0.0473411841147745","0.0413956073142449","0.0532867609153042"
"4 on scale 1-7","2005","no migration background","East Germany","Female","156","0.0300010486772152","0.0252251006734056","0.0347769966810248"
"4 on scale 1-7","2005","direct migration background","West Germany","Male","95","0.0428646707714789","0.0345101307864023","0.0512192107565555"
"4 on scale 1-7","2005","direct migration background","West Germany","Female","87","0.0344739326984867","0.026948810813375","0.0419990545835984"
"4 on scale 1-7","2005","direct migration background","East Germany","Male","","","",""
"4 on scale 1-7","2005","direct migration background","East Germany","Female","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","Male","60","0.0800195463217236","0.061135335515222","0.0989037571282251"
"4 on scale 1-7","2005","indirect migration background","West Germany","Female","50","0.0599621068634415","0.0434378240386669","0.0764863896882162"
"4 on scale 1-7","2005","indirect migration background","East Germany","Male","","","",""
"4 on scale 1-7","2005","indirect migration background","East Germany","Female","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","Male","502","0.039185728996958","0.0357933943119886","0.0425780636819275"
"5 on scale 1-7","2005","no migration background","West Germany","Female","389","0.0288546138368011","0.02592800443224","0.0317812232413621"
"5 on scale 1-7","2005","no migration background","East Germany","Male","160","0.0386157925569686","0.0332214725310778","0.0440101125828594"
"5 on scale 1-7","2005","no migration background","East Germany","Female","112","0.0195640079627708","0.0156865751769369","0.0234414407486048"
"5 on scale 1-7","2005","direct migration background","West Germany","Male","44","0.0211550339913283","0.0152196346822554","0.0270904333004013"
"5 on scale 1-7","2005","direct migration background","West Germany","Female","52","0.0338587454822158","0.0263986932689498","0.0413187976954817"
"5 on scale 1-7","2005","direct migration background","East Germany","Male","","","",""
"5 on scale 1-7","2005","direct migration background","East Germany","Female","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","Male","41","0.0526616736387101","0.0371159343541994","0.0682074129232207"
"5 on scale 1-7","2005","indirect migration background","West Germany","Female","31","0.0445554250184043","0.0301950909814857","0.0589157590553229"
"5 on scale 1-7","2005","indirect migration background","East Germany","Male","","","",""
"5 on scale 1-7","2005","indirect migration background","East Germany","Female","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","Male","252","0.0199220884737716","0.0174791488261504","0.0223650281213927"
"6 on scale 1-7","2005","no migration background","West Germany","Female","201","0.0134394138583339","0.011426305975085","0.0154525217415829"
"6 on scale 1-7","2005","no migration background","East Germany","Male","87","0.0192175057660938","0.0153738843672186","0.0230611271649689"
"6 on scale 1-7","2005","no migration background","East Germany","Female","61","0.0128081170225917","0.00966001229815978","0.0159562217470237"
"6 on scale 1-7","2005","direct migration background","West Germany","Male","38","0.0208355132852878","0.0149441466485811","0.0267268799219946"
"6 on scale 1-7","2005","direct migration background","West Germany","Female","","","",""
"6 on scale 1-7","2005","direct migration background","East Germany","Male","","","",""
"6 on scale 1-7","2005","direct migration background","East Germany","Female","","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","Male","","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","Female","","","",""
"6 on scale 1-7","2005","indirect migration background","East Germany","Male","","","",""
"6 on scale 1-7","2005","indirect migration background","East Germany","Female","","","",""
"7 Strongly agree","2005","no migration background","West Germany","Male","104","0.00903014921452503","0.00737631227022228","0.0106839861588278"
"7 Strongly agree","2005","no migration background","West Germany","Female","92","0.00855553046267196","0.00694535696841733","0.0101657039569266"
"7 Strongly agree","2005","no migration background","East Germany","Male","30","0.00628528032299911","0.00407270060402455","0.00849786004197366"
"7 Strongly agree","2005","no migration background","East Germany","Female","","","",""
"7 Strongly agree","2005","direct migration background","West Germany","Male","","","",""
"7 Strongly agree","2005","direct migration background","West Germany","Female","","","",""
"7 Strongly agree","2005","direct migration background","East Germany","Male","","","",""
"7 Strongly agree","2005","direct migration background","East Germany","Female","","","",""
"7 Strongly agree","2005","indirect migration background","West Germany","Male","","","",""
