"plh0218","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","West Germany","2536","0.463921787191421","0.451008252224995","0.476835322157846","1"
"1 Strongly disagree","2005","Not Employed","East Germany","1045","0.510196683519796","0.488811078172249","0.531582288867342","1"
"1 Strongly disagree","2005","Employed","West Germany","4155","0.430276924157643","0.420519035055396","0.440034813259889","1"
"1 Strongly disagree","2005","Employed","East Germany","1393","0.47054850161039","0.452497080154429","0.48859992306635","1"
"2 on scale 1-7 ","2005","Not Employed","East Germany","469","0.207854975930006","0.190495986694732","0.225213965165281","2"
"2 on scale 1-7 ","2005","Employed","West Germany","2516","0.246942451415385","0.238443567332832","0.255441335497937","2"
"2 on scale 1-7 ","2005","Employed","East Germany","758","0.24737114684527","0.231766243938818","0.262976049751722","2"
"2 on scale 1-7 ","2005","Not Employed","West Germany","1288","0.215753016964551","0.205101448899901","0.226404585029201","2"
"3 on scale 1-7 ","2005","Not Employed","East Germany","216","0.107032867872056","0.0938071824150587","0.120258553329052","3"
"3 on scale 1-7 ","2005","Employed","West Germany","1142","0.114519505910697","0.108243560210566","0.120795451610829","3"
"3 on scale 1-7 ","2005","Employed","East Germany","291","0.0984079713899347","0.0876354766921283","0.109180466087741","3"
"3 on scale 1-7 ","2005","Not Employed","West Germany","610","0.0977281226361964","0.0900388162064121","0.105417429065981","3"
"4 on scale 1-7","2005","Employed","East Germany","219","0.0778231469456399","0.0681346229208753","0.0875116709704045","4"
"4 on scale 1-7","2005","Not Employed","East Germany","160","0.0780722151256395","0.0665949457582593","0.0895494844930197","4"
"4 on scale 1-7","2005","Employed","West Germany","936","0.089741293387351","0.0841084389523996","0.0953741478223025","4"
"4 on scale 1-7","2005","Not Employed","West Germany","575","0.101849991995946","0.0940181553853259","0.109681828606567","4"
"5 on scale 1-7","2005","Employed","West Germany","688","0.06878377327672","0.0637958678447091","0.0737716787087308","5"
"5 on scale 1-7","2005","Not Employed","East Germany","109","0.0485873185779155","0.0393894371715653","0.0577851999842657","5"
"5 on scale 1-7","2005","Not Employed","West Germany","371","0.0651074928593652","0.0587189030348175","0.0714960826839129","5"
"5 on scale 1-7","2005","Employed","East Germany","169","0.065126835962048","0.0562029820064757","0.0740506899176203","5"
"6 on scale 1-7","2005","Employed","West Germany","334","0.0357608391123716","0.0321011332777645","0.0394205449469787","6"
"6 on scale 1-7","2005","Employed","East Germany","83","0.033204503897748","0.026724699071438","0.039684308724058","6"
"6 on scale 1-7","2005","Not Employed","East Germany","69","0.031833572116596","0.0243232326333776","0.0393439115998144","6"
"6 on scale 1-7","2005","Not Employed","West Germany","220","0.0321640140469353","0.0275952925545363","0.0367327355393342","6"
"7 Strongly agree","2005","Employed","East Germany","24","","","","7"
