"plh0218","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","West Germany","5296","0.43689052692573","0.428218956895428","0.445562096956032","1"
"1 Strongly disagree","2005","no migration background","East Germany","2374","0.49112786049951","0.477131750003551","0.505123970995468","1"
"1 Strongly disagree","2005","direct migration background","West Germany","1128","0.515617054351875","0.495003913021919","0.536230195681832","1"
"1 Strongly disagree","2005","direct migration background","East Germany","56","0.460713035064181","0.363017817905064","0.558408252223298","1"
"1 Strongly disagree","2005","indirect migration background","West Germany","267","0.311474723113991","0.27924305029981","0.343706395928172","1"
"1 Strongly disagree","2005","indirect migration background","East Germany","8","","","","1"
"2 on scale 1-7 ","2005","direct migration background","West Germany","531","0.205022861500982","0.188370931086412","0.221674791915551","2"
"2 on scale 1-7 ","2005","no migration background","West Germany","3095","0.240743964004734","0.233269383303995","0.248218544705473","2"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","6","","","","2"
"2 on scale 1-7 ","2005","no migration background","East Germany","1198","0.229817507331771","0.218038895333641","0.2415961193299","2"
"2 on scale 1-7 ","2005","direct migration background","East Germany","23","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","West Germany","178","0.232034265269193","0.202653812749744","0.261414717788642","2"
"3 on scale 1-7 ","2005","indirect migration background","West Germany","104","0.12726764933274","0.10407175903753","0.15046353962795","3"
"3 on scale 1-7 ","2005","no migration background","West Germany","1418","0.10822533094152","0.102793990417008","0.113656671466032","3"
"3 on scale 1-7 ","2005","direct migration background","East Germany","12","","","","3"
"3 on scale 1-7 ","2005","direct migration background","West Germany","230","0.101162082281507","0.0887245077924867","0.113599656770527","3"
"3 on scale 1-7 ","2005","no migration background","East Germany","487","0.0997624224215343","0.0913723095880427","0.108152535255026","3"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","8","","","","3"
"4 on scale 1-7","2005","indirect migration background","East Germany","6","","","","4"
"4 on scale 1-7","2005","no migration background","East Germany","369","0.0773422327919897","0.0698633898396592","0.0848210757443202","4"
"4 on scale 1-7","2005","direct migration background","West Germany","182","0.0773386034699656","0.0663205351688315","0.0883566717710997","4"
"4 on scale 1-7","2005","indirect migration background","West Germany","110","0.139981653185165","0.115832555150103","0.164130751220227","4"
"4 on scale 1-7","2005","no migration background","West Germany","1219","0.0951526532849548","0.0900227034873364","0.100282603082573","4"
"4 on scale 1-7","2005","direct migration background","East Germany","4","","","","4"
"5 on scale 1-7","2005","indirect migration background","East Germany","3","","","","5"
"5 on scale 1-7","2005","direct migration background","East Germany","3","","","","5"
"5 on scale 1-7","2005","indirect migration background","West Germany","72","0.0972170986571144","0.0765977715782816","0.117836425735947","5"
"5 on scale 1-7","2005","no migration background","West Germany","891","0.0680403428337591","0.0636378687497997","0.0724428169177185","5"
"5 on scale 1-7","2005","no migration background","East Germany","272","0.0581798005197394","0.0516262620364306","0.0647333390030482","5"
"5 on scale 1-7","2005","direct migration background","West Germany","96","0.0550137794735441","0.0456093035002195","0.0644182554468688","5"
"6 on scale 1-7","2005","indirect migration background","East Germany","2","","","","6"
"6 on scale 1-7","2005","direct migration background","West Germany","61","0.0327493992781308","0.0254083642665662","0.0400904342896954","6"
"6 on scale 1-7","2005","indirect migration background","West Germany","40","0.0574967514012506","0.0412945293823505","0.0736989734201508","6"
"6 on scale 1-7","2005","no migration background","West Germany","453","0.0333615023321055","0.0302219346601613","0.0365010700040497","6"
"6 on scale 1-7","2005","direct migration background","East Germany","2","","","","6"
"6 on scale 1-7","2005","no migration background","East Germany","148","0.0320256227886855","0.0270963090306666","0.0369549365467044","6"
"7 Strongly agree","2005","indirect migration background","East Germany","2","","","","7"
"7 Strongly agree","2005","indirect migration background","West Germany","22","","","","7"
