"pli0098_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","Male","15","","",""
"Daily","1990","lower secondary degree","Female","26","","",""
"Daily","1990","secondary school degree","Male","","","",""
"Daily","1990","secondary school degree","Female","3","","",""
"Daily","1990","college entrance qualification","Male","2","","",""
"Daily","1990","college entrance qualification","Female","3","","",""
"Daily","1990","Other degree","Male","11","","",""
"Daily","1990","Other degree","Female","4","","",""
"Daily","1990","no degree/no degree yet","Male","7","","",""
"Daily","1990","no degree/no degree yet","Female","6","","",""
"Min 1x per week","1990","lower secondary degree","Male","275","0.107931176447976","0.0966727399249558","0.119189612970995"
"Min 1x per week","1990","lower secondary degree","Female","436","0.153235507415671","0.140978881681153","0.16549213315019"
"Min 1x per week","1990","secondary school degree","Male","113","0.0750835780797039","0.0623488737712351","0.0878182823881727"
"Min 1x per week","1990","secondary school degree","Female","192","0.114940718632451","0.101110245346764","0.128771191918137"
"Min 1x per week","1990","college entrance qualification","Male","111","0.115003191498593","0.0956141107182969","0.134392272278889"
"Min 1x per week","1990","college entrance qualification","Female","78","0.138072175222476","0.112257030325253","0.163887320119698"
"Min 1x per week","1990","Other degree","Male","99","0.161264874707382","0.132385593806629","0.190144155608135"
"Min 1x per week","1990","Other degree","Female","71","0.140018088388612","0.107520751984567","0.172515424792658"
"Min 1x per week","1990","no degree/no degree yet","Male","64","0.144262374502025","0.109830160623584","0.178694588380467"
"Min 1x per week","1990","no degree/no degree yet","Female","87","0.142789684581547","0.111327172333628","0.174252196829465"
"Min 1x per month","1990","lower secondary degree","Male","250","0.0914953270862696","0.081034440660075","0.101956213512464"
"Min 1x per month","1990","lower secondary degree","Female","397","0.134781082464737","0.123161584253849","0.146400580675624"
"Min 1x per month","1990","secondary school degree","Male","84","0.0634685404136364","0.0516869049613319","0.0752501758659408"
"Min 1x per month","1990","secondary school degree","Female","184","0.108192824129036","0.0947234127386191","0.121662235519454"
"Min 1x per month","1990","college entrance qualification","Male","75","0.0779681719483286","0.0616728459305394","0.0942634979661179"
"Min 1x per month","1990","college entrance qualification","Female","62","0.0869806384338339","0.0658925447463222","0.108068732121346"
"Min 1x per month","1990","Other degree","Male","76","0.0997548039340547","0.0762232079335075","0.123286399934602"
"Min 1x per month","1990","Other degree","Female","55","0.0978580570917555","0.0700323142237577","0.125683799959753"
"Min 1x per month","1990","no degree/no degree yet","Male","54","0.0993911686509453","0.0700714300145565","0.128710907287334"
"Min 1x per month","1990","no degree/no degree yet","Female","67","0.146889263279197","0.115054691203214","0.17872383535518"
"Rarely","1990","lower secondary degree","Male","844","0.303036787099776","0.286362086239313","0.31971148796024"
"Rarely","1990","lower secondary degree","Female","958","0.292894204724496","0.27740933742823","0.308379072020762"
