"pli0098_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","lower secondary degree","26","","",""
"Daily","1990","Not Employed","secondary school degree","","","",""
"Daily","1990","Not Employed","college entrance qualification","1","","",""
"Daily","1990","Not Employed","Other degree","3","","",""
"Daily","1990","Not Employed","no degree/no degree yet","7","","",""
"Daily","1990","Employed","lower secondary degree","15","","",""
"Daily","1990","Employed","secondary school degree","3","","",""
"Daily","1990","Employed","college entrance qualification","4","","",""
"Daily","1990","Employed","Other degree","12","","",""
"Daily","1990","Employed","no degree/no degree yet","6","","",""
"Min 1x per week","1990","Not Employed","lower secondary degree","359","0.205358868481689","0.186676274455815","0.224041462507563"
"Min 1x per week","1990","Not Employed","secondary school degree","94","0.200949811869009","0.164331357752184","0.237568265985835"
"Min 1x per week","1990","Not Employed","college entrance qualification","58","0.188573462066516","0.145444456902118","0.231702467230915"
"Min 1x per week","1990","Not Employed","Other degree","48","0.151833985927817","0.107701726498721","0.195966245356913"
"Min 1x per week","1990","Not Employed","no degree/no degree yet","96","0.175595426874585","0.139337355126446","0.211853498622723"
"Min 1x per week","1990","Employed","lower secondary degree","303","0.106412650166912","0.0948538176359452","0.117971482697878"
"Min 1x per week","1990","Employed","secondary school degree","128","0.0916612997271186","0.0754765058204752","0.107846093633762"
"Min 1x per week","1990","Employed","college entrance qualification","106","0.115773856774805","0.0947061067698383","0.136841606779772"
"Min 1x per week","1990","Employed","Other degree","119","0.168882805707414","0.142070058686329","0.195695552728498"
"Min 1x per week","1990","Employed","no degree/no degree yet","51","0.0925524589590834","0.0643974524986202","0.120707465419547"
"Min 1x per month","1990","Not Employed","lower secondary degree","239","0.143389663406011","0.127181063478191","0.159598263333832"
"Min 1x per month","1990","Not Employed","secondary school degree","74","0.168248149171366","0.134062706274841","0.202433592067892"
"Min 1x per month","1990","Not Employed","college entrance qualification","28","","",""
"Min 1x per month","1990","Not Employed","Other degree","30","0.100250351375306","0.0633156129793957","0.137185089771216"
