"pli0098_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","8","","",""
"Daily","1990","lower secondary degree","(Married) couple without C. ","8","","",""
"Daily","1990","lower secondary degree","Single parent ","","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","4","","",""
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","10","","",""
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","5","","",""
"Daily","1990","secondary school degree","1-pers.-HH","1","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","1","","",""
"Daily","1990","secondary school degree","Single parent ","","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","","","",""
"Daily","1990","secondary school degree","Couple + C. GT 16 ","1","","",""
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","5","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","","","",""
"Daily","1990","college entrance qualification","Single parent ","","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Daily","1990","Other degree","1-pers.-HH","","","",""
"Daily","1990","Other degree","(Married) couple without C. ","3","","",""
"Daily","1990","Other degree","Single parent ","1","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","3","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","5","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Daily","1990","no degree/no degree yet","Single parent ","","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","5","","",""
"Daily","1990","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE and GT 16","3","","",""
"Min 1x per week","1990","lower secondary degree","1-pers.-HH","91","0.146479469487851","0.121123328650549","0.171835610325154"
"Min 1x per week","1990","lower secondary degree","(Married) couple without C. ","193","0.12147262792389","0.106864274384752","0.136080981463028"
"Min 1x per week","1990","lower secondary degree","Single parent ","24","","",""
"Min 1x per week","1990","lower secondary degree","Couple + C. LE 16 ","94","0.085001378378024","0.0686903472346122","0.101312409521436"
"Min 1x per week","1990","lower secondary degree","Couple + C. GT 16 ","178","0.164788345841535","0.144496240923734","0.185080450759337"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE and GT 16","51","0.13416603458514","0.101053723948638","0.167278345221643"
"Min 1x per week","1990","secondary school degree","1-pers.-HH","29","","",""
"Min 1x per week","1990","secondary school degree","(Married) couple without C. ","64","0.102669055131657","0.0792811105703816","0.126056999692933"
"Min 1x per week","1990","secondary school degree","Single parent ","12","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. LE 16 ","83","0.0707858961823531","0.0571252883838994","0.0844465039808067"
"Min 1x per week","1990","secondary school degree","Couple + C. GT 16 ","63","0.0983021430372575","0.0764642368105289","0.120140049263986"
"Min 1x per week","1990","secondary school degree","Couple + C. LE and GT 16","41","0.171743611140588","0.129960707757386","0.213526514523789"
"Min 1x per week","1990","college entrance qualification","1-pers.-HH","29","","",""
"Min 1x per week","1990","college entrance qualification","(Married) couple without C. ","32","0.0887970489888932","0.0598913519595222","0.117702746018264"
"Min 1x per week","1990","college entrance qualification","Single parent ","8","","",""
"Min 1x per week","1990","college entrance qualification","Couple + C. LE 16 ","51","0.118623309411054","0.090751278315894","0.146495340506214"
"Min 1x per week","1990","college entrance qualification","Couple + C. GT 16 ","45","0.142688119862777","0.106856134085329","0.178520105640226"
"Min 1x per week","1990","college entrance qualification","Couple + C. LE and GT 16","14","","",""
"Min 1x per week","1990","Other degree","1-pers.-HH","11","","",""
"Min 1x per week","1990","Other degree","(Married) couple without C. ","28","","",""
"Min 1x per week","1990","Other degree","Single parent ","3","","",""
