"pli0098_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","","","",""
"Daily","1990","lower secondary degree","middle vocational","","","",""
"Daily","1990","lower secondary degree","vocational + Abi","","","",""
"Daily","1990","lower secondary degree","higher vocational","","","",""
"Daily","1990","lower secondary degree","higher education","","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","","","",""
"Daily","1990","secondary school degree","middle vocational","","","",""
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","","","",""
"Daily","1990","secondary school degree","higher education","","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","","","",""
"Daily","1990","college entrance qualification","vocational + Abi","","","",""
"Daily","1990","college entrance qualification","higher vocational","","","",""
"Daily","1990","college entrance qualification","higher education","","","",""
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","","","",""
"Daily","1990","Other degree","general elemantary","","","",""
"Daily","1990","Other degree","middle vocational","","","",""
"Daily","1990","Other degree","vocational + Abi","","","",""
"Daily","1990","Other degree","higher vocational","","","",""
"Daily","1990","Other degree","higher education","","","",""
"Daily","1990","no degree/no degree yet","in school","","","",""
"Daily","1990","no degree/no degree yet","inadequately","","","",""
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","291","0.171246917364773","0.154303166063155","0.188190668666391"
"Min 1x per week","1990","lower secondary degree","middle vocational","377","0.113274297918779","0.103318725700231","0.123229870137327"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","40","0.154200098817865","0.114693311366307","0.193706886269422"
"Min 1x per week","1990","lower secondary degree","higher education","","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","60","0.127290909534264","0.0991271648956828","0.155454654172845"
"Min 1x per week","1990","secondary school degree","middle vocational","186","0.0957103142198065","0.0837184325115535","0.107702195928059"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","30","0.100781131127734","0.0674309465296112","0.134131315725856"
"Min 1x per week","1990","secondary school degree","higher education","","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
"Min 1x per week","1990","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1990","college entrance qualification","middle vocational","39","0.121692420597424","0.0862033708265093","0.157181470368339"
"Min 1x per week","1990","college entrance qualification","vocational + Abi","31","0.109223372699199","0.0736893452419672","0.14475740015643"
"Min 1x per week","1990","college entrance qualification","higher vocational","","","",""
