"pli0098_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","in school","","","",""
"Daily","1990","no migration background","inadequately","","","",""
"Daily","1990","no migration background","general elemantary","","","",""
"Daily","1990","no migration background","middle vocational","","","",""
"Daily","1990","no migration background","vocational + Abi","","","",""
"Daily","1990","no migration background","higher vocational","","","",""
"Daily","1990","no migration background","higher education","","","",""
"Daily","1990","direct migration background","in school","","","",""
"Daily","1990","direct migration background","inadequately","","","",""
"Daily","1990","direct migration background","general elemantary","","","",""
"Daily","1990","direct migration background","middle vocational","","","",""
"Daily","1990","direct migration background","vocational + Abi","","","",""
"Daily","1990","direct migration background","higher vocational","","","",""
"Daily","1990","direct migration background","higher education","","","",""
"Daily","1990","indirect migration background","in school","","","",""
"Daily","1990","indirect migration background","inadequately","","","",""
"Daily","1990","indirect migration background","general elemantary","","","",""
"Daily","1990","indirect migration background","middle vocational","","","",""
"Daily","1990","indirect migration background","vocational + Abi","","","",""
"Daily","1990","indirect migration background","higher vocational","","","",""
"Daily","1990","indirect migration background","higher education","","","",""
"Min 1x per week","1990","no migration background","in school","","","",""
"Min 1x per week","1990","no migration background","inadequately","","","",""
"Min 1x per week","1990","no migration background","general elemantary","286","0.159536632357451","0.143472494323021","0.175600770391881"
"Min 1x per week","1990","no migration background","middle vocational","548","0.107968263548462","0.100157906289677","0.115778620807246"
"Min 1x per week","1990","no migration background","vocational + Abi","","","",""
"Min 1x per week","1990","no migration background","higher vocational","78","0.134067710539317","0.108826909434684","0.159308511643949"
"Min 1x per week","1990","no migration background","higher education","130","0.105906257799583","0.0905573745773402","0.121255141021826"
"Min 1x per week","1990","direct migration background","in school","","","",""
"Min 1x per week","1990","direct migration background","inadequately","111","0.180432350368372","0.148265278772351","0.212599421964392"
"Min 1x per week","1990","direct migration background","general elemantary","141","0.187362782992343","0.16134434392986","0.213381222054827"
"Min 1x per week","1990","direct migration background","middle vocational","120","0.120034282009514","0.0983884306883542","0.141680133330673"
"Min 1x per week","1990","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1990","direct migration background","higher vocational","","","",""
"Min 1x per week","1990","direct migration background","higher education","","","",""
"Min 1x per week","1990","indirect migration background","in school","","","",""
"Min 1x per week","1990","indirect migration background","inadequately","","","",""
"Min 1x per week","1990","indirect migration background","general elemantary","","","",""
"Min 1x per week","1990","indirect migration background","middle vocational","","","",""
"Min 1x per week","1990","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1990","indirect migration background","higher vocational","","","",""
"Min 1x per week","1990","indirect migration background","higher education","","","",""
"Min 1x per month","1990","no migration background","in school","","","",""
"Min 1x per month","1990","no migration background","inadequately","","","",""
"Min 1x per month","1990","no migration background","general elemantary","222","0.123822927067799","0.109373045154435","0.138272808981163"
"Min 1x per month","1990","no migration background","middle vocational","518","0.0996127095854453","0.0920756015012598","0.107149817669631"
"Min 1x per month","1990","no migration background","vocational + Abi","","","",""
"Min 1x per month","1990","no migration background","higher vocational","64","0.0949860586731967","0.0732662177836859","0.116705899562707"
"Min 1x per month","1990","no migration background","higher education","105","0.0839220216586271","0.0700918161565084","0.0977522271607457"
"Min 1x per month","1990","direct migration background","in school","","","",""
"Min 1x per month","1990","direct migration background","inadequately","79","0.116694033913073","0.0898380030614052","0.143550064764741"
"Min 1x per month","1990","direct migration background","general elemantary","121","0.137158401618984","0.114219745815618","0.160097057422349"
"Min 1x per month","1990","direct migration background","middle vocational","108","0.117721730127833","0.0962572559176985","0.139186204337967"
"Min 1x per month","1990","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1990","direct migration background","higher vocational","","","",""
"Min 1x per month","1990","direct migration background","higher education","","","",""
"Min 1x per month","1990","indirect migration background","in school","","","",""
"Min 1x per month","1990","indirect migration background","inadequately","","","",""
"Min 1x per month","1990","indirect migration background","general elemantary","","","",""
"Min 1x per month","1990","indirect migration background","middle vocational","","","",""
"Min 1x per month","1990","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1990","indirect migration background","higher vocational","","","",""
