"pli0098_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","in school","","","",""
"Daily","1990","Schleswig-Holstein","inadequately","","","",""
"Daily","1990","Schleswig-Holstein","general elemantary","","","",""
"Daily","1990","Schleswig-Holstein","middle vocational","","","",""
"Daily","1990","Schleswig-Holstein","vocational + Abi","","","",""
"Daily","1990","Schleswig-Holstein","higher vocational","","","",""
"Daily","1990","Schleswig-Holstein","higher education","","","",""
"Daily","1990","Hamburg","in school","","","",""
"Daily","1990","Hamburg","inadequately","","","",""
"Daily","1990","Hamburg","general elemantary","","","",""
"Daily","1990","Hamburg","middle vocational","","","",""
"Daily","1990","Hamburg","vocational + Abi","","","",""
"Daily","1990","Hamburg","higher vocational","","","",""
"Daily","1990","Hamburg","higher education","1","","",""
"Daily","1990","Lower Saxony","in school","","","",""
"Daily","1990","Lower Saxony","inadequately","","","",""
"Daily","1990","Lower Saxony","general elemantary","2","","",""
"Daily","1990","Lower Saxony","middle vocational","1","","",""
"Daily","1990","Lower Saxony","vocational + Abi","","","",""
"Daily","1990","Lower Saxony","higher vocational","","","",""
"Daily","1990","Lower Saxony","higher education","1","","",""
"Daily","1990","Bremen","in school","","","",""
"Daily","1990","Bremen","inadequately","","","",""
"Daily","1990","Bremen","general elemantary","","","",""
"Daily","1990","Bremen","middle vocational","1","","",""
"Daily","1990","Bremen","vocational + Abi","","","",""
"Daily","1990","Bremen","higher vocational","","","",""
"Daily","1990","Bremen","higher education","","","",""
"Daily","1990","North Rhine-Westphalia","in school","","","",""
"Daily","1990","North Rhine-Westphalia","inadequately","6","","",""
"Daily","1990","North Rhine-Westphalia","general elemantary","14","","",""
"Daily","1990","North Rhine-Westphalia","middle vocational","14","","",""
"Daily","1990","North Rhine-Westphalia","vocational + Abi","","","",""
"Daily","1990","North Rhine-Westphalia","higher vocational","1","","",""
"Daily","1990","North Rhine-Westphalia","higher education","3","","",""
"Daily","1990","Hesse","in school","","","",""
"Daily","1990","Hesse","inadequately","3","","",""
"Daily","1990","Hesse","general elemantary","2","","",""
"Daily","1990","Hesse","middle vocational","2","","",""
"Daily","1990","Hesse","vocational + Abi","1","","",""
"Daily","1990","Hesse","higher vocational","1","","",""
"Daily","1990","Hesse","higher education","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","in school","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","inadequately","","","",""
