"pli0098_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","","","",""
"Daily","1990","no migration background","(1a) inadequately completed","","","",""
"Daily","1990","no migration background","(1b) general elementary school","","","",""
"Daily","1990","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","","","",""
"Daily","1990","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","","","",""
"Daily","1990","direct migration background","(0) in school","","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","","","",""
"Daily","1990","direct migration background","(1b) general elementary school","","","",""
"Daily","1990","direct migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1990","indirect migration background","(0) in school","","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no migration background","(0) in school","","","",""
"Min 1x per week","1990","no migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","241","0.16788206767345","0.149358513832847","0.186405621514054"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","383","0.117909237106756","0.10771159038482","0.128106883828692"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","49","0.126584085565275","0.0959306625571007","0.15723750857345"
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","198","0.0930831019180023","0.0817006234648462","0.104465580371158"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","31","0.125655710262346","0.0864802508830736","0.164831169641619"
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","38","0.117723425688249","0.0850611748533622","0.150385676523137"
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","51","0.0757257088923679","0.0577813906158903","0.0936700271688455"
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","79","0.132254479383938","0.107318504100243","0.157190454667632"
"Min 1x per week","1990","direct migration background","(0) in school","","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","118","0.176702356044551","0.146459201253819","0.206945510835282"
"Min 1x per week","1990","direct migration background","(1b) general elementary school","137","0.195892351535503","0.168644320644044","0.223140382426962"
"Min 1x per week","1990","direct migration background","(1c) basic vocational qualification","84","0.111983590190659","0.0873200191582105","0.136647161223107"
"Min 1x per week","1990","direct migration background","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","direct migration background","(2a) intermediate vocational","","","",""
