"pli0098_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","(0) in school","","","",""
"Daily","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Daily","1990","lower secondary degree","(1b) general elementary school","","","",""
"Daily","1990","lower secondary degree","(1c) basic vocational qualification","","","",""
"Daily","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Daily","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Daily","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Daily","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Daily","1990","secondary school degree","(0) in school","","","",""
"Daily","1990","secondary school degree","(1a) inadequately completed","","","",""
"Daily","1990","secondary school degree","(1b) general elementary school","","","",""
"Daily","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Daily","1990","secondary school degree","(2b) intermediate general qualification","","","",""
"Daily","1990","secondary school degree","(2a) intermediate vocational","","","",""
"Daily","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Daily","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Daily","1990","college entrance qualification","(0) in school","","","",""
"Daily","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Daily","1990","college entrance qualification","(1b) general elementary school","","","",""
"Daily","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Daily","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Daily","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Daily","1990","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Daily","1990","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","college entrance qualification","(3a) lower tertiary education","","","",""
"Daily","1990","college entrance qualification","(3b) higher tertiary education","","","",""
"Daily","1990","Other degree","(0) in school","","","",""
"Daily","1990","Other degree","(1a) inadequately completed","","","",""
"Daily","1990","Other degree","(1b) general elementary school","","","",""
"Daily","1990","Other degree","(1c) basic vocational qualification","","","",""
"Daily","1990","Other degree","(2b) intermediate general qualification","","","",""
"Daily","1990","Other degree","(2a) intermediate vocational","","","",""
"Daily","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Other degree","(3a) lower tertiary education","","","",""
"Daily","1990","Other degree","(3b) higher tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(0) in school","","","",""
"Daily","1990","no degree/no degree yet","(1a) inadequately completed","","","",""
"Daily","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Daily","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Daily","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Daily","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Daily","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per week","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","lower secondary degree","(1b) general elementary school","291","0.171246917364773","0.154303166063155","0.188190668666391"
"Min 1x per week","1990","lower secondary degree","(1c) basic vocational qualification","417","0.116800236426683","0.10708212925299","0.126518343600375"
"Min 1x per week","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","secondary school degree","(0) in school","","","",""
"Min 1x per week","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per week","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","secondary school degree","(2b) intermediate general qualification","60","0.127290909534264","0.0991271648956828","0.155454654172845"
"Min 1x per week","1990","secondary school degree","(2a) intermediate vocational","216","0.0963335890044892","0.085040189602176","0.107626988406802"
"Min 1x per week","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per week","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per week","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per week","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","college entrance qualification","(2c_gen) general maturity certificate","39","0.121692420597424","0.0862033708265093","0.157181470368339"
"Min 1x per week","1990","college entrance qualification","(2c_voc) vocational maturity certificate","45","0.120908023406966","0.0895413283693318","0.152274718444599"
"Min 1x per week","1990","college entrance qualification","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","college entrance qualification","(3b) higher tertiary education","83","0.139179140112854","0.113482569490831","0.164875710734877"
"Min 1x per week","1990","Other degree","(0) in school","","","",""
"Min 1x per week","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","Other degree","(1b) general elementary school","96","0.167247343498694","0.136502130723597","0.197992556273791"
"Min 1x per week","1990","Other degree","(1c) basic vocational qualification","55","0.159364044489751","0.120110940033061","0.198617148946442"
"Min 1x per week","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","Other degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no degree/no degree yet","(0) in school","30","0.181739795257475","0.121799309078981","0.241680281435969"
"Min 1x per week","1990","no degree/no degree yet","(1a) inadequately completed","121","0.122875716419043","0.0988122234041519","0.146939209433934"
"Min 1x per week","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per week","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per month","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","lower secondary degree","(1b) general elementary school","228","0.135950643915479","0.120535573299658","0.1513657145313"
"Min 1x per month","1990","lower secondary degree","(1c) basic vocational qualification","408","0.106445312712559","0.0971137540409947","0.115776871384123"
"Min 1x per month","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","secondary school degree","(0) in school","","","",""
"Min 1x per month","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per month","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","secondary school degree","(2b) intermediate general qualification","45","0.0796588164940277","0.0567792228838254","0.10253841010423"
"Min 1x per month","1990","secondary school degree","(2a) intermediate vocational","198","0.0956725723325741","0.0844138703309473","0.106931274334201"
"Min 1x per month","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per month","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per month","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per month","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","college entrance qualification","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","college entrance qualification","(3b) higher tertiary education","64","0.113689814471523","0.0901238428159454","0.1372557861271"
"Min 1x per month","1990","Other degree","(0) in school","","","",""
"Min 1x per month","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","Other degree","(1b) general elementary school","83","0.110788598711781","0.0849308969939228","0.136646300429639"
"Min 1x per month","1990","Other degree","(1c) basic vocational qualification","33","0.0870662816488629","0.0568306197643981","0.117301943533328"
"Min 1x per month","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","Other degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","no degree/no degree yet","(0) in school","","","",""
"Min 1x per month","1990","no degree/no degree yet","(1a) inadequately completed","102","0.123299954717539","0.0992007870550828","0.147399122379995"
"Min 1x per month","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per month","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Rarely","1990","lower secondary degree","(0) in school","","","",""
"Rarely","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Rarely","1990","lower secondary degree","(1b) general elementary school","537","0.275091103278176","0.255006391857788","0.295175814698565"
"Rarely","1990","lower secondary degree","(1c) basic vocational qualification","1236","0.309318973614227","0.295333654053446","0.323304293175009"
"Rarely","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Rarely","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Rarely","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Rarely","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Rarely","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Rarely","1990","secondary school degree","(0) in school","","","",""
"Rarely","1990","secondary school degree","(1a) inadequately completed","","","",""
"Rarely","1990","secondary school degree","(1b) general elementary school","","","",""
"Rarely","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Rarely","1990","secondary school degree","(2b) intermediate general qualification","140","0.273698264897605","0.236023416263088","0.311373113532123"
"Rarely","1990","secondary school degree","(2a) intermediate vocational","638","0.268945275117568","0.251973055181571","0.285917495053564"
