"pli0098_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","West Germany","43","0.00679781578089793","0.00482204386631467","0.00877358769548118"
"Daily","1990","no migration background","East Germany","","","",""
"Daily","1990","direct migration background","West Germany","36","0.0113756033659204","0.00723183324159884","0.015519373490242"
"Daily","1990","direct migration background","East Germany","","","",""
"Daily","1990","indirect migration background","West Germany","","","",""
"Daily","1990","indirect migration background","East Germany","","","",""
"Min 1x per week","1990","no migration background","West Germany","941","0.142659989243535","0.134250668476327","0.151069310010744"
"Min 1x per week","1990","no migration background","East Germany","159","0.0396427152078021","0.0337501822054952","0.045535248210109"
"Min 1x per week","1990","direct migration background","West Germany","413","0.156086100836078","0.141904542416216","0.17026765925594"
"Min 1x per week","1990","direct migration background","East Germany","","","",""
"Min 1x per week","1990","indirect migration background","West Germany","32","0.134572900775223","0.0954970598554948","0.173648741694952"
"Min 1x per week","1990","indirect migration background","East Germany","","","",""
"Min 1x per month","1990","no migration background","West Germany","764","0.115592982922925","0.1079047752754","0.12328119057045"
"Min 1x per month","1990","no migration background","East Germany","189","0.0492888309797942","0.0427514699969705","0.0558261919626179"
"Min 1x per month","1990","direct migration background","West Germany","337","0.119382249444775","0.106712840075101","0.132051658814449"
"Min 1x per month","1990","direct migration background","East Germany","","","",""
"Min 1x per month","1990","indirect migration background","West Germany","31","0.114608210416258","0.0781336646946337","0.151082756137883"
"Min 1x per month","1990","indirect migration background","East Germany","","","",""
"Rarely","1990","no migration background","West Germany","2202","0.321066979619894","0.309840474827488","0.332293484412301"
"Rarely","1990","no migration background","East Germany","685","0.155485716930447","0.144542307208277","0.166429126652616"
"Rarely","1990","direct migration background","West Germany","654","0.267346825819267","0.250053460878813","0.284640190759721"
"Rarely","1990","direct migration background","East Germany","31","0.228138689600526","0.157612934553931","0.298664444647121"
"Rarely","1990","indirect migration background","West Germany","101","0.333772764118775","0.279778090540762","0.387767437696789"
"Rarely","1990","indirect migration background","East Germany","","","",""
"Never","1990","no migration background","West Germany","2694","0.413882232432747","0.402039167402469","0.425725297463026"
"Never","1990","no migration background","East Germany","3179","0.755582736881957","0.74260464449135","0.768560829272564"
"Never","1990","direct migration background","West Germany","1076","0.44580922053396","0.426387086637233","0.465231354430686"
"Never","1990","direct migration background","East Germany","90","0.637634788841799","0.55684845739281","0.718421120290788"
"Never","1990","indirect migration background","West Germany","129","0.417046124689743","0.360588393360152","0.473503856019334"
