"pli0098_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","in school","","","","","1"
"Daily","1990","1-pers.-HH","inadequately","","","","","1"
"Daily","1990","1-pers.-HH","general elemantary","6","","","","1"
"Daily","1990","1-pers.-HH","middle vocational","3","","","","1"
"Daily","1990","1-pers.-HH","vocational + Abi","","","","","1"
"Daily","1990","1-pers.-HH","higher vocational","","","","","1"
"Daily","1990","1-pers.-HH","higher education","5","","","","1"
"Daily","1990","(Married) couple without C. ","in school","","","","","1"
"Daily","1990","(Married) couple without C. ","inadequately","1","","","","1"
"Daily","1990","(Married) couple without C. ","general elemantary","9","","","","1"
"Daily","1990","(Married) couple without C. ","middle vocational","2","","","","1"
"Daily","1990","(Married) couple without C. ","vocational + Abi","","","","","1"
"Daily","1990","(Married) couple without C. ","higher vocational","1","","","","1"
"Daily","1990","(Married) couple without C. ","higher education","","","","","1"
"Daily","1990","Single parent ","in school","","","","","1"
"Daily","1990","Single parent ","inadequately","","","","","1"
"Daily","1990","Single parent ","general elemantary","1","","","","1"
"Daily","1990","Single parent ","middle vocational","","","","","1"
"Daily","1990","Single parent ","vocational + Abi","","","","","1"
"Daily","1990","Single parent ","higher vocational","","","","","1"
"Daily","1990","Single parent ","higher education","","","","","1"
"Daily","1990","Couple + C. LE 16 ","in school","","","","","1"
"Daily","1990","Couple + C. LE 16 ","inadequately","4","","","","1"
"Daily","1990","Couple + C. LE 16 ","general elemantary","2","","","","1"
"Daily","1990","Couple + C. LE 16 ","middle vocational","6","","","","1"
"Daily","1990","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher vocational","","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher education","","","","","1"
"Daily","1990","Couple + C. GT 16 ","in school","","","","","1"
"Daily","1990","Couple + C. GT 16 ","inadequately","4","","","","1"
"Daily","1990","Couple + C. GT 16 ","general elemantary","2","","","","1"
"Daily","1990","Couple + C. GT 16 ","middle vocational","9","","","","1"
"Daily","1990","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher vocational","","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher education","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","in school","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","inadequately","3","","","","1"
"Daily","1990","Couple + C. LE and GT 16","general elemantary","4","","","","1"
"Daily","1990","Couple + C. LE and GT 16","middle vocational","6","","","","1"
"Daily","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","middle vocational","62","0.149678181293733","0.116969660716934","0.182386701870533","3"
"Min 1x per month","1990","1-pers.-HH","in school","1","","","","3"
"Min 1x per month","1990","1-pers.-HH","inadequately","8","","","","3"
"Min 1x per month","1990","1-pers.-HH","general elemantary","50","0.135115103033485","0.101572810039689","0.16865739602728","3"
"Min 1x per month","1990","1-pers.-HH","middle vocational","69","0.112768565874721","0.0887277192826766","0.136809412466765","3"
"Min 1x per month","1990","1-pers.-HH","vocational + Abi","4","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher vocational","6","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher education","12","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","inadequately","15","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","general elemantary","78","0.12618453369829","0.100518690787786","0.151850376608793","3"
"Min 1x per month","1990","(Married) couple without C. ","middle vocational","147","0.08863184796563","0.0754471311306286","0.101816564800631","3"
"Min 1x per month","1990","Single parent ","in school","1","","","","3"
"Min 1x per month","1990","Single parent ","inadequately","2","","","","3"
"Min 1x per month","1990","Single parent ","general elemantary","15","","","","3"
"Min 1x per month","1990","Single parent ","middle vocational","22","","","","3"
"Min 1x per month","1990","Single parent ","vocational + Abi","1","","","","3"
"Min 1x per month","1990","Single parent ","higher vocational","1","","","","3"
"Min 1x per month","1990","Single parent ","higher education","4","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","inadequately","22","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","general elemantary","57","0.129232352023154","0.0975991624187588","0.160865541627549","3"
"Min 1x per month","1990","Couple + C. LE 16 ","middle vocational","159","0.0971823987199364","0.0839777765228664","0.110387020917006","3"
"Min 1x per month","1990","Couple + C. LE 16 ","vocational + Abi","13","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher vocational","24","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher education","35","0.0855560178108286","0.0639700230196676","0.10714201260199","3"
"Min 1x per month","1990","Couple + C. GT 16 ","in school","9","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","inadequately","22","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","general elemantary","82","0.129048123187414","0.104105548470235","0.153990697904593","3"
"Min 1x per month","1990","Couple + C. GT 16 ","middle vocational","125","0.0983677489826977","0.0829645134394835","0.113770984525912","3"
"Min 1x per month","1990","Couple + C. GT 16 ","vocational + Abi","2","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","higher vocational","6","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","higher education","14","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","in school","7","","","","3"
