"pli0098_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","34","0.00687305015695421","0.00467799234680363","0.00906810796710479"
"Daily","1990","lower secondary degree","direct migration background","7","","",""
"Daily","1990","lower secondary degree","indirect migration background","","","",""
"Daily","1990","secondary school degree","no migration background","3","","",""
"Daily","1990","secondary school degree","direct migration background","","","",""
"Daily","1990","secondary school degree","indirect migration background","","","",""
"Daily","1990","college entrance qualification","no migration background","5","","",""
"Daily","1990","college entrance qualification","direct migration background","","","",""
"Daily","1990","college entrance qualification","indirect migration background","","","",""
"Daily","1990","Other degree","no migration background","","","",""
"Daily","1990","Other degree","direct migration background","15","","",""
"Daily","1990","Other degree","indirect migration background","","","",""
"Daily","1990","no degree/no degree yet","no migration background","","","",""
"Daily","1990","no degree/no degree yet","direct migration background","13","","",""
"Daily","1990","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","616","0.131960726954054","0.122968632517974","0.140952821390133"
"Min 1x per week","1990","lower secondary degree","direct migration background","83","0.144987826616954","0.118065206380906","0.171910446853002"
"Min 1x per week","1990","lower secondary degree","indirect migration background","12","","",""
"Min 1x per week","1990","secondary school degree","no migration background","276","0.0953340368997697","0.0855444014780542","0.105123672321485"
"Min 1x per week","1990","secondary school degree","direct migration background","21","","",""
"Min 1x per week","1990","secondary school degree","indirect migration background","8","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","166","0.123769799732929","0.107433146435733","0.140106453030126"
"Min 1x per week","1990","college entrance qualification","direct migration background","20","","",""
"Min 1x per week","1990","college entrance qualification","indirect migration background","3","","",""
"Min 1x per week","1990","Other degree","no migration background","12","","",""
"Min 1x per week","1990","Other degree","direct migration background","156","0.144731344636881","0.122463849615998","0.166998839657764"
"Min 1x per week","1990","Other degree","indirect migration background","2","","",""
"Min 1x per week","1990","no degree/no degree yet","no migration background","20","","",""
"Min 1x per week","1990","no degree/no degree yet","direct migration background","124","0.185057165888587","0.154732617464389","0.215381714312786"
"Min 1x per week","1990","no degree/no degree yet","indirect migration background","7","","",""
"Min 1x per month","1990","lower secondary degree","no migration background","557","0.11485749453599","0.10638609646332","0.123328892608661"
"Min 1x per month","1990","lower secondary degree","direct migration background","79","0.12480745369086","0.0995355782245654","0.150079329157155"
"Min 1x per month","1990","lower secondary degree","indirect migration background","11","","",""
"Min 1x per month","1990","secondary school degree","no migration background","241","0.087501629716994","0.0780822453100307","0.0969210141239573"
"Min 1x per month","1990","secondary school degree","direct migration background","20","","",""
"Min 1x per month","1990","secondary school degree","indirect migration background","7","","",""
"Min 1x per month","1990","college entrance qualification","no migration background","119","0.079471543075583","0.0660540595207001","0.0928890266304658"
"Min 1x per month","1990","college entrance qualification","direct migration background","16","","",""
"Min 1x per month","1990","college entrance qualification","indirect migration background","2","","",""
"Min 1x per month","1990","Other degree","no migration background","4","","",""
"Min 1x per month","1990","Other degree","direct migration background","126","0.115247248423133","0.09503730810391","0.135457188742357"
"Min 1x per month","1990","Other degree","indirect migration background","1","","",""
"Min 1x per month","1990","no degree/no degree yet","no migration background","23","","",""
"Min 1x per month","1990","no degree/no degree yet","direct migration background","92","0.121592963797294","0.0960730066113956","0.147112920983193"
"Min 1x per month","1990","no degree/no degree yet","indirect migration background","6","","",""
