"pli0098_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1990","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1990","Hamburg","West Germany","1","","","","1"
"Daily","1990","Hamburg","East Germany","","","","","1"
"Daily","1990","Lower Saxony","West Germany","4","","","","1"
"Daily","1990","Lower Saxony","East Germany","","","","","1"
"Daily","1990","Bremen","West Germany","1","","","","1"
"Daily","1990","Bremen","East Germany","","","","","1"
"Daily","1990","North Rhine-Westphalia","West Germany","39","0.0111507246176652","0.00708544537058266","0.0152160038647477","1"
"Daily","1990","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1990","Hesse","West Germany","9","","","","1"
"Daily","1990","Hesse","East Germany","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","West Germany","1","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1990","Baden-Württemberg","West Germany","10","","","","1"
"Daily","1990","Baden-Württemberg","East Germany","","","","","1"
"Daily","1990","Bavaria","West Germany","13","","","","1"
"Daily","1990","Bavaria","East Germany","","","","","1"
"Daily","1990","Berlin","West Germany","1","","","","1"
"Daily","1990","Berlin","East Germany","","","","","1"
"Daily","1990","Brandenburg","West Germany","","","","","1"
"Daily","1990","Brandenburg","East Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1990","Saxony","West Germany","","","","","1"
"Daily","1990","Saxony","East Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1990","Thuringia","West Germany","","","","","1"
"Daily","1990","Thuringia","East Germany","","","","","1"
"Min 1x per month","1990","Hamburg","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","East Germany","75","0.0639501121305149","0.0506757705730311","0.0772244536879986","3"
"Min 1x per month","1990","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1990","Hamburg","West Germany","5","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","East Germany","21","","","","3"
"Min 1x per month","1990","Saxony","West Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","West Germany","12","","","","3"
"Min 1x per month","1990","Brandenburg","East Germany","21","","","","3"
"Min 1x per month","1990","Thuringia","East Germany","35","0.051833833581088","0.0358610310238904","0.0678066361382855","3"
"Min 1x per month","1990","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","East Germany","41","0.0582742485187184","0.0420714182567283","0.0744770787807085","3"
"Min 1x per month","1990","Thuringia","West Germany","","","","","3"
"Min 1x per month","1990","Lower Saxony","West Germany","73","0.0779937981227317","0.0611701514665336","0.0948174447789298","3"
"Min 1x per month","1990","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Bremen","West Germany","10","","","","3"
"Min 1x per month","1990","Bremen","East Germany","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","West Germany","276","0.108576585832896","0.096532221140076","0.120620950525716","3"
"Min 1x per month","1990","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1990","Hesse","West Germany","133","0.126709465406105","0.105850886581272","0.147568044230939","3"
"Min 1x per month","1990","Hesse","East Germany","","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","West Germany","83","0.13906892933082","0.112868407809796","0.165269450851843","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1990","Baden-Württemberg","West Germany","264","0.136149721456267","0.120240218993258","0.152059223919275","3"
"Min 1x per month","1990","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1990","Bavaria","West Germany","260","0.164110723650932","0.145956958356858","0.182264488945007","3"
"Min 1x per month","1990","Bavaria","East Germany","","","","","3"
"Min 1x per month","1990","Berlin","West Germany","16","","","","3"
"Min 1x per month","1990","Berlin","East Germany","6","","","","3"
"Min 1x per month","1990","Brandenburg","West Germany","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","East Germany","8","","","","2"
"Min 1x per week","1990","Saxony","West Germany","","","","","2"
"Min 1x per week","1990","Saxony","East Germany","44","0.0396672656124967","0.0290779026706344","0.050256628554359","2"
"Min 1x per week","1990","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","East Germany","31","0.0365726300116866","0.0235895448862866","0.0495557151370865","2"
"Min 1x per week","1990","Schleswig-Holstein","West Germany","10","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","East Germany","","","","","2"
"Min 1x per week","1990","Hamburg","West Germany","11","","","","2"
"Min 1x per week","1990","Hamburg","East Germany","","","","","2"
"Min 1x per week","1990","Lower Saxony","West Germany","82","0.0745529827860578","0.0580739592474876","0.0910320063246279","2"
"Min 1x per week","1990","Lower Saxony","East Germany","","","","","2"
"Min 1x per week","1990","Bremen","West Germany","5","","","","2"
"Min 1x per week","1990","Bremen","East Germany","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","West Germany","384","0.15003042645017","0.136205426145713","0.163855426754628","2"
"Min 1x per week","1990","North Rhine-Westphalia","East Germany","","","","","2"
"Min 1x per week","1990","Hesse","West Germany","112","0.106609880011383","0.0872581360612444","0.125961623961521","2"
"Min 1x per week","1990","Hesse","East Germany","","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","West Germany","119","0.182118413408679","0.152894872668989","0.211341954148368","2"
"Min 1x per week","1990","Thuringia","West Germany","","","","","2"
"Min 1x per week","1990","Thuringia","East Germany","51","0.0795351951282843","0.0600405425312619","0.0990298477253066","2"
"Min 1x per week","1990","Brandenburg","East Germany","19","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","East Germany","","","","","2"
"Min 1x per week","1990","Bavaria","West Germany","305","0.197546108303118","0.178031126881788","0.217061089724448","2"
"Min 1x per week","1990","Bavaria","East Germany","","","","","2"
"Min 1x per week","1990","Berlin","West Germany","22","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","West Germany","336","0.196921682460825","0.178473452657113","0.215369912264538","2"
"Min 1x per week","1990","Berlin","East Germany","11","","","","2"
"Min 1x per week","1990","Brandenburg","West Germany","","","","","2"
"Never","1990","Mecklenburg-Western Pomerania","East Germany","381","0.772719369354846","0.735575617126903","0.80986312158279","5"
"Never","1990","Saxony","West Germany","","","","","5"
"Never","1990","Schleswig-Holstein","East Germany","","","","","5"
"Never","1990","North Rhine-Westphalia","West Germany","1125","0.438222679908172","0.419013743706098","0.457431616110247","5"
"Never","1990","Schleswig-Holstein","West Germany","154","0.534848872726213","0.476736654345069","0.592961091107356","5"
"Never","1990","Hamburg","East Germany","","","","","5"
"Never","1990","Lower Saxony","East Germany","","","","","5"
"Never","1990","Bremen","West Germany","70","0.708692449454519","0.620945050403346","0.796439848505693","5"
"Never","1990","Bremen","East Germany","","","","","5"
"Never","1990","Saxony","East Germany","932","0.714671957315247","0.690171824738238","0.739172089892256","5"
"Never","1990","Hamburg","West Germany","111","0.695134489859845","0.625522825731207","0.764746153988483","5"
"Never","1990","Lower Saxony","West Germany","478","0.497907999500958","0.466539814897986","0.52927618410393","5"
"Never","1990","Brandenburg","East Germany","586","0.802379574100506","0.773293326921068","0.831465821279944","5"
"Never","1990","Saxony-Anhalt","West Germany","","","","","5"
"Never","1990","Saxony-Anhalt","East Germany","624","0.780935491389553","0.752327727704504","0.809543255074603","5"
"Never","1990","Thuringia","West Germany","","","","","5"
"Never","1990","Thuringia","East Germany","500","0.689244985423764","0.655900185842442","0.722589785005087","5"
"Never","1990","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Never","1990","North Rhine-Westphalia","East Germany","","","","","5"
"Never","1990","Hesse","West Germany","371","0.36834329031362","0.338097304255257","0.398589276371982","5"
"Never","1990","Hesse","East Germany","","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","West Germany","231","0.328182659553504","0.292628197716193","0.363737121390815","5"
"Never","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","1990","Baden-Württemberg","West Germany","595","0.335703110145892","0.31379586476443","0.357610355527353","5"
"Never","1990","Baden-Württemberg","East Germany","","","","","5"
"Never","1990","Bavaria","West Germany","539","0.331659127324651","0.308582685433225","0.354735569216077","5"
"Never","1990","Bavaria","East Germany","","","","","5"
"Never","1990","Berlin","West Germany","225","0.684807997874428","0.634605867363552","0.735010128385303","5"
"Never","1990","Berlin","East Germany","247","0.815607485640438","0.771203032535818","0.860011938745059","5"
"Never","1990","Brandenburg","West Germany","","","","","5"
"Rarely","1990","Saxony","West Germany","","","","","4"
"Rarely","1990","Hamburg","West Germany","40","0.232712597618665","0.168815308837427","0.296609886399903","4"
"Rarely","1990","Schleswig-Holstein","East Germany","","","","","4"
"Rarely","1990","North Rhine-Westphalia","West Germany","739","0.292019583191096","0.274416432822413","0.30962273355978","4"
"Rarely","1990","Mecklenburg-Western Pomerania","East Germany","79","0.171126996576215","0.137746182569297","0.204507810583132","4"
"Rarely","1990","Bavaria","West Germany","482","0.296540566635509","0.27415410554412","0.318927027726899","4"
"Rarely","1990","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely","1990","Hesse","West Germany","352","0.390508852244677","0.359917410039513","0.421100294449841","4"
"Rarely","1990","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Rarely","1990","Schleswig-Holstein","West Germany","107","0.377678263980333","0.321194535871058","0.434161992089607","4"
"Rarely","1990","Hamburg","East Germany","","","","","4"
"Rarely","1990","Lower Saxony","West Germany","339","0.34357161606094","0.313777843587081","0.373365388534799","4"
"Rarely","1990","Lower Saxony","East Germany","","","","","4"
"Rarely","1990","Bremen","West Germany","17","","","","4"
"Rarely","1990","Bremen","East Germany","","","","","4"
"Rarely","1990","Hesse","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","East Germany","","","","","4"
"Rarely","1990","Saxony","East Germany","254","0.181710664941742","0.160789469842764","0.202631860040719","4"
"Rarely","1990","Thuringia","East Germany","154","0.179385985866863","0.15174229983619","0.207029671897536","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","West Germany","236","0.349203096429363","0.313105983209235","0.385300209649491","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","West Germany","580","0.328053957554326","0.306273408589393","0.34983450651926","4"
"Rarely","1990","Saxony-Anhalt","West Germany","","","","","4"
"Rarely","1990","Saxony-Anhalt","East Germany","107","0.124217630080042","0.101404754223985","0.1470305059361","4"
"Rarely","1990","Thuringia","West Germany","","","","","4"
"Rarely","1990","Brandenburg","East Germany","94","0.138909677683368","0.113647403248928","0.164171952117809","4"
"Rarely","1990","Bavaria","East Germany","","","","","4"
"Rarely","1990","Berlin","West Germany","65","0.199589376905369","0.156400165410119","0.242778588400619","4"
"Rarely","1990","Berlin","East Germany","29","","","","4"
"Rarely","1990","Brandenburg","West Germany","","","","","4"
"Daily","1991","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1991","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1991","Hamburg","West Germany","","","","","1"
"Daily","1991","Hamburg","East Germany","","","","","1"
"Daily","1991","Lower Saxony","West Germany","","","","","1"
"Daily","1991","Lower Saxony","East Germany","","","","","1"
"Daily","1991","Bremen","West Germany","","","","","1"
"Daily","1991","Bremen","East Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","West Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1991","Hesse","West Germany","","","","","1"
"Daily","1991","Hesse","East Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1991","Baden-Württemberg","West Germany","","","","","1"
"Daily","1991","Baden-Württemberg","East Germany","","","","","1"
"Daily","1991","Bavaria","West Germany","","","","","1"
"Daily","1991","Bavaria","East Germany","","","","","1"
"Daily","1991","Berlin","West Germany","","","","","1"
"Daily","1991","Berlin","East Germany","","","","","1"
"Daily","1991","Brandenburg","West Germany","","","","","1"
"Daily","1991","Brandenburg","East Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1991","Saxony","West Germany","","","","","1"
"Daily","1991","Saxony","East Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1991","Thuringia","West Germany","","","","","1"
"Daily","1991","Thuringia","East Germany","","","","","1"
"Min 1x per month","1991","Saxony","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","East Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1991","Saxony","West Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","West Germany","","","","","3"
