"pli0098_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Berlin","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Berlin","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Berlin","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Brandenburg","1-pers.-HH","","","","","1"
"Daily","1990","Brandenburg","(Married) couple without C. ","","","","","1"
"Daily","1990","Brandenburg","Single parent ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Saxony","1-pers.-HH","","","","","1"
"Daily","1990","Saxony","(Married) couple without C. ","","","","","1"
"Daily","1990","Saxony","Single parent ","","","","","1"
"Daily","1990","Saxony","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Saxony","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Saxony","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Daily","1990","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Daily","1990","Saxony-Anhalt","Single parent ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Thuringia","1-pers.-HH","","","","","1"
"Daily","1990","Thuringia","(Married) couple without C. ","","","","","1"
"Daily","1990","Thuringia","Single parent ","","","","","1"
"Daily","1990","Thuringia","Couple + C. LE 16 ","","","","","1"
"Daily","1990","Thuringia","Couple + C. GT 16 ","","","","","1"
"Daily","1990","Thuringia","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","3","","","","3"
"Min 1x per month","1990","Hamburg","1-pers.-HH","1","","","","3"
"Min 1x per month","1990","Hamburg","(Married) couple without C. ","","","","","3"
"Min 1x per month","1990","Hamburg","Single parent ","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE and GT 16","2","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. LE and GT 16","4","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","1-pers.-HH","2","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","6","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Single parent ","2","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","4","","","","3"
"Min 1x per month","1990","Saxony","1-pers.-HH","9","","","","3"
"Min 1x per month","1990","Saxony","(Married) couple without C. ","17","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","4","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. LE 16 ","4","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","1-pers.-HH","3","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","(Married) couple without C. ","4","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Single parent ","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE 16 ","3","","","","3"
"Min 1x per month","1990","Brandenburg","1-pers.-HH","6","","","","3"
"Min 1x per month","1990","Brandenburg","(Married) couple without C. ","3","","","","3"
"Min 1x per month","1990","Brandenburg","Single parent ","1","","","","3"
"Min 1x per month","1990","Brandenburg","Couple + C. LE 16 ","6","","","","3"
"Min 1x per month","1990","Saxony","Single parent ","3","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. LE 16 ","17","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. GT 16 ","9","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE and GT 16","1","","","","3"
"Min 1x per month","1990","Thuringia","1-pers.-HH","1","","","","3"
"Min 1x per month","1990","Thuringia","(Married) couple without C. ","11","","","","3"
"Min 1x per month","1990","Thuringia","Single parent ","","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. LE 16 ","8","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. GT 16 ","9","","","","3"
"Min 1x per month","1990","Thuringia","Couple + C. LE and GT 16","5","","","","3"
"Min 1x per month","1990","Saxony","Couple + C. LE and GT 16","1","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","1-pers.-HH","9","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","(Married) couple without C. ","10","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Single parent ","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE 16 ","7","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. GT 16 ","11","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. GT 16 ","","","","","3"
"Min 1x per month","1990","Hamburg","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","Lower Saxony","1-pers.-HH","12","","","","3"
"Min 1x per month","1990","Lower Saxony","(Married) couple without C. ","19","","","","3"
"Min 1x per month","1990","Lower Saxony","Single parent ","4","","","","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. LE 16 ","9","","","","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. GT 16 ","14","","","","3"
"Min 1x per month","1990","Lower Saxony","Couple + C. LE and GT 16","8","","","","3"
"Min 1x per month","1990","Bremen","1-pers.-HH","3","","","","3"
"Min 1x per month","1990","Bremen","(Married) couple without C. ","2","","","","3"
"Min 1x per month","1990","Bremen","Single parent ","","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. GT 16 ","3","","","","3"
"Min 1x per month","1990","Bremen","Couple + C. LE and GT 16","2","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","1-pers.-HH","29","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","(Married) couple without C. ","60","0.0961265470836989","0.0726191194105095","0.119633974756888","3"
"Min 1x per month","1990","North Rhine-Westphalia","Single parent ","15","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE 16 ","66","0.127619375364704","0.100299287417302","0.154939463312106","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. GT 16 ","68","0.10722212380249","0.0816652454374967","0.132779002167483","3"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","23","","","","3"
"Min 1x per month","1990","Hesse","1-pers.-HH","11","","","","3"
"Min 1x per month","1990","Hesse","(Married) couple without C. ","38","0.144901185993879","0.100180986257935","0.189621385729822","3"
"Min 1x per month","1990","Hesse","Single parent ","1","","","","3"
"Min 1x per month","1990","Hesse","Couple + C. LE 16 ","40","0.160382639883229","0.112645703256438","0.208119576510019","3"
"Min 1x per month","1990","Hesse","Couple + C. GT 16 ","20","","","","3"
"Min 1x per month","1990","Hesse","Couple + C. LE and GT 16","15","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","12","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","20","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Single parent ","3","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","16","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","16","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","5","","","","3"
"Min 1x per month","1990","Baden-Württemberg","1-pers.-HH","20","","","","3"
"Min 1x per month","1990","Baden-Württemberg","(Married) couple without C. ","53","0.130398096792356","0.095852116100206","0.164944077484506","3"
"Min 1x per month","1990","Baden-Württemberg","Single parent ","4","","","","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE 16 ","82","0.190005681707351","0.15326600622387","0.226745357190833","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. GT 16 ","42","0.0799262730595288","0.0545301670247623","0.105322379094295","3"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE and GT 16","33","0.195379905762311","0.138551866377727","0.252207945146895","3"
"Min 1x per month","1990","Bavaria","1-pers.-HH","29","","","","3"
"Min 1x per month","1990","Bavaria","(Married) couple without C. ","54","0.123631416944979","0.0905362850562057","0.156726548833753","3"
"Min 1x per month","1990","Bavaria","Single parent ","13","","","","3"
"Min 1x per month","1990","Bavaria","Couple + C. LE 16 ","50","0.144146427800015","0.107243557653403","0.181049297946627","3"
"Min 1x per month","1990","Bavaria","Couple + C. GT 16 ","66","0.223670221497576","0.179951990139693","0.267388452855459","3"
"Min 1x per month","1990","Bavaria","Couple + C. LE and GT 16","28","","","","3"
"Min 1x per month","1990","Berlin","1-pers.-HH","3","","","","3"
"Min 1x per month","1990","Berlin","(Married) couple without C. ","7","","","","3"
"Min 1x per month","1990","Berlin","Single parent ","","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. LE 16 ","4","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. GT 16 ","2","","","","3"
"Min 1x per month","1990","Berlin","Couple + C. LE and GT 16","3","","","","3"
"Min 1x per week","1990","Thuringia","Couple + C. LE 16 ","19","","","","2"
"Min 1x per week","1990","Thuringia","Couple + C. GT 16 ","4","","","","2"
"Min 1x per week","1990","Thuringia","Couple + C. LE and GT 16","6","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. LE and GT 16","3","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","7","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","1","","","","2"
"Min 1x per week","1990","Saxony","1-pers.-HH","3","","","","2"
"Min 1x per week","1990","Saxony","(Married) couple without C. ","18","","","","2"
"Min 1x per week","1990","Saxony","Single parent ","1","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. LE 16 ","8","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. GT 16 ","5","","","","2"
"Min 1x per week","1990","Saxony","Couple + C. LE and GT 16","1","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","1-pers.-HH","6","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","(Married) couple without C. ","3","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Single parent ","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE 16 ","9","","","","2"
"Min 1x per week","1990","Thuringia","1-pers.-HH","1","","","","2"
"Min 1x per week","1990","Thuringia","(Married) couple without C. ","13","","","","2"
"Min 1x per week","1990","Thuringia","Single parent ","3","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","1-pers.-HH","2","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Single parent ","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE 16 ","5","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE and GT 16","1","","","","2"
"Min 1x per week","1990","Hamburg","1-pers.-HH","3","","","","2"
"Min 1x per week","1990","Hamburg","(Married) couple without C. ","1","","","","2"
"Min 1x per week","1990","Hamburg","Single parent ","","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. LE 16 ","5","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1990","Hamburg","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","Lower Saxony","1-pers.-HH","16","","","","2"
"Min 1x per week","1990","Lower Saxony","(Married) couple without C. ","17","","","","2"
"Min 1x per week","1990","Lower Saxony","Single parent ","2","","","","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. LE 16 ","12","","","","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. GT 16 ","16","","","","2"
"Min 1x per week","1990","Lower Saxony","Couple + C. LE and GT 16","12","","","","2"
"Min 1x per week","1990","Bremen","1-pers.-HH","1","","","","2"
"Min 1x per week","1990","Bremen","(Married) couple without C. ","2","","","","2"
"Min 1x per week","1990","Bremen","Single parent ","","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. LE 16 ","2","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. GT 16 ","","","","","2"
"Min 1x per week","1990","Bremen","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","1-pers.-HH","46","0.179499664940187","0.132941158521512","0.226058171358861","2"
"Min 1x per week","1990","North Rhine-Westphalia","(Married) couple without C. ","84","0.138923646998754","0.111340834895208","0.166506459102301","2"
"Min 1x per week","1990","North Rhine-Westphalia","Single parent ","13","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE 16 ","67","0.11163380531405","0.0858489525147169","0.137418658113383","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. GT 16 ","85","0.144626821391371","0.115573477250656","0.173680165532086","2"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","62","0.257346131801573","0.205676687570978","0.309015576032168","2"
"Min 1x per week","1990","Hesse","1-pers.-HH","22","","","","2"
"Min 1x per week","1990","Hesse","(Married) couple without C. ","18","","","","2"
"Min 1x per week","1990","Hesse","Single parent ","2","","","","2"
"Min 1x per week","1990","Hesse","Couple + C. LE 16 ","27","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. GT 16 ","3","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE and GT 16","9","","","","2"
"Min 1x per week","1990","Brandenburg","1-pers.-HH","1","","","","2"
"Min 1x per week","1990","Brandenburg","(Married) couple without C. ","","","","","2"
"Min 1x per week","1990","Brandenburg","Single parent ","1","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. LE 16 ","5","","","","2"
"Min 1x per week","1990","Brandenburg","Couple + C. GT 16 ","8","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE 16 ","59","0.119588820124895","0.089201031227269","0.14997660902252","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. GT 16 ","105","0.25389121720507","0.213131050574447","0.294651383835694","2"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE and GT 16","34","0.216458146570247","0.157431874503864","0.27548441863663","2"
"Min 1x per week","1990","Bavaria","1-pers.-HH","28","","","","2"
"Min 1x per week","1990","Bavaria","(Married) couple without C. ","83","0.220071078273184","0.178416255496586","0.261725901049782","2"
"Min 1x per week","1990","Bavaria","Single parent ","9","","","","2"
"Min 1x per week","1990","Bavaria","Couple + C. LE 16 ","61","0.176965479246582","0.136868489177046","0.217062469316118","2"
"Min 1x per week","1990","Bavaria","Couple + C. GT 16 ","79","0.2402001662556","0.195380189551485","0.285020142959715","2"
"Min 1x per week","1990","Bavaria","Couple + C. LE and GT 16","20","","","","2"
"Min 1x per week","1990","Berlin","1-pers.-HH","5","","","","2"
"Min 1x per week","1990","Hesse","Couple + C. GT 16 ","15","","","","2"
"Min 1x per week","1990","Hesse","Couple + C. LE and GT 16","14","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","7","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","26","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Single parent ","9","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","15","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","33","0.24840482893346","0.179714071586031","0.317095586280889","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","8","","","","2"
"Min 1x per week","1990","Baden-Württemberg","1-pers.-HH","28","","","","2"
"Min 1x per week","1990","Baden-Württemberg","(Married) couple without C. ","60","0.166828559605176","0.128580972161959","0.205076147048393","2"
"Min 1x per week","1990","Baden-Württemberg","Single parent ","13","","","","2"
"Min 1x per week","1990","Berlin","(Married) couple without C. ","7","","","","2"
"Min 1x per week","1990","Berlin","Single parent ","1","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. LE 16 ","9","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. GT 16 ","5","","","","2"
"Min 1x per week","1990","Berlin","Couple + C. LE and GT 16","5","","","","2"
"Never","1990","Schleswig-Holstein","1-pers.-HH","17","","","","5"
"Never","1990","Schleswig-Holstein","(Married) couple without C. ","50","0.55851325516359","0.451685372284975","0.665341138042206","5"
"Never","1990","Brandenburg","Couple + C. LE and GT 16","54","0.815162035712465","0.722216560834874","0.908107510590056","5"
"Never","1990","Mecklenburg-Western Pomerania","1-pers.-HH","22","","","","5"
"Never","1990","Thuringia","Couple + C. LE and GT 16","33","0.638196463921091","0.50882938959862","0.767563538243561","5"
"Never","1990","Bremen","Single parent ","5","","","","5"
"Never","1990","Bremen","Couple + C. LE 16 ","11","","","","5"
"Never","1990","Bremen","Couple + C. GT 16 ","6","","","","5"
"Never","1990","Bremen","Couple + C. LE and GT 16","6","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Single parent ","9","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","127","0.818061455371335","0.75790602046549","0.878216890277179","5"
"Never","1990","Thuringia","Single parent ","23","","","","5"
"Never","1990","Thuringia","Couple + C. LE 16 ","166","0.686263600529991","0.628397055834915","0.744130145225066","5"
"Never","1990","Thuringia","Couple + C. GT 16 ","90","0.662115196878941","0.583200179704978","0.741030214052903","5"
"Never","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","66","0.709881592157723","0.617648404859818","0.802114779455628","5"
"Never","1990","Schleswig-Holstein","Single parent ","8","","","","5"
"Never","1990","Schleswig-Holstein","Couple + C. LE 16 ","35","0.588205335801094","0.464699348740323","0.711711322861864","5"
"Never","1990","Schleswig-Holstein","Couple + C. GT 16 ","22","","","","5"
"Never","1990","Schleswig-Holstein","Couple + C. LE and GT 16","14","","","","5"
"Never","1990","Hamburg","1-pers.-HH","36","0.683861920044199","0.556251652480365","0.811472187608034","5"
"Never","1990","Hamburg","(Married) couple without C. ","30","0.634856172349394","0.495720391321771","0.773991953377016","5"
"Never","1990","Hamburg","Single parent ","9","","","","5"
"Never","1990","Hamburg","Couple + C. LE 16 ","21","","","","5"
"Never","1990","Hamburg","Couple + C. GT 16 ","10","","","","5"
"Never","1990","Hamburg","Couple + C. LE and GT 16","3","","","","5"
"Never","1990","Lower Saxony","1-pers.-HH","51","0.482418653333999","0.388178156424137","0.576659150243861","5"
"Never","1990","Lower Saxony","(Married) couple without C. ","151","0.524242416912038","0.46676357223147","0.581721261592606","5"
"Never","1990","Lower Saxony","Single parent ","25","","","","5"
"Never","1990","Lower Saxony","Couple + C. LE 16 ","90","0.527145373339467","0.453385395414964","0.60090535126397","5"
"Never","1990","Lower Saxony","Couple + C. GT 16 ","103","0.458142660563826","0.392894701930407","0.523390619197245","5"
"Never","1990","Lower Saxony","Couple + C. LE and GT 16","33","0.579688572786159","0.460603015961442","0.698774129610876","5"
"Never","1990","Bremen","1-pers.-HH","13","","","","5"
"Never","1990","Bremen","(Married) couple without C. ","29","","","","5"
"Never","1990","Brandenburg","1-pers.-HH","26","","","","5"
"Never","1990","Brandenburg","(Married) couple without C. ","128","0.851846146691812","0.794804505278608","0.908887788105015","5"
"Never","1990","Brandenburg","Single parent ","24","","","","5"
"Never","1990","Brandenburg","Couple + C. LE 16 ","193","0.824798707352225","0.776401917395734","0.873195497308715","5"
"Never","1990","Brandenburg","Couple + C. GT 16 ","121","0.817687948802869","0.754843694531511","0.880532203074227","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","115","0.884458614306481","0.829924449111538","0.938992779501423","5"
"Never","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","23","","","","5"
"Never","1990","Saxony","1-pers.-HH","73","0.772958890729345","0.689159102150686","0.856758679308004","5"
"Never","1990","Saxony","(Married) couple without C. ","228","0.709729516616836","0.659685469832529","0.759773563401142","5"
"Never","1990","Saxony","Single parent ","40","0.673157833491166","0.549194216770456","0.797121450211876","5"
"Never","1990","Saxony","Couple + C. LE 16 ","331","0.767769685177517","0.728043381156266","0.807495989198767","5"
"Never","1990","Saxony","Couple + C. GT 16 ","144","0.723317113720671","0.661777383063868","0.784856844377474","5"
"Never","1990","Saxony","Couple + C. LE and GT 16","53","0.715626794049269","0.614866282917488","0.81638730518105","5"
"Never","1990","Saxony-Anhalt","1-pers.-HH","49","0.712398506563113","0.606361822146431","0.818435190979796","5"
"Never","1990","Saxony-Anhalt","(Married) couple without C. ","122","0.798560774906426","0.735823699012948","0.861297850799904","5"
"Never","1990","Saxony-Anhalt","Single parent ","38","0.96505536662435","0.908145907944765","1.02196482530394","5"
"Never","1990","Saxony-Anhalt","Couple + C. LE 16 ","218","0.825181211195065","0.779708650331462","0.870653772058669","5"
"Never","1990","Saxony-Anhalt","Couple + C. GT 16 ","108","0.679584682535427","0.606358866988465","0.752810498082389","5"
"Never","1990","Saxony-Anhalt","Couple + C. LE and GT 16","33","0.643123517007647","0.51291104623764","0.773335987777653","5"
"Never","1990","Thuringia","1-pers.-HH","41","0.865198783202333","0.768586503829721","0.961811062574946","5"
"Never","1990","Thuringia","(Married) couple without C. ","108","0.674071958311914","0.601216260401476","0.746927656222352","5"
"Never","1990","North Rhine-Westphalia","1-pers.-HH","127","0.490275171241256","0.429627283229365","0.550923059253148","5"
"Never","1990","North Rhine-Westphalia","(Married) couple without C. ","277","0.444108804327652","0.404483810183927","0.483733798471377","5"
"Never","1990","North Rhine-Westphalia","Single parent ","61","0.493890295423458","0.405534892014755","0.582245698832162","5"
"Never","1990","North Rhine-Westphalia","Couple + C. LE 16 ","249","0.436351871257601","0.395745588340238","0.476958154174963","5"
"Never","1990","North Rhine-Westphalia","Couple + C. GT 16 ","222","0.396915520805198","0.356501504689327","0.437329536921069","5"
"Never","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","112","0.364350908566364","0.30747211347554","0.421229703657188","5"
"Never","1990","Hesse","1-pers.-HH","31","0.274187697187293","0.183030634620666","0.36534475975392","5"
"Never","1990","Hesse","(Married) couple without C. ","93","0.386609709825329","0.324741943064171","0.448477476586487","5"
"Never","1990","Hesse","Single parent ","25","","","","5"
"Never","1990","Hesse","Couple + C. LE 16 ","88","0.436515964984649","0.371998686944156","0.501033243025142","5"
