"plh0225","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","415","0.0289067614780373","0.0262794597052172","0.0315340632508574"
"1 Strongly disagree","2005","East Germany","142","0.0373775990599197","0.0321407928220359","0.0426144052978035"
"2 on scale 1-7 ","2005","West Germany","867","0.0589806576342304","0.05528634321732","0.0626749720511408"
"2 on scale 1-7 ","2005","East Germany","272","0.0560040594885782","0.0496561950991682","0.0623519238779883"
"3 on scale 1-7 ","2005","West Germany","1623","0.107989188154668","0.103122259592826","0.11285611671651"
"3 on scale 1-7 ","2005","East Germany","577","0.11862958555687","0.109702523301531","0.127556647812208"
"4 on scale 1-7","2005","West Germany","3392","0.209529720934121","0.203147888978161","0.215911552890081"
"4 on scale 1-7","2005","East Germany","1171","0.232484331838936","0.220822324983869","0.244146338694002"
"5 on scale 1-7","2005","West Germany","3636","0.226072320755369","0.219513078665215","0.232631562845524"
"5 on scale 1-7","2005","East Germany","1171","0.223464066480359","0.211963547206776","0.234964585753942"
"6 on scale 1-7","2005","West Germany","3242","0.203227012856827","0.196916890332551","0.209537135381104"
"6 on scale 1-7","2005","East Germany","1025","0.193789286044821","0.182876843080553","0.204701729009089"
"7 Strongly agree","2005","West Germany","2447","0.165294338186747","0.159469612960119","0.171119063413374"
"7 Strongly agree","2005","East Germany","682","0.138251071530516","0.128721849374127","0.147780293686906"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
