"plh0225","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","172","0.0254903585911888","0.0216842138308578","0.0292965033515198"
"1 Strongly disagree","2005","Urban Area","Female","198","0.0296862394742807","0.0257738447275692","0.0335986342209921"
"1 Strongly disagree","2005","Rural Area","Male","80","0.0295266752385937","0.0237397574333117","0.0353135930438758"
"1 Strongly disagree","2005","Rural Area","Female","107","0.0434260468489543","0.0367299994243876","0.0501220942735211"
"2 on scale 1-7 ","2005","Urban Area","Male","368","0.0615203183444105","0.055717673586123","0.0673229631026979"
"2 on scale 1-7 ","2005","Urban Area","Female","382","0.0558113720408735","0.0505196172591992","0.0611031268225478"
"2 on scale 1-7 ","2005","Rural Area","Male","186","0.0555045514753717","0.047677242591094","0.0633318603596494"
"2 on scale 1-7 ","2005","Rural Area","Female","203","0.0605086889845493","0.0526754865067466","0.068341891462352"
"3 on scale 1-7 ","2005","Urban Area","Male","731","0.113010045190452","0.105364259259852","0.120655831121053"
"3 on scale 1-7 ","2005","Urban Area","Female","712","0.103753842671123","0.0967243379465018","0.110783347395744"
"3 on scale 1-7 ","2005","Rural Area","Male","383","0.120387158627597","0.109262566379981","0.131511750875214"
"3 on scale 1-7 ","2005","Rural Area","Female","374","0.10755145311906","0.0973729519318348","0.117729954306285"
"4 on scale 1-7","2005","Urban Area","Male","1460","0.217749648839368","0.20778284583727","0.227716451841465"
"4 on scale 1-7","2005","Urban Area","Female","1498","0.201438464468592","0.192192879939204","0.21068404899798"
"4 on scale 1-7","2005","Rural Area","Male","755","0.214603101168485","0.200568152557417","0.228638049779553"
"4 on scale 1-7","2005","Rural Area","Female","850","0.231954238154857","0.218087356740703","0.24582111956901"
"5 on scale 1-7","2005","Urban Area","Male","1602","0.235497046100929","0.22525028584269","0.245743806359168"
"5 on scale 1-7","2005","Urban Area","Female","1642","0.219649105257402","0.210105363831463","0.229192846683341"
"5 on scale 1-7","2005","Rural Area","Male","786","0.244773732287189","0.230075361888382","0.259472102685996"
"5 on scale 1-7","2005","Rural Area","Female","777","0.20019333599256","0.187047100292317","0.213339571692803"
"6 on scale 1-7","2005","Urban Area","Male","1304","0.195240039428504","0.185667616397827","0.20481246245918"
"6 on scale 1-7","2005","Urban Area","Female","1573","0.21163014309372","0.202214223378513","0.221046062808927"
"6 on scale 1-7","2005","Rural Area","Male","667","0.196810044208142","0.18321811816301","0.210401970253273"
"6 on scale 1-7","2005","Rural Area","Female","723","0.196444742405618","0.183391687178796","0.20949779763244"
"7 Strongly agree","2005","Urban Area","Male","950","0.151492543505148","0.142834341392867","0.160150745617428"
"7 Strongly agree","2005","Urban Area","Female","1224","0.178030832994009","0.169212543459959","0.18684912252806"
"7 Strongly agree","2005","Rural Area","Male","430","0.138394736994621","0.126589840110041","0.150199633879202"
"7 Strongly agree","2005","Rural Area","Female","525","0.159921494494402","0.147879526924067","0.171963462064737"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
"6 on scale 1-7","2006","Rural Area","Female","","","",""
"7 Strongly agree","2006","Urban Area","Male","","","",""
"7 Strongly agree","2006","Urban Area","Female","","","",""
"7 Strongly agree","2006","Rural Area","Male","","","",""
"7 Strongly agree","2006","Rural Area","Female","","","",""
"1 Strongly disagree","2007","Urban Area","Male","","","",""
"1 Strongly disagree","2007","Urban Area","Female","","","",""
"1 Strongly disagree","2007","Rural Area","Male","","","",""
"1 Strongly disagree","2007","Rural Area","Female","","","",""
"2 on scale 1-7 ","2007","Urban Area","Male","","","",""
"2 on scale 1-7 ","2007","Urban Area","Female","","","",""
"2 on scale 1-7 ","2007","Rural Area","Male","","","",""
"2 on scale 1-7 ","2007","Rural Area","Female","","","",""
"3 on scale 1-7 ","2007","Urban Area","Male","","","",""
"3 on scale 1-7 ","2007","Urban Area","Female","","","",""
"3 on scale 1-7 ","2007","Rural Area","Male","","","",""
"3 on scale 1-7 ","2007","Rural Area","Female","","","",""
"4 on scale 1-7","2007","Urban Area","Male","","","",""
"4 on scale 1-7","2007","Urban Area","Female","","","",""
