"plh0225","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","","","",""
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","","","",""
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","112","0.0562689952713039","0.0462960381277967","0.0662419524148111"
"1 Strongly disagree","2005","general elemantary","East Germany","","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","207","0.0314193795302512","0.027498665456033","0.0353400936044694"
"1 Strongly disagree","2005","middle vocational","East Germany","87","0.0427207450943705","0.0349861165205057","0.0504553736682353"
"1 Strongly disagree","2005","vocational + Abi","West Germany","","","",""
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","","","",""
"1 Strongly disagree","2005","higher education","West Germany","","","",""
"1 Strongly disagree","2005","higher education","East Germany","","","",""
"2 on scale 1-7 ","2005","in school","West Germany","","","",""
"2 on scale 1-7 ","2005","in school","East Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","134","0.0657427237764893","0.0550171051162214","0.0764683424367571"
"2 on scale 1-7 ","2005","general elemantary","East Germany","","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","457","0.0626483974338164","0.057202057705695","0.0680947371619377"
"2 on scale 1-7 ","2005","middle vocational","East Germany","163","0.0643495934057638","0.0549646763417622","0.0737345104697655"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","41","0.0409690718535229","0.0284821676039775","0.0534559761030683"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","71","0.0694288979438976","0.0546413870692566","0.0842164088185387"
"2 on scale 1-7 ","2005","higher vocational","East Germany","","","",""
"2 on scale 1-7 ","2005","higher education","West Germany","112","0.0387106711203083","0.031705475625536","0.0457158666150805"
"2 on scale 1-7 ","2005","higher education","East Germany","52","0.0428565868209753","0.0316423466483045","0.0540708269936461"
"3 on scale 1-7 ","2005","in school","West Germany","33","0.0620272522170763","0.040948229108691","0.0831062753254616"
"3 on scale 1-7 ","2005","in school","East Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","249","0.121179819688916","0.107056707066588","0.135302932311243"
"3 on scale 1-7 ","2005","general elemantary","East Germany","42","0.151499000938887","0.113444856262246","0.189553145615528"
"3 on scale 1-7 ","2005","middle vocational","West Germany","812","0.109660258830336","0.102637609309888","0.116682908350785"
"3 on scale 1-7 ","2005","middle vocational","East Germany","315","0.116021076149338","0.103772372419027","0.12826977987965"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","91","0.117600150203499","0.097307112450025","0.137893187956973"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"3 on scale 1-7 ","2005","higher vocational","West Germany","113","0.0949503468295707","0.0778960176610779","0.112004675998063"
"3 on scale 1-7 ","2005","higher vocational","East Germany","49","0.116219618791595","0.085569275196366","0.146869962386824"
"3 on scale 1-7 ","2005","higher education","West Germany","278","0.100614792502224","0.0896907938773361","0.111538791127111"
"3 on scale 1-7 ","2005","higher education","East Germany","135","0.11946973201421","0.101511083731807","0.137428380296613"
"4 on scale 1-7","2005","in school","West Germany","84","0.148413398499553","0.117345272097946","0.17948152490116"
"4 on scale 1-7","2005","in school","East Germany","30","0.192942578622112","0.129152126451534","0.25673303079269"
"4 on scale 1-7","2005","inadequately","West Germany","47","0.19733315993115","0.144380726840648","0.250285593021653"
"4 on scale 1-7","2005","inadequately","East Germany","","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","490","0.21612993394487","0.198316618390155","0.233943249499585"
"4 on scale 1-7","2005","general elemantary","East Germany","90","0.272743703698607","0.225473005899889","0.320014401497325"
"4 on scale 1-7","2005","middle vocational","West Germany","1714","0.216308301649111","0.207054766079044","0.225561837219178"
"4 on scale 1-7","2005","middle vocational","East Germany","632","0.241385310135696","0.225018397180951","0.25775222309044"
"4 on scale 1-7","2005","vocational + Abi","West Germany","192","0.197516566842195","0.172436411957778","0.222596721726613"
"4 on scale 1-7","2005","vocational + Abi","East Germany","39","0.237544517417011","0.172009965371864","0.303079069462158"
"4 on scale 1-7","2005","higher vocational","West Germany","259","0.226506724369988","0.202155602102567","0.25085784663741"
"4 on scale 1-7","2005","higher vocational","East Germany","97","0.216057913035921","0.176698326773459","0.255417499298383"
"4 on scale 1-7","2005","higher education","West Germany","576","0.196770746236646","0.182333715748463","0.211207776724828"
"4 on scale 1-7","2005","higher education","East Germany","265","0.205990759909154","0.18359791853743","0.228383601280878"
"5 on scale 1-7","2005","in school","West Germany","121","0.195615005789486","0.160949530264743","0.23028048131423"
"5 on scale 1-7","2005","in school","East Germany","35","0.220165731640258","0.153182600814887","0.287148862465629"
"5 on scale 1-7","2005","inadequately","West Germany","48","0.235678546349865","0.179208743116635","0.292148349583095"
"5 on scale 1-7","2005","inadequately","East Germany","","","",""
"5 on scale 1-7","2005","general elemantary","West Germany","423","0.222232260952111","0.204239667139373","0.240224854764849"
"5 on scale 1-7","2005","general elemantary","East Germany","55","0.1509720424421","0.11297234292631","0.188971741957891"
"5 on scale 1-7","2005","middle vocational","West Germany","1727","0.220507172500618","0.211189318447569","0.229825026553667"
"5 on scale 1-7","2005","middle vocational","East Germany","612","0.229008218915752","0.212936914074216","0.245079523757288"
"5 on scale 1-7","2005","vocational + Abi","West Germany","232","0.247886409205837","0.220685808898332","0.275087009513342"
"5 on scale 1-7","2005","vocational + Abi","East Germany","33","0.228833177986899","0.164145099926294","0.293521256047504"
"5 on scale 1-7","2005","higher vocational","West Germany","268","0.224404431752889","0.200133662885697","0.248675200620081"
"5 on scale 1-7","2005","higher vocational","East Germany","95","0.223445437148339","0.183607652550806","0.263283221745871"
"5 on scale 1-7","2005","higher education","West Germany","764","0.243325079547907","0.22774298068005","0.258907178415764"
"5 on scale 1-7","2005","higher education","East Germany","315","0.235252433959603","0.211766995645054","0.258737872274152"
"6 on scale 1-7","2005","in school","West Germany","131","0.28696503549116","0.247434381075768","0.326495689906552"
"6 on scale 1-7","2005","in school","East Germany","","","",""
"6 on scale 1-7","2005","inadequately","West Germany","","","",""
"6 on scale 1-7","2005","inadequately","East Germany","","","",""
"6 on scale 1-7","2005","general elemantary","West Germany","333","0.145449385393469","0.130191649206124","0.160707121580815"
"6 on scale 1-7","2005","general elemantary","East Germany","60","0.155349539711812","0.116902367898878","0.193796711524745"
"6 on scale 1-7","2005","middle vocational","West Germany","1532","0.202654694818907","0.193620279798235","0.21168910983958"
"6 on scale 1-7","2005","middle vocational","East Germany","487","0.177461945103094","0.162849215478388","0.1920746747278"
"6 on scale 1-7","2005","vocational + Abi","West Germany","236","0.216194761631763","0.190262698118287","0.242126825145238"
"6 on scale 1-7","2005","vocational + Abi","East Germany","38","0.236682892018003","0.171230350404145","0.302135433631862"
"6 on scale 1-7","2005","higher vocational","West Germany","233","0.209990114210955","0.186294615800504","0.233685612621406"
"6 on scale 1-7","2005","higher vocational","East Germany","100","0.2251923160767","0.185244118500117","0.265140513653282"
"6 on scale 1-7","2005","higher education","West Germany","708","0.247484651288061","0.231813183845728","0.263156118730393"
"6 on scale 1-7","2005","higher education","East Germany","295","0.239800765718853","0.216159999288818","0.263441532148887"
"7 Strongly agree","2005","in school","West Germany","120","0.257863966361307","0.2196342402023","0.296093692520315"
"7 Strongly agree","2005","in school","East Germany","41","0.330571482196515","0.254525859420594","0.406617104972436"
"7 Strongly agree","2005","inadequately","West Germany","","","",""
"7 Strongly agree","2005","inadequately","East Germany","","","",""
"7 Strongly agree","2005","general elemantary","West Germany","310","0.172996880972841","0.156627284597811","0.189366477347871"
"7 Strongly agree","2005","general elemantary","East Germany","53","0.158186010843018","0.119454627574898","0.196917394111137"
"7 Strongly agree","2005","middle vocational","West Germany","1156","0.15680179523696","0.148629598114303","0.164973992359617"
"7 Strongly agree","2005","middle vocational","East Germany","330","0.129053111195986","0.116230372103428","0.141875850288544"
"7 Strongly agree","2005","vocational + Abi","West Germany","158","0.170236845992923","0.146560522371169","0.193913169614678"
"7 Strongly agree","2005","vocational + Abi","East Germany","","","",""
"7 Strongly agree","2005","higher vocational","West Germany","169","0.156130514630324","0.135013540041046","0.177247489219603"
"7 Strongly agree","2005","higher vocational","East Germany","44","0.10885961735677","0.0790724016937045","0.138646833019836"
"7 Strongly agree","2005","higher education","West Germany","447","0.165165317017186","0.151680734102046","0.178649899932325"
"7 Strongly agree","2005","higher education","East Germany","171","0.139010431310018","0.11985485618018","0.158166006439855"
"1 Strongly disagree","2006","in school","West Germany","","","",""
"1 Strongly disagree","2006","in school","East Germany","","","",""
"1 Strongly disagree","2006","inadequately","West Germany","","","",""
"1 Strongly disagree","2006","inadequately","East Germany","","","",""
"1 Strongly disagree","2006","general elemantary","West Germany","","","",""
"1 Strongly disagree","2006","general elemantary","East Germany","","","",""
"1 Strongly disagree","2006","middle vocational","West Germany","","","",""
"1 Strongly disagree","2006","middle vocational","East Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","West Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2006","higher vocational","West Germany","","","",""
"1 Strongly disagree","2006","higher vocational","East Germany","","","",""
"1 Strongly disagree","2006","higher education","West Germany","","","",""
"1 Strongly disagree","2006","higher education","East Germany","","","",""
"2 on scale 1-7 ","2006","in school","West Germany","","","",""
"2 on scale 1-7 ","2006","in school","East Germany","","","",""
"2 on scale 1-7 ","2006","inadequately","West Germany","","","",""
"2 on scale 1-7 ","2006","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2006","general elemantary","West Germany","","","",""
"2 on scale 1-7 ","2006","general elemantary","East Germany","","","",""
"2 on scale 1-7 ","2006","middle vocational","West Germany","","","",""
"2 on scale 1-7 ","2006","middle vocational","East Germany","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","West Germany","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","East Germany","","","",""
"2 on scale 1-7 ","2006","higher vocational","West Germany","","","",""
"2 on scale 1-7 ","2006","higher vocational","East Germany","","","",""
"2 on scale 1-7 ","2006","higher education","West Germany","","","",""
"2 on scale 1-7 ","2006","higher education","East Germany","","","",""
"3 on scale 1-7 ","2006","in school","West Germany","","","",""
"3 on scale 1-7 ","2006","in school","East Germany","","","",""
"3 on scale 1-7 ","2006","inadequately","West Germany","","","",""
"3 on scale 1-7 ","2006","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2006","general elemantary","West Germany","","","",""
"3 on scale 1-7 ","2006","general elemantary","East Germany","","","",""
"3 on scale 1-7 ","2006","middle vocational","West Germany","","","",""
"3 on scale 1-7 ","2006","middle vocational","East Germany","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","West Germany","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","East Germany","","","",""
"3 on scale 1-7 ","2006","higher vocational","West Germany","","","",""
"3 on scale 1-7 ","2006","higher vocational","East Germany","","","",""
"3 on scale 1-7 ","2006","higher education","West Germany","","","",""
"3 on scale 1-7 ","2006","higher education","East Germany","","","",""
"4 on scale 1-7","2006","in school","West Germany","","","",""
"4 on scale 1-7","2006","in school","East Germany","","","",""
"4 on scale 1-7","2006","inadequately","West Germany","","","",""
"4 on scale 1-7","2006","inadequately","East Germany","","","",""
"4 on scale 1-7","2006","general elemantary","West Germany","","","",""
"4 on scale 1-7","2006","general elemantary","East Germany","","","",""
"4 on scale 1-7","2006","middle vocational","West Germany","","","",""
