"plh0225","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","3","","",""
"1 Strongly disagree","2005","16-34 y.","inadequately","1","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","14","","",""
"1 Strongly disagree","2005","16-34 y.","middle vocational","38","0.0200109064295826","0.0143284682004096","0.0256933446587556"
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","9","","",""
"1 Strongly disagree","2005","16-34 y.","higher vocational","4","","",""
"1 Strongly disagree","2005","16-34 y.","higher education","3","","",""
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","13","","",""
"1 Strongly disagree","2005","35-65 y.","general elemantary","51","0.0676133893252259","0.0504906819418377","0.0847360967086142"
"1 Strongly disagree","2005","35-65 y.","middle vocational","160","0.0319042905791648","0.0274410074196153","0.0363675737387144"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","9","","",""
"1 Strongly disagree","2005","35-65 y.","higher vocational","21","","",""
"1 Strongly disagree","2005","35-65 y.","higher education","32","0.00804036420016306","0.00483444949296433","0.0112462789073618"
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","8","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","66","0.091284280555083","0.0704767182960174","0.112091842814149"
"1 Strongly disagree","2005","66 and older","middle vocational","96","0.0515168660198572","0.041685519534518","0.0613482125051963"
"1 Strongly disagree","2005","66 and older","vocational + Abi","4","","",""
"1 Strongly disagree","2005","66 and older","higher vocational","9","","",""
"1 Strongly disagree","2005","66 and older","higher education","13","","",""
"2 on scale 1-7 ","2005","16-34 y.","in school","13","","",""
"2 on scale 1-7 ","2005","16-34 y.","inadequately","2","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","40","0.0398337569410192","0.0265289708670667","0.0531385430149718"
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","88","0.04180978360026","0.033687922693613","0.0499316445069071"
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","20","","",""
