"plh0225","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","3","","",""
"1 Strongly disagree","2005","in school","Rural Area","","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","19","","",""
"1 Strongly disagree","2005","inadequately","Rural Area","3","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","92","0.0555741506851011","0.0444557720362846","0.0666925293339176"
"1 Strongly disagree","2005","general elemantary","Rural Area","39","0.0612623860831684","0.0442241423521261","0.0783006298142107"
"1 Strongly disagree","2005","middle vocational","Urban Area","186","0.0307640830110071","0.0265720214669785","0.0349561445550357"
"1 Strongly disagree","2005","middle vocational","Rural Area","108","0.0392618028516182","0.0330147775592515","0.0455088281439849"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","16","","",""
"1 Strongly disagree","2005","vocational + Abi","Rural Area","6","","",""
"1 Strongly disagree","2005","higher vocational","Urban Area","16","","",""
"1 Strongly disagree","2005","higher vocational","Rural Area","18","","",""
"1 Strongly disagree","2005","higher education","Urban Area","35","0.00945219443548375","0.00596930421709789","0.0129350846538696"
"1 Strongly disagree","2005","higher education","Rural Area","13","","",""
"2 on scale 1-7 ","2005","in school","Urban Area","10","","",""
"2 on scale 1-7 ","2005","in school","Rural Area","3","","",""
"2 on scale 1-7 ","2005","inadequately","Urban Area","24","","",""
"2 on scale 1-7 ","2005","inadequately","Rural Area","3","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","108","0.0613899398290975","0.0497403048766737","0.0730395747815213"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","48","0.0679681113568025","0.0500857959949226","0.0858504267186824"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","389","0.0644943571976981","0.0585312175777283","0.070457496817668"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","231","0.0600812474376484","0.0524376070908044","0.0677248877844923"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","36","0.0419651793155614","0.0286107807506115","0.0553195778805112"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","13","","",""
"2 on scale 1-7 ","2005","higher vocational","Urban Area","60","0.0715699653130493","0.0555852339867083","0.0875546966393904"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","34","0.0633947871118615","0.0431405563167173","0.0836490179070057"
"2 on scale 1-7 ","2005","higher education","Urban Area","110","0.0341361851101673","0.0276003485616316","0.0406720216587029"
"2 on scale 1-7 ","2005","higher education","Rural Area","54","0.055421770908671","0.0424817269246081","0.068361814892734"
"3 on scale 1-7 ","2005","in school","Urban Area","29","","",""
"3 on scale 1-7 ","2005","in school","Rural Area","16","","",""
"3 on scale 1-7 ","2005","inadequately","Urban Area","24","","",""
"3 on scale 1-7 ","2005","inadequately","Rural Area","5","","",""
"3 on scale 1-7 ","2005","general elemantary","Urban Area","194","0.121081442841103","0.105249499706475","0.13691338597573"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","97","0.131717091648624","0.107689654207914","0.155744529089334"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","700","0.106997737093553","0.0994935355582623","0.114501938628844"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","427","0.1184947124213","0.108099160235925","0.128890264606675"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","87","0.126946913720353","0.104774113475347","0.149119713965359"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","18","","",""
"3 on scale 1-7 ","2005","higher vocational","Urban Area","103","0.0950629492267864","0.0768751490678823","0.113250749385691"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","59","0.108766765404953","0.0828873484058186","0.134646182404087"
"3 on scale 1-7 ","2005","higher education","Urban Area","285","0.104898983153899","0.0938694429878798","0.115928523319918"
"3 on scale 1-7 ","2005","higher education","Rural Area","128","0.106006830113064","0.0885963554377446","0.123417304788383"
"4 on scale 1-7","2005","in school","Urban Area","76","0.144208857037772","0.111786866016981","0.176630848058564"
"4 on scale 1-7","2005","in school","Rural Area","38","0.189508623428859","0.135057074212251","0.243960172645466"
"4 on scale 1-7","2005","inadequately","Urban Area","42","0.219218722742991","0.158441394217614","0.279996051268367"
"4 on scale 1-7","2005","inadequately","Rural Area","10","","",""
"4 on scale 1-7","2005","general elemantary","Urban Area","391","0.222018829101894","0.201849077139637","0.242188581064151"
"4 on scale 1-7","2005","general elemantary","Rural Area","189","0.222711948630321","0.19315098974583","0.252272907514811"
"4 on scale 1-7","2005","middle vocational","Urban Area","1444","0.217124529368513","0.207115506053478","0.227133552683548"
"4 on scale 1-7","2005","middle vocational","Rural Area","902","0.229334797008705","0.215812406639132","0.242857187378278"
"4 on scale 1-7","2005","vocational + Abi","Urban Area","172","0.202137705616324","0.175390600669997","0.228884810562651"
"4 on scale 1-7","2005","vocational + Abi","Rural Area","59","0.199379516831436","0.151184765292903","0.247574268369968"
"4 on scale 1-7","2005","higher vocational","Urban Area","227","0.223070782355592","0.197255467922278","0.248886096788906"
"4 on scale 1-7","2005","higher vocational","Rural Area","129","0.226909373835062","0.192095518717021","0.261723228953104"
"4 on scale 1-7","2005","higher education","Urban Area","580","0.190121939139217","0.175997810090829","0.204246068187605"
"4 on scale 1-7","2005","higher education","Rural Area","261","0.224015561511488","0.200435649106983","0.247595473915993"
"5 on scale 1-7","2005","in school","Urban Area","106","0.19209511491955","0.155737272962717","0.228452956876382"
"5 on scale 1-7","2005","in school","Rural Area","50","0.22146260501419","0.163771149814292","0.279154060214087"
"5 on scale 1-7","2005","inadequately","Urban Area","36","0.190990201991034","0.133244385738009","0.248736018244059"
"5 on scale 1-7","2005","inadequately","Rural Area","16","","",""
"5 on scale 1-7","2005","general elemantary","Urban Area","324","0.220663017452468","0.200537431683781","0.240788603221156"
"5 on scale 1-7","2005","general elemantary","Rural Area","154","0.201348327964073","0.172857276382408","0.229839379545738"
"5 on scale 1-7","2005","middle vocational","Urban Area","1494","0.222831472218222","0.212728787954772","0.232934156481672"
"5 on scale 1-7","2005","middle vocational","Rural Area","845","0.22097695140605","0.207631469559902","0.234322433252197"
"5 on scale 1-7","2005","vocational + Abi","Urban Area","205","0.233158079431974","0.204995832459797","0.261320326404152"
"5 on scale 1-7","2005","vocational + Abi","Rural Area","60","0.294635214762735","0.239643743282234","0.349626686243237"
"5 on scale 1-7","2005","higher vocational","Urban Area","233","0.229440943639013","0.203367177164951","0.255514710113076"
"5 on scale 1-7","2005","higher vocational","Rural Area","130","0.213058670768644","0.179023222171328","0.247094119365961"
"5 on scale 1-7","2005","higher education","Urban Area","796","0.252426192704811","0.236790036910858","0.268062348498764"
"5 on scale 1-7","2005","higher education","Rural Area","283","0.210240417671111","0.187195129420543","0.233285705921679"
"6 on scale 1-7","2005","in school","Urban Area","121","0.304708421776901","0.262228321479747","0.347188522074055"
"6 on scale 1-7","2005","in school","Rural Area","37","0.156367253172696","0.105904473309436","0.206830033035955"
"6 on scale 1-7","2005","inadequately","Urban Area","13","","",""
"6 on scale 1-7","2005","inadequately","Rural Area","11","","",""
"6 on scale 1-7","2005","general elemantary","Urban Area","261","0.141576504263507","0.124657784345571","0.158495224181443"
"6 on scale 1-7","2005","general elemantary","Rural Area","132","0.157171627640053","0.13131258683623","0.183030668443876"
"6 on scale 1-7","2005","middle vocational","Urban Area","1307","0.201556954720116","0.19181801274763","0.211295896692602"
"6 on scale 1-7","2005","middle vocational","Rural Area","712","0.19010335193623","0.177482307249489","0.20272439662297"
"6 on scale 1-7","2005","vocational + Abi","Urban Area","204","0.217634268428763","0.190151676156264","0.245116860701263"
"6 on scale 1-7","2005","vocational + Abi","Rural Area","70","0.220668320214611","0.170644450169866","0.270692190259357"
"6 on scale 1-7","2005","higher vocational","Urban Area","207","0.203032963587364","0.178088808200556","0.227977118974172"
"6 on scale 1-7","2005","higher vocational","Rural Area","126","0.234833521216975","0.199598972925247","0.270068069508704"
"6 on scale 1-7","2005","higher education","Urban Area","721","0.246059801420388","0.230556488013952","0.261563114826823"
"6 on scale 1-7","2005","higher education","Rural Area","282","0.2443836436666","0.220080450974764","0.268686836358437"
"7 Strongly agree","2005","in school","Urban Area","106","0.241374521792608","0.20188160180075","0.280867441784465"
"7 Strongly agree","2005","in school","Rural Area","55","0.350512723248507","0.284221082180622","0.416804364316391"
"7 Strongly agree","2005","inadequately","Urban Area","20","","",""
"7 Strongly agree","2005","inadequately","Rural Area","9","","",""
"7 Strongly agree","2005","general elemantary","Urban Area","261","0.17769611582683","0.159144734659761","0.196247496993898"
"7 Strongly agree","2005","general elemantary","Rural Area","102","0.157820506676958","0.131918118321908","0.183722895032008"
"7 Strongly agree","2005","middle vocational","Urban Area","998","0.15623086639089","0.147416600432094","0.165045132349686"
"7 Strongly agree","2005","middle vocational","Rural Area","488","0.141747136938449","0.130528233897813","0.152966039979085"
"7 Strongly agree","2005","vocational + Abi","Urban Area","146","0.167041361919135","0.142197856528398","0.191884867309873"
"7 Strongly agree","2005","vocational + Abi","Rural Area","38","0.168785869852777","0.123603331138865","0.213968408566689"
"7 Strongly agree","2005","higher vocational","Urban Area","153","0.162064705098168","0.139213199967051","0.184916210229286"
