"year","pgisced97","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2006","general elemantary","Female","7.15","8","1711","7.05","7.25","4","6","9","10"
"2006","general elemantary","Male","7.5","8","769","7.35","7.65","5","6","9","10"
"2006","higher education","Female","7.49","8","2028","7.41","7.57","5","7","9","10"
"2006","higher education","Male","7.35","8","2545","7.28","7.42","5","6","9","9"
"2006","higher vocational","Female","7.35","8","708","7.21","7.49","5","6","9","10"
"2006","higher vocational","Male","7.38","8","940","7.27","7.49","5","7","8","10"
"2006","in school","Female","8.51","9","199","8.32","8.7","7","8","9","10"
"2006","in school","Male","8.14","8","198","7.91","8.37","6","7","9","10"
"2006","inadequately","Female","6.68","7","142","6.27","7.09","3","5","9","10"
"2006","inadequately","Male","6.8","7","97","6.32","7.28","3","5","9","10"
"2006","middle vocational","Female","7.55","8","5815","7.5","7.6","5","7","9","10"
"2006","middle vocational","Male","7.35","8","5265","7.3","7.4","5","6","9","10"
"2006","vocational + Abi","Female","7.65","8","733","7.52","7.78","5","7","9","10"
"2006","vocational + Abi","Male","7.44","8","481","7.28","7.6","5","7","9","10"
"2007","general elemantary","Female","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","",""
"2007","higher education","Female","","","","","","","","",""
"2007","higher education","Male","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","",""
"2007","in school","Female","","","","","","","","",""
"2007","in school","Male","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","",""
"2008","general elemantary","Female","","","","","","","","",""
"2008","general elemantary","Male","","","","","","","","",""
"2008","higher education","Female","","","","","","","","",""
"2008","higher education","Male","","","","","","","","",""
"2008","higher vocational","Female","","","","","","","","",""
"2008","higher vocational","Male","","","","","","","","",""
"2008","in school","Female","","","","","","","","",""
"2008","in school","Male","","","","","","","","",""
"2008","inadequately","Female","","","","","","","","",""
"2008","inadequately","Male","","","","","","","","",""
"2008","middle vocational","Female","","","","","","","","",""
"2008","middle vocational","Male","","","","","","","","",""
"2008","vocational + Abi","Female","","","","","","","","",""
"2008","vocational + Abi","Male","","","","","","","","",""
"2009","general elemantary","Female","","","","","","","","",""
"2009","general elemantary","Male","","","","","","","","",""
"2009","higher education","Female","","","","","","","","",""
"2009","higher education","Male","","","","","","","","",""
"2009","higher vocational","Female","","","","","","","","",""
"2009","higher vocational","Male","","","","","","","","",""
"2009","in school","Female","","","","","","","","",""
"2009","in school","Male","","","","","","","","",""
"2009","inadequately","Female","","","","","","","","",""
"2009","inadequately","Male","","","","","","","","",""
"2009","middle vocational","Female","","","","","","","","",""
"2009","middle vocational","Male","","","","","","","","",""
"2009","vocational + Abi","Female","","","","","","","","",""
"2009","vocational + Abi","Male","","","","","","","","",""
"2010","general elemantary","Female","","","","","","","","",""
"2010","general elemantary","Male","","","","","","","","",""
"2010","higher education","Female","","","","","","","","",""
"2010","higher education","Male","","","","","","","","",""
"2010","higher vocational","Female","","","","","","","","",""
"2010","higher vocational","Male","","","","","","","","",""
"2010","in school","Female","","","","","","","","",""
"2010","in school","Male","","","","","","","","",""
"2010","inadequately","Female","","","","","","","","",""
"2010","inadequately","Male","","","","","","","","",""
"2010","middle vocational","Female","","","","","","","","",""
"2010","middle vocational","Male","","","","","","","","",""
"2010","vocational + Abi","Female","","","","","","","","",""
"2010","vocational + Abi","Male","","","","","","","","",""
"2011","general elemantary","Female","7.31","8","1756","7.21","7.41","4","6","9","10"
"2011","general elemantary","Male","7.69","8","822","7.56","7.82","5","7","9","10"
"2011","higher education","Female","7.7","8","2801","7.63","7.77","5","7","9","10"
"2011","higher education","Male","7.46","8","2959","7.4","7.52","5","7","9","10"
"2011","higher vocational","Female","7.52","8","669","7.38","7.66","5","7","9","10"
"2011","higher vocational","Male","7.66","8","1027","7.56","7.76","5","7","9","10"
"2011","in school","Female","8.73","9","219","8.55","8.91","7","8","10","10"
"2011","in school","Male","9.03","9","212","8.86","9.2","8","8","10","10"
"2011","inadequately","Female","6.75","7","211","6.39","7.11","3","5","9","10"
"2011","inadequately","Male","7.31","8","140","6.92","7.7","4","6","9","10"
"2011","middle vocational","Female","7.63","8","7035","7.59","7.67","5","7","9","10"
"2011","middle vocational","Male","7.48","8","5538","7.43","7.53","5","7","9","10"
"2011","vocational + Abi","Female","7.83","8","1241","7.73","7.93","5","7","9","10"
"2011","vocational + Abi","Male","7.53","8","599","7.39","7.67","5","7","9","10"
"2012","general elemantary","Female","7.91","8","487","7.73","8.09","5","7","9","10"
"2012","general elemantary","Male","8.04","8","297","7.81","8.27","5","7","10","10"
"2012","higher education","Female","8.03","8","811","7.92","8.14","6","7","9","10"
"2012","higher education","Male","7.85","8","686","7.73","7.97","6","7","9","10"
"2012","higher vocational","Female","8.07","8","144","7.78","8.36","6","8","9","10"
"2012","higher vocational","Male","8.06","8","222","7.86","8.26","6","7","9","10"
