"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2006","(0) in school","Female","8.47","9","203","7","8","9","10","8.28","8.66","8","9"
"2006","(0) in school","Male","8.13","8","205","6","7","9","10","7.91","8.35","8","9"
"2006","(1a) inadequately completed","Female","6.57","7","142","3","5","8","10","6.2","6.94","6","7"
"2006","(1a) inadequately completed","Male","6.75","7","100","3","5","8","10","6.32","7.18","7","8"
"2006","(1b) general elementary school","Female","7.08","8","1371","4","6","9","10","6.96","7.2","7","8"
"2006","(1b) general elementary school","Male","7.36","8","572","5","6","9","10","7.18","7.54","8","8"
"2006","(1c) basic vocational qualification","Female","7.56","8","2816","5","7","9","10","7.49","7.63","8","8"
"2006","(1c) basic vocational qualification","Male","7.35","8","3337","5","6","9","10","7.29","7.41","8","8"
"2006","(2a) intermediate vocational","Female","7.53","8","2973","5","7","9","10","7.46","7.6","8","8"
"2006","(2a) intermediate vocational","Male","7.36","8","2192","5","6","9","10","7.28","7.44","8","8"
"2006","(2b) intermediate general qualification","Female","7.43","8","360","4","6","9","10","7.22","7.64","8","8"
"2006","(2b) intermediate general qualification","Male","7.91","8","222","5","7","9","10","7.66","8.16","8","9"
"2006","(2c_gen) general maturity certificate","Female","7.65","8","470","5","7","9","10","7.49","7.81","8","8"
"2006","(2c_gen) general maturity certificate","Male","7.71","8","360","5","7","9","10","7.55","7.87","8","8"
"2006","(2c_voc) vocational maturity certificate","Female","7.56","8","922","5","7","9","10","7.44","7.68","8","8"
"2006","(2c_voc) vocational maturity certificate","Male","7.33","8","710","5","6","9","9","7.2","7.46","8","8"
"2006","(3a) lower tertiary education","Female","7.5","8","826","5","7","9","10","7.38","7.62","8","8"
"2006","(3a) lower tertiary education","Male","7.35","8","977","5","6","8","9","7.24","7.46","8","8"
"2006","(3b) higher tertiary education","Female","7.49","8","1202","5","7","9","10","7.39","7.59","8","8"
"2006","(3b) higher tertiary education","Male","7.35","8","1568","5","6","9","9","7.27","7.43","8","8"
"2007","(0) in school","Female","","","","","","","","","","",""
"2007","(0) in school","Male","","","","","","","","","","",""
"2007","(1a) inadequately completed","Female","","","","","","","","","","",""
"2007","(1a) inadequately completed","Male","","","","","","","","","","",""
"2007","(1b) general elementary school","Female","","","","","","","","","","",""
"2007","(1b) general elementary school","Male","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","Female","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","Male","","","","","","","","","","",""
"2007","(2a) intermediate vocational","Female","","","","","","","","","","",""
"2007","(2a) intermediate vocational","Male","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","Female","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","Male","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Female","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Male","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","",""
