"year","bula_h","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2006","Baden-Württemberg","Female","7.28","8","1419","4","6","9","10","7.18","7.38","8","8"
"2006","Baden-Württemberg","Male","7.25","8","1301","5","6","8","9","7.15","7.35","8","8"
"2006","Bavaria","Female","7.67","8","1639","5","7","9","10","7.58","7.76","8","8"
"2006","Bavaria","Male","7.55","8","1484","5","7","9","10","7.46","7.64","8","8"
"2006","Berlin","Female","7.11","8","417","4","6","9","10","6.92","7.3","7","8"
"2006","Berlin","Male","6.92","7","365","4","6","8","9","6.72","7.12","7","8"
"2006","Brandenburg","Female","7","7","487","5","6","8","9","6.83","7.17","7","8"
"2006","Brandenburg","Male","7.15","7","456","5","6","8","10","6.98","7.32","7","8"
"2006","Bremen","Female","7.45","8","82","5","6","9","10","7.03","7.87","8","9"
"2006","Bremen","Male","6.86","7.68","61","4","5","9","10","6.3","7.42","7","8"
"2006","Hamburg","Female","7.71","8","165","4","7","9","10","7.46","7.96","8","8"
"2006","Hamburg","Male","7.84","8","144","5","7","9","10","7.56","8.12","8","8"
"2006","Hesse","Female","7.46","8","773","5","6","9","10","7.32","7.6","8","8"
"2006","Hesse","Male","7.33","8","707","5","6","9","10","7.19","7.47","8","8"
"2006","Lower Saxony","Female","7.55","8","1020","5","7","9","10","7.43","7.67","8","8"
"2006","Lower Saxony","Male","7.42","8","950","5","7","9","10","7.3","7.54","8","8"
"2006","Mecklenburg-Western Pomerania","Female","7.62","8","293","5","7","9","10","7.39","7.85","8","8"
"2006","Mecklenburg-Western Pomerania","Male","7.3","8","258","5","6","9","9","7.08","7.52","8","8"
"2006","North Rhine-Westphalia","Female","7.55","8","2363","5","7","9","10","7.47","7.63","8","8"
"2006","North Rhine-Westphalia","Male","7.48","8","2183","5","7","9","10","7.41","7.55","8","8"
"2006","Rhineland-Palatinate,Saarland","Female","7.28","8","687","4","6","9","10","7.13","7.43","8","8"
"2006","Rhineland-Palatinate,Saarland","Male","7.5","8","599","5","7","9","10","7.35","7.65","8","8"
"2006","Saxony","Female","7.47","8","814","5","7","9","10","7.34","7.6","8","8"
"2006","Saxony","Male","7.32","8","758","5","6","8","9","7.2","7.44","8","8"
"2006","Saxony-Anhalt","Female","7.44","8","479","5","7","9","10","7.26","7.62","8","8"
"2006","Saxony-Anhalt","Male","7.49","8","430","5","6","9","10","7.32","7.66","8","8"
"2006","Schleswig-Holstein","Female","7.83","8","360","5","7","9","10","7.65","8.01","8","8"
"2006","Schleswig-Holstein","Male","7.46","8","313","5","7","9","10","7.25","7.67","8","8"
"2006","Thuringia","Female","7.09","7","494","4","6","8","10","6.92","7.26","7","8"
"2006","Thuringia","Male","7.12","7","453","5","6","8","9","6.97","7.27","7","8"
"2007","Baden-Württemberg","Female","","","","","","","","","","",""
"2007","Baden-Württemberg","Male","","","","","","","","","","",""
"2007","Bavaria","Female","","","","","","","","","","",""
"2007","Bavaria","Male","","","","","","","","","","",""
"2007","Berlin","Female","","","","","","","","","","",""
"2007","Berlin","Male","","","","","","","","","","",""
"2007","Brandenburg","Female","","","","","","","","","","",""
"2007","Brandenburg","Male","","","","","","","","","","",""
"2007","Bremen","Female","","","","","","","","","","",""
"2007","Bremen","Male","","","","","","","","","","",""
"2007","Hamburg","Female","","","","","","","","","","",""
"2007","Hamburg","Male","","","","","","","","","","",""
"2007","Hesse","Female","","","","","","","","","","",""
"2007","Hesse","Male","","","","","","","","","","",""
"2007","Lower Saxony","Female","","","","","","","","","","",""
"2007","Lower Saxony","Male","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Female","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Male","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Female","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Male","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","",""
"2007","Saxony","Female","","","","","","","","","","",""
"2007","Saxony","Male","","","","","","","","","","",""
"2007","Saxony-Anhalt","Female","","","","","","","","","","",""
"2007","Saxony-Anhalt","Male","","","","","","","","","","",""
"2007","Schleswig-Holstein","Female","","","","","","","","","","",""
"2007","Schleswig-Holstein","Male","","","","","","","","","","",""
"2007","Thuringia","Female","","","","","","","","","","",""
"2007","Thuringia","Male","","","","","","","","","","",""
"2008","Baden-Württemberg","Female","","","","","","","","","","",""
"2008","Baden-Württemberg","Male","","","","","","","","","","",""
"2008","Bavaria","Female","","","","","","","","","","",""
"2008","Bavaria","Male","","","","","","","","","","",""
"2008","Berlin","Female","","","","","","","","","","",""
"2008","Berlin","Male","","","","","","","","","","",""
"2008","Brandenburg","Female","","","","","","","","","","",""
