"ple0180","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","1-pers.-HH","14","","",""
"Daily","2016","lower secondary degree","(Married) couple without C. ","17","","",""
"Daily","2016","lower secondary degree","Single parent ","4","","",""
"Daily","2016","lower secondary degree","Couple + C. LE 16 ","14","","",""
"Daily","2016","lower secondary degree","Couple + C. GT 16 ","2","","",""
"Daily","2016","lower secondary degree","Couple + C. LE and GT 16","4","","",""
"Daily","2016","secondary school degree","1-pers.-HH","8","","",""
"Daily","2016","secondary school degree","(Married) couple without C. ","15","","",""
"Daily","2016","secondary school degree","Single parent ","6","","",""
"Daily","2016","secondary school degree","Couple + C. LE 16 ","11","","",""
"Daily","2016","secondary school degree","Couple + C. GT 16 ","5","","",""
"Daily","2016","secondary school degree","Couple + C. LE and GT 16","5","","",""
"Daily","2016","college entrance qualification","1-pers.-HH","8","","",""
"Daily","2016","college entrance qualification","(Married) couple without C. ","18","","",""
"Daily","2016","college entrance qualification","Single parent ","2","","",""
"Daily","2016","college entrance qualification","Couple + C. LE 16 ","9","","",""
"Daily","2016","college entrance qualification","Couple + C. GT 16 ","2","","",""
"Daily","2016","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"Daily","2016","Other degree","1-pers.-HH","9","","",""
"Daily","2016","Other degree","(Married) couple without C. ","11","","",""
"Daily","2016","Other degree","Single parent ","2","","",""
"Daily","2016","Other degree","Couple + C. LE 16 ","12","","",""
"Daily","2016","Other degree","Couple + C. GT 16 ","6","","",""
"Daily","2016","Other degree","Couple + C. LE and GT 16","3","","",""
"Daily","2016","no degree/no degree yet","1-pers.-HH","","","",""
"Daily","2016","no degree/no degree yet","(Married) couple without C. ","","","",""
"Daily","2016","no degree/no degree yet","Single parent ","3","","",""
"Daily","2016","no degree/no degree yet","Couple + C. LE 16 ","7","","",""
"Daily","2016","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"Daily","2016","no degree/no degree yet","Couple + C. LE and GT 16","2","","",""
"Four to six days a week","2016","lower secondary degree","1-pers.-HH","43","0.0349269122667155","0.0240822849779244","0.0457715395555066"
"Four to six days a week","2016","lower secondary degree","(Married) couple without C. ","84","0.0397723472355499","0.0316812973600284","0.0478633971110713"
"Four to six days a week","2016","lower secondary degree","Single parent ","11","","",""
"Four to six days a week","2016","lower secondary degree","Couple + C. LE 16 ","32","0.0472292689118646","0.0332692471209906","0.0611892907027386"
"Four to six days a week","2016","lower secondary degree","Couple + C. GT 16 ","22","","",""
"Four to six days a week","2016","lower secondary degree","Couple + C. LE and GT 16","8","","",""
"Four to six days a week","2016","secondary school degree","1-pers.-HH","29","","",""
"Four to six days a week","2016","secondary school degree","(Married) couple without C. ","66","0.0443177708631112","0.0354585781483459","0.0531769635778765"
"Four to six days a week","2016","secondary school degree","Single parent ","19","","",""
"Four to six days a week","2016","secondary school degree","Couple + C. LE 16 ","48","0.0274479615608227","0.019245067926248","0.0356508551953975"
"Four to six days a week","2016","secondary school degree","Couple + C. GT 16 ","13","","",""
"Four to six days a week","2016","secondary school degree","Couple + C. LE and GT 16","16","","",""
"Four to six days a week","2016","college entrance qualification","1-pers.-HH","33","0.0390119927600541","0.0266995467314869","0.0513244387886214"
"Four to six days a week","2016","college entrance qualification","(Married) couple without C. ","51","0.031718383683181","0.0238978148189739","0.0395389525473881"
"Four to six days a week","2016","college entrance qualification","Single parent ","9","","",""
"Four to six days a week","2016","college entrance qualification","Couple + C. LE 16 ","36","0.0261793924713651","0.0190093807886533","0.0333494041540769"
"Four to six days a week","2016","college entrance qualification","Couple + C. GT 16 ","19","","",""
"Four to six days a week","2016","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Four to six days a week","2016","Other degree","1-pers.-HH","11","","",""
"Four to six days a week","2016","Other degree","(Married) couple without C. ","33","0.0348599741014681","0.0222437681516176","0.0474761800513187"
"Four to six days a week","2016","Other degree","Single parent ","6","","",""
"Four to six days a week","2016","Other degree","Couple + C. LE 16 ","63","0.0659668310489251","0.051682396392026","0.0802512657058241"
"Four to six days a week","2016","Other degree","Couple + C. GT 16 ","12","","",""
"Four to six days a week","2016","Other degree","Couple + C. LE and GT 16","6","","",""
"Four to six days a week","2016","no degree/no degree yet","1-pers.-HH","3","","",""
"Four to six days a week","2016","no degree/no degree yet","(Married) couple without C. ","3","","",""
"Four to six days a week","2016","no degree/no degree yet","Single parent ","3","","",""
"Four to six days a week","2016","no degree/no degree yet","Couple + C. LE 16 ","8","","",""
"Four to six days a week","2016","no degree/no degree yet","Couple + C. GT 16 ","8","","",""
"Four to six days a week","2016","no degree/no degree yet","Couple + C. LE and GT 16","3","","",""
"Two to three days a week","2016","lower secondary degree","1-pers.-HH","285","0.258670288058529","0.232804041782879","0.28453653433418"
"Two to three days a week","2016","lower secondary degree","(Married) couple without C. ","629","0.276556733735526","0.258037563635308","0.295075903835743"
"Two to three days a week","2016","lower secondary degree","Single parent ","93","0.233707479985466","0.194992829067092","0.27242213090384"
"Two to three days a week","2016","lower secondary degree","Couple + C. LE 16 ","151","0.168868466383442","0.144214009448923","0.193522923317961"
"Two to three days a week","2016","lower secondary degree","Couple + C. GT 16 ","115","0.196779033196228","0.164283692237752","0.229274374154704"
"Two to three days a week","2016","lower secondary degree","Couple + C. LE and GT 16","65","0.203281054976432","0.159794884190744","0.24676722576212"
"Two to three days a week","2016","secondary school degree","1-pers.-HH","238","0.27678495257372","0.246707323930332","0.306862581217108"
"Two to three days a week","2016","secondary school degree","(Married) couple without C. ","553","0.252730683979852","0.234023173324436","0.271438194635267"
"Two to three days a week","2016","secondary school degree","Single parent ","112","0.164307083159052","0.136015523671599","0.192598642646506"
"Two to three days a week","2016","secondary school degree","Couple + C. LE 16 ","295","0.192362137194214","0.172573142150461","0.212151132237967"
"Two to three days a week","2016","secondary school degree","Couple + C. GT 16 ","164","0.228805429868757","0.198762431971155","0.258848427766359"
"Two to three days a week","2016","secondary school degree","Couple + C. LE and GT 16","95","0.15737874681351","0.126721179278553","0.188036314348467"
"Two to three days a week","2016","college entrance qualification","1-pers.-HH","230","0.249766890464669","0.222240337163792","0.277293443765546"
"Two to three days a week","2016","college entrance qualification","(Married) couple without C. ","503","0.244263994792602","0.22509069946749","0.263437290117713"
"Two to three days a week","2016","college entrance qualification","Single parent ","102","0.196415822807653","0.163333413365722","0.229498232249583"
"Two to three days a week","2016","college entrance qualification","Couple + C. LE 16 ","368","0.180746410644328","0.16346637562703","0.198026445661626"
"Two to three days a week","2016","college entrance qualification","Couple + C. GT 16 ","152","0.229360393500672","0.199391406141465","0.259329380859878"
"Two to three days a week","2016","college entrance qualification","Couple + C. LE and GT 16","88","0.158774318189999","0.127806002205583","0.189742634174414"
