"ple0180","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","in school","","","",""
"Daily","2016","lower secondary degree","inadequately","","","",""
"Daily","2016","lower secondary degree","general elemantary","13","","",""
"Daily","2016","lower secondary degree","middle vocational","41","0.010228120744328","0.00709673035297997","0.0133595111356761"
"Daily","2016","lower secondary degree","vocational + Abi","","","",""
"Daily","2016","lower secondary degree","higher vocational","5","","",""
"Daily","2016","lower secondary degree","higher education","1","","",""
"Daily","2016","secondary school degree","in school","","","",""
"Daily","2016","secondary school degree","inadequately","","","",""
"Daily","2016","secondary school degree","general elemantary","7","","",""
"Daily","2016","secondary school degree","middle vocational","38","0.00999903407181343","0.00713811665548253","0.0128599514881443"
"Daily","2016","secondary school degree","vocational + Abi","","","",""
"Daily","2016","secondary school degree","higher vocational","2","","",""
"Daily","2016","secondary school degree","higher education","5","","",""
"Daily","2016","college entrance qualification","in school","","","",""
"Daily","2016","college entrance qualification","inadequately","","","",""
"Daily","2016","college entrance qualification","general elemantary","","","",""
"Daily","2016","college entrance qualification","middle vocational","3","","",""
"Daily","2016","college entrance qualification","vocational + Abi","11","","",""
"Daily","2016","college entrance qualification","higher vocational","6","","",""
"Daily","2016","college entrance qualification","higher education","20","","",""
"Daily","2016","Other degree","in school","","","",""
"Daily","2016","Other degree","inadequately","1","","",""
"Daily","2016","Other degree","general elemantary","8","","",""
"Daily","2016","Other degree","middle vocational","14","","",""
"Daily","2016","Other degree","vocational + Abi","10","","",""
"Daily","2016","Other degree","higher vocational","","","",""
"Daily","2016","Other degree","higher education","12","","",""
"Daily","2016","no degree/no degree yet","in school","","","",""
"Daily","2016","no degree/no degree yet","inadequately","9","","",""
"Daily","2016","no degree/no degree yet","general elemantary","","","",""
"Daily","2016","no degree/no degree yet","middle vocational","4","","",""
"Daily","2016","no degree/no degree yet","vocational + Abi","","","",""
"Daily","2016","no degree/no degree yet","higher vocational","","","",""
"Daily","2016","no degree/no degree yet","higher education","","","",""
"Four to six days a week","2016","lower secondary degree","in school","","","",""
"Four to six days a week","2016","lower secondary degree","inadequately","","","",""
"Four to six days a week","2016","lower secondary degree","general elemantary","40","0.0238995334261732","0.0157308501752805","0.0320682166770659"
"Four to six days a week","2016","lower secondary degree","middle vocational","148","0.0449491580047528","0.038500850163862","0.0513974658456436"
"Four to six days a week","2016","lower secondary degree","vocational + Abi","1","","",""
"Four to six days a week","2016","lower secondary degree","higher vocational","11","","",""
"Four to six days a week","2016","lower secondary degree","higher education","8","","",""
"Four to six days a week","2016","secondary school degree","in school","","","",""
