"ple0180","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","Male","35","0.0137432637711513","0.00946670652742394","0.0180198210148786"
"Daily","2016","lower secondary degree","Female","25","","",""
"Daily","2016","secondary school degree","Male","32","0.0106134283874103","0.00670524672012829","0.0145216100546923"
"Daily","2016","secondary school degree","Female","20","","",""
"Daily","2016","college entrance qualification","Male","24","","",""
"Daily","2016","college entrance qualification","Female","16","","",""
"Daily","2016","Other degree","Male","23","","",""
"Daily","2016","Other degree","Female","22","","",""
"Daily","2016","no degree/no degree yet","Male","6","","",""
"Daily","2016","no degree/no degree yet","Female","7","","",""
"Four to six days a week","2016","lower secondary degree","Male","105","0.0404458531214091","0.0332093942026366","0.0476823120401816"
"Four to six days a week","2016","lower secondary degree","Female","103","0.0393583258504857","0.032287436475811","0.0464292152251604"
"Four to six days a week","2016","secondary school degree","Male","103","0.0444485439711107","0.0365885954930048","0.0523084924492166"
"Four to six days a week","2016","secondary school degree","Female","90","0.0256464767750531","0.0206820798746014","0.0306108736755047"
"Four to six days a week","2016","college entrance qualification","Male","83","0.0290657318019143","0.0232461630996811","0.0348853005041476"
"Four to six days a week","2016","college entrance qualification","Female","71","0.0299529770772047","0.0243298599604492","0.0355760941939602"
"Four to six days a week","2016","Other degree","Male","65","0.040263282970462","0.0302313937532895","0.0502951721876345"
"Four to six days a week","2016","Other degree","Female","74","0.0465302359217919","0.0367093445746167","0.0563511272689672"
"Four to six days a week","2016","no degree/no degree yet","Male","16","","",""
"Four to six days a week","2016","no degree/no degree yet","Female","16","","",""
"Two to three days a week","2016","lower secondary degree","Male","620","0.230880516781171","0.215401445261964","0.246359588300378"
"Two to three days a week","2016","lower secondary degree","Female","756","0.262720467211453","0.246716116288232","0.278724818134674"
"Two to three days a week","2016","secondary school degree","Male","568","0.210820626541573","0.195264255142799","0.226376997940348"
"Two to three days a week","2016","secondary school degree","Female","914","0.25620465908754","0.24249538060907","0.269913937566009"
