"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","4.18","4","265","2","3","5","6","3.97","4.39","4","5"
"2005","college entrance qualification","indirect migration background","3.73","4","197","2","3","5","6","3.51","3.95","3","4"
"2005","college entrance qualification","no migration background","4.02","4","4729","2","3","5","6","3.98","4.06","4","4"
"2005","lower secondary degree","direct migration background","4.4","5","597","2","3","6","6","4.27","4.53","4","5"
"2005","lower secondary degree","indirect migration background","3.9","4","252","1","2","5","6","3.68","4.12","4","4"
"2005","lower secondary degree","no migration background","4.24","4","6233","2","3","5","6","4.2","4.28","4","4"
"2005","no degree/no degree yet","direct migration background","4.44","4","220","2","3","6","7","4.2","4.68","4","5"
"2005","no degree/no degree yet","indirect migration background","3.76","4","98","2","2","5","6","3.44","4.08","3","4"
"2005","no degree/no degree yet","no migration background","3.91","4","585","1","2","5","6","3.77","4.05","4","4"
"2005","Other degree","direct migration background","4.38","4","988","2","3","6","7","4.28","4.48","4","5"
"2005","Other degree","indirect migration background","","","","","","","","","","",""
"2005","Other degree","no migration background","4.19","4","110","2","3","5","7","3.86","4.52","4","5"
"2005","secondary school degree","direct migration background","4.17","4","240","2","3","5","6","3.96","4.38","4","5"
"2005","secondary school degree","indirect migration background","3.71","4","201","1","2","5","6","3.48","3.94","4","4"
"2005","secondary school degree","no migration background","4.08","4","5577","2","3","5","6","4.04","4.12","4","4"
"2006","college entrance qualification","direct migration background","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","",""
