"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","Female","3.91","4","2474","3.85","3.97","2","3","5","6"
"2005","college entrance qualification","Male","4.11","4","2717","4.05","4.17","2","3","5","6"
"2005","lower secondary degree","Female","4.26","4","3629","4.21","4.31","2","3","6","6"
"2005","lower secondary degree","Male","4.22","4","3453","4.17","4.27","2","3","5","6"
"2005","no degree/no degree yet","Female","4.14","4","483","3.98","4.3","2","2","6","7"
"2005","no degree/no degree yet","Male","3.95","4","420","3.79","4.11","1","3","5","6"
"2005","Other degree","Female","4.46","5","586","4.32","4.6","2","3","6","7"
"2005","Other degree","Male","4.25","4","530","4.11","4.39","2","3","6","6"
"2005","secondary school degree","Female","4.07","4","3446","4.02","4.12","2","3","5","6"
"2005","secondary school degree","Male","4.07","4","2572","4.01","4.13","2","3","5","6"
"2006","college entrance qualification","Female","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","",""
"2009","college entrance qualification","Female","3.85","4","2369","3.79","3.91","2","3","5","6"
"2009","college entrance qualification","Male","4.11","4","2515","4.05","4.17","2","3","5","6"
"2009","lower secondary degree","Female","4.23","4","2999","4.17","4.29","2","3","5","6"
"2009","lower secondary degree","Male","4.21","4","2899","4.15","4.27","2","3","5","6"
"2009","no degree/no degree yet","Female","4.16","4","235","3.95","4.37","2","3","5","6"
"2009","no degree/no degree yet","Male","3.98","4","247","3.76","4.2","2","3","5","7"
"2009","Other degree","Female","4.19","4","435","4.03","4.35","2","3","5","6"
"2009","Other degree","Male","4.2","4","366","4.03","4.37","2","3","6","6"
"2009","secondary school degree","Female","4.07","4","3110","4.01","4.13","2","3","5","6"
"2009","secondary school degree","Male","4.11","4","2285","4.05","4.17","2","3","5","6"
"2010","college entrance qualification","Female","","","","","","","","",""
"2010","college entrance qualification","Male","","","","","","","","",""
"2010","lower secondary degree","Female","","","","","","","","",""
"2010","lower secondary degree","Male","","","","","","","","",""
"2010","no degree/no degree yet","Female","","","","","","","","",""
"2010","no degree/no degree yet","Male","","","","","","","","",""
"2010","Other degree","Female","","","","","","","","",""
