"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","4.55","5","567","2","4","6","7","4.41","4.69","4","5"
"2005","direct migration background","higher education","4.35","4","337","2","3","6","6","4.18","4.52","4","4"
"2005","direct migration background","higher vocational","4.35","4","132","2","3","6","7","4.04","4.66","4","5"
"2005","direct migration background","in school","3.59","3","55","2","2","4","6","3.12","4.06","3","4"
"2005","direct migration background","inadequately","4.83","5","148","2","4","6","7","4.55","5.11","4","5"
"2005","direct migration background","middle vocational","4.24","4","868","2","3","5","6","4.13","4.35","4","4"
"2005","direct migration background","vocational + Abi","4.09","4","217","2","3","5","6","3.86","4.32","4","5"
"2005","indirect migration background","general elemantary","4.04","4","181","2","3","6","7","3.79","4.29","4","4"
"2005","indirect migration background","higher education","3.95","4","69","2","3","5","6","3.59","4.31","3","4"
"2005","indirect migration background","higher vocational","3.51","3","41","2","2","5","6","2.95","4.07","3","5"
"2005","indirect migration background","in school","3.82","4","90","2","2","5","6","3.5","4.14","3","4"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","3.6","4","335","1","2","5","6","3.42","3.78","4","4"
"2005","indirect migration background","vocational + Abi","4.22","5","46","2","3","5","6","3.8","4.64","3","5"
"2005","no migration background","general elemantary","4.21","4","1657","2","3","5","7","4.13","4.29","4","4"
"2005","no migration background","higher education","4.03","4","3759","2","3","5","6","3.98","4.08","4","4"
"2005","no migration background","higher vocational","4.14","4","1380","2","3","5","6","4.06","4.22","4","4"
"2005","no migration background","in school","3.77","4","505","1","2","5","6","3.62","3.92","4","4"
"2005","no migration background","inadequately","3.97","4","81","1","3","5","7","3.54","4.4","4","5"
"2005","no migration background","middle vocational","4.17","4","9046","2","3","5","6","4.14","4.2","4","4"
"2005","no migration background","vocational + Abi","3.95","4","872","2","3","5","6","3.84","4.06","4","4"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","","","",""
"2007","direct migration background","in school","","","","","","","","","","",""
"2007","direct migration background","inadequately","","","","","","","","","","",""
"2007","direct migration background","middle vocational","","","","","","","","","","",""
"2007","direct migration background","vocational + Abi","","","","","","","","","","",""
"2007","indirect migration background","general elemantary","","","","","","","","","","",""
"2007","indirect migration background","higher education","","","","","","","","","","",""
"2007","indirect migration background","higher vocational","","","","","","","","","","",""
"2007","indirect migration background","in school","","","","","","","","","","",""
"2007","indirect migration background","inadequately","","","","","","","","","","",""
"2007","indirect migration background","middle vocational","","","","","","","","","","",""
"2007","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2007","no migration background","general elemantary","","","","","","","","","","",""
"2007","no migration background","higher education","","","","","","","","","","",""
"2007","no migration background","higher vocational","","","","","","","","","","",""
"2007","no migration background","in school","","","","","","","","","","",""
"2007","no migration background","inadequately","","","","","","","","","","",""
"2007","no migration background","middle vocational","","","","","","","","","","",""
"2007","no migration background","vocational + Abi","","","","","","","","","","",""
"2008","direct migration background","general elemantary","","","","","","","","","","",""
"2008","direct migration background","higher education","","","","","","","","","","",""
"2008","direct migration background","higher vocational","","","","","","","","","","",""
"2008","direct migration background","in school","","","","","","","","","","",""
"2008","direct migration background","inadequately","","","","","","","","","","",""
"2008","direct migration background","middle vocational","","","","","","","","","","",""
"2008","direct migration background","vocational + Abi","","","","","","","","","","",""
"2008","indirect migration background","general elemantary","","","","","","","","","","",""
"2008","indirect migration background","higher education","","","","","","","","","","",""
"2008","indirect migration background","higher vocational","","","","","","","","","","",""
"2008","indirect migration background","in school","","","","","","","","","","",""
"2008","indirect migration background","inadequately","","","","","","","","","","",""
"2008","indirect migration background","middle vocational","","","","","","","","","","",""
"2008","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2008","no migration background","general elemantary","","","","","","","","","","",""
"2008","no migration background","higher education","","","","","","","","","","",""
"2008","no migration background","higher vocational","","","","","","","","","","",""
"2008","no migration background","in school","","","","","","","","","","",""
"2008","no migration background","inadequately","","","","","","","","","","",""
"2008","no migration background","middle vocational","","","","","","","","","","",""
"2008","no migration background","vocational + Abi","","","","","","","","","","",""
"2009","direct migration background","general elemantary","4.26","4","357","2","3","6","7","4.08","4.44","4","5"
"2009","direct migration background","higher education","4.18","4","293","2","3","6","6","3.99","4.37","4","5"
"2009","direct migration background","higher vocational","4.48","4","94","3","4","5","6","4.16","4.8","4","5"
"2009","direct migration background","in school","","","","","","","","","","",""
"2009","direct migration background","inadequately","4.31","4","90","3","3","5","7","3.96","4.66","4","5"
"2009","direct migration background","middle vocational","4.08","4","609","2","3","5","6","3.95","4.21","4","4"
"2009","direct migration background","vocational + Abi","4.14","4","168","2","3","5","6","3.89","4.39","4","5"
"2009","indirect migration background","general elemantary","4.13","4","145","2","3","5","6","3.84","4.42","4","5"
"2009","indirect migration background","higher education","4.01","4","88","1","3","5","6","3.66","4.36","3","4"
"2009","indirect migration background","higher vocational","4.25","4","30","1","4","6","6","3.55","4.95","3","5"
"2009","indirect migration background","in school","3.6","4","48","1","2","5","7","3.08","4.12","3","5"
"2009","indirect migration background","inadequately","","","","","","","","","","",""
"2009","indirect migration background","middle vocational","3.62","4","288","1","2","5","6","3.44","3.8","4","4"
"2009","indirect migration background","vocational + Abi","4.25","4","36","2","3","5","6","3.66","4.84","3","5"
"2009","no migration background","general elemantary","4.29","4","1282","2","3","5","6","4.2","4.38","4","4"
"2009","no migration background","higher education","4.07","4","3647","2","3","5","6","4.02","4.12","4","4"
"2009","no migration background","higher vocational","4.24","4","1199","2","3","5","6","4.15","4.33","4","4"
"2009","no migration background","in school","4.02","4","250","2","3","5","6","3.82","4.22","4","4"
"2009","no migration background","inadequately","4.25","4","67","2","4","5","6","3.83","4.67","4","5"
"2009","no migration background","middle vocational","4.13","4","8131","2","3","5","6","4.1","4.16","4","4"
"2009","no migration background","vocational + Abi","3.85","4","795","2","3","5","6","3.74","3.96","4","4"
"2010","direct migration background","general elemantary","","","","","","","","","","",""
"2010","direct migration background","higher education","","","","","","","","","","",""
"2010","direct migration background","higher vocational","","","","","","","","","","",""
"2010","direct migration background","in school","","","","","","","","","","",""
"2010","direct migration background","inadequately","","","","","","","","","","",""
"2010","direct migration background","middle vocational","","","","","","","","","","",""
"2010","direct migration background","vocational + Abi","","","","","","","","","","",""
"2010","indirect migration background","general elemantary","","","","","","","","","","",""
"2010","indirect migration background","higher education","","","","","","","","","","",""
"2010","indirect migration background","higher vocational","","","","","","","","","","",""
"2010","indirect migration background","in school","","","","","","","","","","",""
"2010","indirect migration background","inadequately","","","","","","","","","","",""
"2010","indirect migration background","middle vocational","","","","","","","","","","",""
"2010","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2010","no migration background","general elemantary","","","","","","","","","","",""
"2010","no migration background","higher education","","","","","","","","","","",""
"2010","no migration background","higher vocational","","","","","","","","","","",""
"2010","no migration background","in school","","","","","","","","","","",""
"2010","no migration background","inadequately","","","","","","","","","","",""
"2010","no migration background","middle vocational","","","","","","","","","","",""
"2010","no migration background","vocational + Abi","","","","","","","","","","",""
"2011","direct migration background","general elemantary","","","","","","","","","","",""
"2011","direct migration background","higher education","","","","","","","","","","",""
"2011","direct migration background","higher vocational","","","","","","","","","","",""
"2011","direct migration background","in school","","","","","","","","","","",""
"2011","direct migration background","inadequately","","","","","","","","","","",""
"2011","direct migration background","middle vocational","","","","","","","","","","",""
"2011","direct migration background","vocational + Abi","","","","","","","","","","",""
"2011","indirect migration background","general elemantary","","","","","","","","","","",""
"2011","indirect migration background","higher education","","","","","","","","","","",""
"2011","indirect migration background","higher vocational","","","","","","","","","","",""
"2011","indirect migration background","in school","","","","","","","","","","",""
"2011","indirect migration background","inadequately","","","","","","","","","","",""
"2011","indirect migration background","middle vocational","","","","","","","","","","",""
"2011","indirect migration background","vocational + Abi","","","","","","","","","","",""
