"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","3.99","4","1124","2","3","5","6","3.9","4.08","4","4"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","4.02","4","4067","2","3","5","6","3.97","4.07","4","4"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","4.28","4","1390","2","3","6","6","4.19","4.37","4","4"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","4.23","4","5692","2","3","5","6","4.19","4.27","4","4"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","3.84","4","167","1","2","5","6","3.58","4.1","3","4"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","4.08","4","736","2","3","6","6","3.95","4.21","4","4"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","4.13","4","49","2","2","5","7","3.63","4.63","4","5"
"2005","Other degree","Westdeutschland, alte Bundeslaender","4.37","4","1067","2","3","6","7","4.27","4.47","4","5"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","4.05","4","2220","2","3","5","6","3.98","4.12","4","4"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","4.08","4","3798","2","3","5","6","4.03","4.13","4","4"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","college entrance qualification","Ostdeutschland, neue Bundeslaender","3.96","4","1078","2","3","5","6","3.87","4.05","4","4"
"2009","college entrance qualification","Westdeutschland, alte Bundeslaender","4","4","3806","2","3","5","6","3.95","4.05","4","4"
"2009","lower secondary degree","Ostdeutschland, neue Bundeslaender","4.29","4","1194","2","3","5","6","4.2","4.38","4","4"
"2009","lower secondary degree","Westdeutschland, alte Bundeslaender","4.21","4","4704","2","3","5","6","4.16","4.26","4","4"
"2009","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","4.32","5","74","2","3","5","6","3.92","4.72","3","5"
"2009","no degree/no degree yet","Westdeutschland, alte Bundeslaender","4.03","4","408","2","3","5","6","3.87","4.19","4","4"
"2009","Other degree","Ostdeutschland, neue Bundeslaender","4.38","4","46","2","4","6","7","3.87","4.89","4","5"
"2009","Other degree","Westdeutschland, alte Bundeslaender","4.19","4","755","2","3","6","6","4.07","4.31","4","4"
"2009","secondary school degree","Ostdeutschland, neue Bundeslaender","4.12","4","2006","2","3","5","6","4.05","4.19","4","4"
"2009","secondary school degree","Westdeutschland, alte Bundeslaender","4.07","4","3389","2","3","5","6","4.02","4.12","4","4"
"2010","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
