"plj0587","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","Urban Area","67","0.0131347166080626","0.00947709145110898","0.0167923417650162"
"Very often","2013","16-34 y.","Rural Area","40","0.0244733294549025","0.0175709500739649","0.03137570883584"
"Very often","2013","35-65 y.","Urban Area","162","0.0181627217244496","0.0154685930905931","0.020856850358306"
"Very often","2013","35-65 y.","Rural Area","98","0.0163917195466653","0.0130332167466755","0.019750222346655"
"Very often","2013","66 and older","Urban Area","78","0.0281075517644606","0.0224260882813405","0.0337890152475807"
"Very often","2013","66 and older","Rural Area","38","0.0262394671981564","0.0187309825739626","0.0337479518223502"
"Often","2013","16-34 y.","Urban Area","366","0.0903424025876282","0.0811327191994795","0.0995520859757768"
"Often","2013","16-34 y.","Rural Area","196","0.0999837605933658","0.0865832103732235","0.113384310813508"
"Often","2013","35-65 y.","Urban Area","728","0.0776515900676674","0.0722523730645172","0.0830508070708175"
"Often","2013","35-65 y.","Rural Area","424","0.0808266338447046","0.0736172469754326","0.0880360207139766"
"Often","2013","66 and older","Urban Area","257","0.0854931981551152","0.0758815280129168","0.0951048682973137"
"Often","2013","66 and older","Rural Area","149","0.0972319578120379","0.083315096185972","0.111148819438104"
"Sometimes","2013","16-34 y.","Urban Area","1259","0.349187155067696","0.333872151778006","0.364502158357386"
"Sometimes","2013","16-34 y.","Rural Area","674","0.349940899628721","0.328634675200744","0.371247124056698"
"Sometimes","2013","35-65 y.","Urban Area","3155","0.352102946232402","0.342466965197465","0.361738927267339"
"Sometimes","2013","35-65 y.","Rural Area","1932","0.360167523643892","0.347470328798764","0.372864718489019"
"Sometimes","2013","66 and older","Urban Area","1047","0.324890337378448","0.308791475816276","0.340989198940621"
"Sometimes","2013","66 and older","Rural Area","560","0.354581498480183","0.332110237360948","0.377052759599419"
"Rarely ","2013","16-34 y.","Urban Area","1404","0.38967215428599","0.374004961580743","0.405339346991236"
"Rarely ","2013","16-34 y.","Rural Area","693","0.365041335569884","0.343534502048758","0.386548169091009"
"Rarely ","2013","35-65 y.","Urban Area","3640","0.388331671574391","0.378499091146926","0.398164252001855"
"Rarely ","2013","35-65 y.","Rural Area","2175","0.39078116259238","0.377875632695829","0.403686692488932"
"Rarely ","2013","66 and older","Urban Area","1183","0.353312232965745","0.336881147053085","0.369743318878404"
"Rarely ","2013","66 and older","Rural Area","630","0.329390729170706","0.30731377440585","0.351467683935563"
"Never","2013","16-34 y.","Urban Area","626","0.157663571450624","0.145955957911608","0.16937118498964"
"Never","2013","16-34 y.","Rural Area","322","0.160560674753127","0.144160556793168","0.176960792713087"
"Never","2013","35-65 y.","Urban Area","1753","0.163751070401091","0.156285414556565","0.171216726245617"
"Never","2013","35-65 y.","Rural Area","862","0.151832960372358","0.14234121465971","0.161324706085006"
"Never","2013","66 and older","Urban Area","686","0.208196679736231","0.194239901909829","0.222153457562634"
"Never","2013","66 and older","Rural Area","364","0.192556347338916","0.174034524006152","0.211078170671679"
"Very often","2014","16-34 y.","Urban Area","","","",""
"Very often","2014","16-34 y.","Rural Area","","","",""
"Very often","2014","35-65 y.","Urban Area","","","",""
"Very often","2014","35-65 y.","Rural Area","","","",""
"Very often","2014","66 and older","Urban Area","","","",""
"Very often","2014","66 and older","Rural Area","","","",""
"Often","2014","16-34 y.","Urban Area","","","",""
"Often","2014","16-34 y.","Rural Area","","","",""
"Often","2014","35-65 y.","Urban Area","","","",""
"Often","2014","35-65 y.","Rural Area","","","",""
"Often","2014","66 and older","Urban Area","","","",""
"Often","2014","66 and older","Rural Area","","","",""
"Sometimes","2014","16-34 y.","Urban Area","","","",""
"Sometimes","2014","16-34 y.","Rural Area","","","",""
"Sometimes","2014","35-65 y.","Urban Area","","","",""
"Sometimes","2014","35-65 y.","Rural Area","","","",""
"Sometimes","2014","66 and older","Urban Area","","","",""
"Sometimes","2014","66 and older","Rural Area","","","",""
"Rarely ","2014","16-34 y.","Urban Area","","","",""
"Rarely ","2014","16-34 y.","Rural Area","","","",""
"Rarely ","2014","35-65 y.","Urban Area","","","",""
"Rarely ","2014","35-65 y.","Rural Area","","","",""
"Rarely ","2014","66 and older","Urban Area","","","",""
"Rarely ","2014","66 and older","Rural Area","","","",""
"Never","2014","16-34 y.","Urban Area","","","",""
"Never","2014","16-34 y.","Rural Area","","","",""
"Never","2014","35-65 y.","Urban Area","","","",""
"Never","2014","35-65 y.","Rural Area","","","",""
"Never","2014","66 and older","Urban Area","","","",""
"Never","2014","66 and older","Rural Area","","","",""
"Very often","2015","16-34 y.","Urban Area","","","",""
"Very often","2015","16-34 y.","Rural Area","","","",""
"Very often","2015","35-65 y.","Urban Area","","","",""
"Very often","2015","35-65 y.","Rural Area","","","",""
"Very often","2015","66 and older","Urban Area","","","",""
"Very often","2015","66 and older","Rural Area","","","",""
"Often","2015","16-34 y.","Urban Area","","","",""
"Often","2015","16-34 y.","Rural Area","","","",""
"Often","2015","35-65 y.","Urban Area","","","",""
"Often","2015","35-65 y.","Rural Area","","","",""
"Often","2015","66 and older","Urban Area","","","",""
"Often","2015","66 and older","Rural Area","","","",""
"Sometimes","2015","16-34 y.","Urban Area","","","",""
"Sometimes","2015","16-34 y.","Rural Area","","","",""
"Sometimes","2015","35-65 y.","Urban Area","","","",""
"Sometimes","2015","35-65 y.","Rural Area","","","",""
"Sometimes","2015","66 and older","Urban Area","","","",""
"Sometimes","2015","66 and older","Rural Area","","","",""
"Rarely ","2015","16-34 y.","Urban Area","","","",""
"Rarely ","2015","16-34 y.","Rural Area","","","",""
"Rarely ","2015","35-65 y.","Urban Area","","","",""
"Rarely ","2015","35-65 y.","Rural Area","","","",""
"Rarely ","2015","66 and older","Urban Area","","","",""
"Rarely ","2015","66 and older","Rural Area","","","",""
"Never","2015","16-34 y.","Urban Area","","","",""
"Never","2015","16-34 y.","Rural Area","","","",""
"Never","2015","35-65 y.","Urban Area","","","",""
"Never","2015","35-65 y.","Rural Area","","","",""
"Never","2015","66 and older","Urban Area","","","",""
"Never","2015","66 and older","Rural Area","","","",""
"Very often","2016","16-34 y.","Urban Area","235","0.163510470246416","0.145741000494671","0.181279939998161"
"Very often","2016","16-34 y.","Rural Area","135","0.179386613110844","0.152495484588034","0.206277741633655"
"Very often","2016","35-65 y.","Urban Area","203","0.180002913040016","0.158738899296851","0.20126692678318"
"Very often","2016","35-65 y.","Rural Area","101","0.215751099252539","0.181529124438202","0.249973074066876"
"Very often","2016","66 and older","Urban Area","4","","",""
"Very often","2016","66 and older","Rural Area","2","","",""
"Often","2016","16-34 y.","Urban Area","297","0.193472823924468","0.174493055108814","0.212452592740122"
"Often","2016","16-34 y.","Rural Area","161","0.218900797547412","0.189919255902827","0.247882339191996"
"Often","2016","35-65 y.","Urban Area","221","0.216247032250797","0.193461247002172","0.239032817499422"
"Often","2016","35-65 y.","Rural Area","108","0.202238326911371","0.168821137894735","0.235655515928006"
"Often","2016","66 and older","Urban Area","3","","",""
"Often","2016","66 and older","Rural Area","","","",""
"Sometimes","2016","16-34 y.","Urban Area","502","0.306974315117947","0.28481291907885","0.329135711157043"
"Sometimes","2016","16-34 y.","Rural Area","227","0.307980606093924","0.275623808513783","0.340337403674066"
"Sometimes","2016","35-65 y.","Urban Area","364","0.298603014350668","0.273273412452385","0.323932616248951"
"Sometimes","2016","35-65 y.","Rural Area","169","0.308792436709936","0.270356349726819","0.347228523693054"
"Sometimes","2016","66 and older","Urban Area","9","","",""
"Sometimes","2016","66 and older","Rural Area","1","","",""
"Rarely ","2016","16-34 y.","Urban Area","271","0.147615561848497","0.130572200255723","0.164658923441271"
"Rarely ","2016","16-34 y.","Rural Area","104","0.12122843472621","0.0983521780243307","0.144104691428089"
"Rarely ","2016","35-65 y.","Urban Area","197","0.124347166925085","0.106083698892332","0.142610634957839"
"Rarely ","2016","35-65 y.","Rural Area","65","0.0886265600425178","0.0649819731932816","0.112271146891754"
"Rarely ","2016","66 and older","Urban Area","2","","",""
"Rarely ","2016","66 and older","Rural Area","1","","",""
"Never","2016","16-34 y.","Urban Area","359","0.188426828862673","0.169637700192743","0.207215957532603"
"Never","2016","16-34 y.","Rural Area","155","0.17250354852161","0.146023010715387","0.198984086327834"
"Never","2016","35-65 y.","Urban Area","269","0.180799873433434","0.159499197299346","0.202100549567522"
"Never","2016","35-65 y.","Rural Area","112","0.184591577083636","0.152314430374728","0.216868723792544"
"Never","2016","66 and older","Urban Area","2","","",""
"Never","2016","66 and older","Rural Area","1","","",""
"Very often","2017","16-34 y.","Urban Area","288","0.0191919120506228","0.0155927258376225","0.022791098263623"
"Very often","2017","16-34 y.","Rural Area","112","0.017644303844439","0.0124835311086279","0.0228050765802501"
