"plj0587","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","in school","Male","49","0.317519606486157","0.254856701554784","0.38018251141753","5"
"Never","2013","general elemantary","Male","181","0.203381385638378","0.176573042663024","0.230189728613733","5"
"Never","2013","general elemantary","Female","325","0.192230463663533","0.173634941268955","0.210825986058111","5"
"Never","2013","middle vocational","Male","1066","0.176444755895178","0.166344653126195","0.186544858664161","5"
"Never","2013","middle vocational","Female","1200","0.174005919756643","0.165107585049255","0.182904254464031","5"
"Never","2013","vocational + Abi","Male","102","0.156199980585494","0.12738996940535","0.185009991765638","5"
"Never","2013","vocational + Abi","Female","174","0.125122079180822","0.106131442712407","0.144112715649236","5"
"Never","2013","higher vocational","Male","190","0.161813268949993","0.139365908612697","0.184260629287289","5"
"Never","2013","higher vocational","Female","105","0.153893833921229","0.12604600941921","0.181741658423249","5"
"Never","2013","in school","Female","45","0.186861739870833","0.136703014607705","0.237020465133961","5"
"Never","2013","inadequately","Male","24","","","","5"
"Never","2013","inadequately","Female","27","","","","5"
"Never","2013","higher education","Male","505","0.158360230767091","0.145243735258784","0.171476726275398","5"
"Never","2013","higher education","Female","498","0.145721584756888","0.132788483647917","0.158654685865858","5"
"Often","2013","in school","Male","20","","","","2"
"Often","2013","in school","Female","16","","","","2"
"Often","2013","inadequately","Female","34","0.181038968932018","0.126288361373614","0.235789576490421","2"
"Often","2013","general elemantary","Male","78","0.0901081935143572","0.0710375141826389","0.109178872846076","2"
"Often","2013","inadequately","Male","22","","","","2"
"Often","2013","general elemantary","Female","209","0.118100540723022","0.102870922291658","0.133330159154387","2"
"Often","2013","middle vocational","Male","409","0.0714265614871455","0.0646029695598129","0.078250153414478","2"
"Often","2013","middle vocational","Female","641","0.0950022040040355","0.0881199791192652","0.101884428888806","2"
"Often","2013","vocational + Abi","Male","36","0.083465097445903","0.0615163303617265","0.105413864530079","2"
"Often","2013","vocational + Abi","Female","98","0.0599066742110185","0.0462852692227287","0.0735280791993082","2"
"Often","2013","higher vocational","Male","66","0.0600654049533886","0.0455827279992728","0.0745480819075044","2"
"Often","2013","higher vocational","Female","49","0.0825978559696607","0.0613540416796382","0.103841670259683","2"
"Often","2013","higher education","Male","169","0.0664852156263473","0.0575345616388589","0.0754358696138356","2"
