"plj0587","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","Part Time","","","","","5"
"Never","2013","Employed","Full Time","1754","0.160056068975764","0.152739024689416","0.167373113262113","5"
"Never","2013","Employed","Part Time","1199","0.15865365436486","0.150168503807714","0.167138804922007","5"
"Never","2013","Employed","Not Working","","","","","5"
"Never","2013","Not Employed","Not Working","1660","0.189256365416376","0.181072211725496","0.197440519107256","5"
"Never","2013","Not Employed","Full Time","","","","","5"
"Often","2013","Not Employed","Part Time","","","","","2"
"Often","2013","Not Employed","Full Time","","","","","2"
"Often","2013","Not Employed","Not Working","858","0.0987824266228183","0.0925485037319117","0.105016349513725","2"
"Often","2013","Employed","Full Time","672","0.0735006266559437","0.068292967543004","0.0787082857688834","2"
"Often","2013","Employed","Part Time","590","0.0792389183440591","0.0729657079576305","0.0855121287304877","2"
"Often","2013","Employed","Not Working","","","","","2"
"Rarely ","2013","Not Employed","Part Time","","","","","4"
"Rarely ","2013","Not Employed","Full Time","","","","","4"
"Rarely ","2013","Not Employed","Not Working","3090","0.339669806332278","0.329774806192073","0.349564806472483","4"
"Rarely ","2013","Employed","Full Time","3884","0.402338742891397","0.392552906703338","0.412124579079456","4"
"Rarely ","2013","Employed","Part Time","2751","0.393666939958033","0.382320301869969","0.405013578046098","4"
"Rarely ","2013","Employed","Not Working","","","","","4"
"Sometimes","2013","Not Employed","Part Time","","","","","3"
"Sometimes","2013","Not Employed","Not Working","2948","0.342947380830861","0.333029461408551","0.352865300253172","3"
"Sometimes","2013","Employed","Not Working","","","","","3"
"Sometimes","2013","Employed","Part Time","2450","0.35090958906729","0.339825568549765","0.361993609584814","3"
"Sometimes","2013","Not Employed","Full Time","","","","","3"
"Sometimes","2013","Employed","Full Time","3229","0.351978816515936","0.342448061045127","0.361509571986745","3"
"Very often","2013","Not Employed","Full Time","","","","","1"
"Very often","2013","Not Employed","Part Time","","","","","1"
"Very often","2013","Not Employed","Not Working","244","0.0293440207976655","0.0258178833828218","0.0328701582125092","1"
"Very often","2013","Employed","Full Time","107","0.0121257449609593","0.00994160979805953","0.0143098801238591","1"
"Very often","2013","Employed","Part Time","132","0.0175308982657577","0.0144829426289635","0.020578853902552","1"
"Very often","2013","Employed","Not Working","","","","","1"
"Never","2014","Not Employed","Part Time","","","","","5"
"Never","2014","Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Full Time","","","","","5"
"Never","2014","Employed","Part Time","","","","","5"
"Never","2014","Employed","Full Time","","","","","5"
"Often","2014","Not Employed","Part Time","","","","","2"
"Often","2014","Not Employed","Not Working","","","","","2"
"Often","2014","Employed","Full Time","","","","","2"
"Often","2014","Not Employed","Full Time","","","","","2"
"Often","2014","Employed","Part Time","","","","","2"
"Often","2014","Employed","Not Working","","","","","2"
"Rarely ","2014","Not Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Not Working","","","","","4"
"Rarely ","2014","Not Employed","Full Time","","","","","4"
"Rarely ","2014","Not Employed","Not Working","","","","","4"
"Rarely ","2014","Employed","Full Time","","","","","4"
"Sometimes","2014","Not Employed","Part Time","","","","","3"
"Sometimes","2014","Not Employed","Not Working","","","","","3"
"Sometimes","2014","Not Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Part Time","","","","","3"
"Sometimes","2014","Employed","Not Working","","","","","3"
"Very often","2014","Not Employed","Not Working","","","","","1"
"Very often","2014","Not Employed","Full Time","","","","","1"
"Very often","2014","Not Employed","Part Time","","","","","1"
"Very often","2014","Employed","Full Time","","","","","1"
"Very often","2014","Employed","Part Time","","","","","1"
"Very often","2014","Employed","Not Working","","","","","1"
"Never","2015","Not Employed","Part Time","","","","","5"
"Never","2015","Not Employed","Not Working","","","","","5"
"Never","2015","Employed","Part Time","","","","","5"
"Never","2015","Employed","Not Working","","","","","5"
"Never","2015","Not Employed","Full Time","","","","","5"
"Never","2015","Employed","Full Time","","","","","5"
"Often","2015","Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Not Working","","","","","2"
"Often","2015","Not Employed","Part Time","","","","","2"
"Often","2015","Employed","Part Time","","","","","2"
"Often","2015","Employed","Not Working","","","","","2"
"Rarely ","2015","Not Employed","Part Time","","","","","4"
