"plj0587","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","(0) in school","2","","",""
"Very often","2013","no migration background","(1a) inadequately completed","8","","",""
"Very often","2013","no migration background","(1b) general elementary school","47","0.0315199691541585","0.022083849687913","0.0409560886204039"
"Very often","2013","no migration background","(1c) basic vocational qualification","107","0.0223795434802461","0.0183136492954693","0.0264454376650229"
"Very often","2013","no migration background","(2b) intermediate general qualification","11","","",""
"Very often","2013","no migration background","(2a) intermediate vocational","94","0.016889259651871","0.0136476533192148","0.0201308659845272"
"Very often","2013","no migration background","(2c_gen) general maturity certificate","12","","",""
"Very often","2013","no migration background","(2c_voc) vocational maturity certificate","29","","",""
"Very often","2013","no migration background","(3a) lower tertiary education","22","","",""
"Very often","2013","no migration background","(3b) higher tertiary education","30","0.010064617750114","0.00657887863181414","0.0135503568684139"
"Very often","2013","direct migration background","(0) in school","","","",""
"Very often","2013","direct migration background","(1a) inadequately completed","14","","",""
"Very often","2013","direct migration background","(1b) general elementary school","22","","",""
"Very often","2013","direct migration background","(1c) basic vocational qualification","11","","",""
"Very often","2013","direct migration background","(2b) intermediate general qualification","2","","",""
"Very often","2013","direct migration background","(2a) intermediate vocational","5","","",""
"Very often","2013","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Very often","2013","direct migration background","(2c_voc) vocational maturity certificate","12","","",""
"Very often","2013","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2013","direct migration background","(3b) higher tertiary education","18","","",""
"Very often","2013","indirect migration background","(0) in school","","","",""
"Very often","2013","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2013","indirect migration background","(1b) general elementary school","5","","",""
"Very often","2013","indirect migration background","(1c) basic vocational qualification","3","","",""
"Very often","2013","indirect migration background","(2b) intermediate general qualification","2","","",""
"Very often","2013","indirect migration background","(2a) intermediate vocational","5","","",""
"Very often","2013","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2013","indirect migration background","(3a) lower tertiary education","2","","",""
"Very often","2013","indirect migration background","(3b) higher tertiary education","1","","",""
"Often","2013","no migration background","(0) in school","25","","",""
"Often","2013","no migration background","(1a) inadequately completed","34","0.153103843829517","0.102692510606572","0.203515177052461"
"Often","2013","no migration background","(1b) general elementary school","147","0.102594925120291","0.0862074364840252","0.118982413756556"
"Often","2013","no migration background","(1c) basic vocational qualification","402","0.081014070871041","0.0735137476609591","0.0885143940811229"
"Often","2013","no migration background","(2b) intermediate general qualification","57","0.108150218742625","0.0832375369065475","0.133062900578703"
"Often","2013","no migration background","(2a) intermediate vocational","485","0.0808286049149407","0.0739715987922819","0.0876856110375994"
"Often","2013","no migration background","(2c_gen) general maturity certificate","52","0.0611416729675042","0.0437733417465413","0.0785100041884672"
"Often","2013","no migration background","(2c_voc) vocational maturity certificate","119","0.0673182562572945","0.0557682546433971","0.0788682578711919"
"Often","2013","no migration background","(3a) lower tertiary education","103","0.0663257424270781","0.0552522151808665","0.0773992696732897"
"Often","2013","no migration background","(3b) higher tertiary education","199","0.0732987542108534","0.0641972958976315","0.0824002125240754"
"Often","2013","direct migration background","(0) in school","1","","",""
"Often","2013","direct migration background","(1a) inadequately completed","20","","",""
"Often","2013","direct migration background","(1b) general elementary school","57","0.122315767468997","0.0929737004423695","0.151657834495625"
"Often","2013","direct migration background","(1c) basic vocational qualification","58","0.092044334578531","0.0686181796794743","0.115470489477588"
"Often","2013","direct migration background","(2b) intermediate general qualification","5","","",""
"Often","2013","direct migration background","(2a) intermediate vocational","25","","",""
"Often","2013","direct migration background","(2c_gen) general maturity certificate","28","","",""
"Often","2013","direct migration background","(2c_voc) vocational maturity certificate","37","0.0812321829072318","0.0526114323965897","0.109852933417874"
"Often","2013","direct migration background","(3a) lower tertiary education","5","","",""
"Often","2013","direct migration background","(3b) higher tertiary education","75","0.183685278973358","0.148714635162339","0.218655922784378"
"Often","2013","indirect migration background","(0) in school","10","","",""
"Often","2013","indirect migration background","(1a) inadequately completed","6","","",""
"Often","2013","indirect migration background","(1b) general elementary school","15","","",""
