"plj0587","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","no migration background","East Germany","813","0.128990209708835","0.120149446011595","0.137830973406075","5"
"Never","2013","direct migration background","East Germany","12","","","","5"
"Never","2013","indirect migration background","West Germany","214","0.219806283012916","0.195444566956788","0.244167999069045","5"
"Never","2013","indirect migration background","East Germany","6","","","","5"
"Never","2013","direct migration background","West Germany","508","0.206632042469537","0.190820648149681","0.222443436789392","5"
"Never","2013","no migration background","West Germany","3060","0.176379757368959","0.170511287890462","0.182248226847455","5"
"Often","2013","no migration background","East Germany","528","0.0996692212244355","0.0917682319741775","0.107570210474693","2"
"Often","2013","no migration background","West Germany","1137","0.0754639847711408","0.0713970354790792","0.0795309340632025","2"
"Often","2013","direct migration background","West Germany","300","0.115532803536824","0.103049557552226","0.128016049521423","2"
"Often","2013","direct migration background","East Germany","21","","","","2"
"Often","2013","indirect migration background","West Germany","124","0.0918276732155396","0.074839075842234","0.108816270588845","2"
"Often","2013","indirect migration background","East Germany","10","","","","2"
"Rarely ","2013","no migration background","East Germany","2045","0.36904810059632","0.356320706173389","0.381775495019251","4"
"Rarely ","2013","no migration background","West Germany","6403","0.387288183734407","0.379787821730292","0.394788545738523","4"
"Rarely ","2013","direct migration background","West Germany","784","0.312364476907739","0.294265918708879","0.330463035106599","4"
"Rarely ","2013","direct migration background","East Germany","46","0.245083788822569","0.173056929844208","0.317110647800931","4"
"Rarely ","2013","indirect migration background","West Germany","427","0.382453859674842","0.353864078483604","0.411043640866079","4"
"Rarely ","2013","indirect migration background","East Germany","20","","","","4"
"Sometimes","2013","no migration background","East Germany","2024","0.382609694736601","0.369790587583873","0.395428801889329","3"
"Sometimes","2013","direct migration background","West Germany","834","0.338841372738871","0.320357836718947","0.357324908758795","3"
"Sometimes","2013","indirect migration background","East Germany","35","0.640227680118996","0.532327444857004","0.748127915380987","3"
"Sometimes","2013","indirect migration background","West Germany","327","0.28291019953085","0.256413140284488","0.309407258777212","3"
"Sometimes","2013","no migration background","West Germany","5350","0.341779689830204","0.334476783355627","0.349082596304781","3"
"Sometimes","2013","direct migration background","East Germany","57","0.437695742719222","0.354622788602927","0.520768696835517","3"
"Very often","2013","no migration background","West Germany","254","0.0190883842952892","0.016981520319798","0.0211952482707805","1"
"Very often","2013","no migration background","East Germany","112","0.0196827737338088","0.0160190193004675","0.02334652816715","1"
"Very often","2013","direct migration background","West Germany","93","0.0266293043470288","0.0203421655005429","0.0329164431935147","1"
"Very often","2013","direct migration background","East Germany","1","","","","1"
"Very often","2013","indirect migration background","West Germany","18","","","","1"
"Very often","2013","indirect migration background","East Germany","5","","","","1"
"Never","2014","no migration background","East Germany","","","","","5"
"Never","2014","indirect migration background","East Germany","","","","","5"
"Never","2014","direct migration background","West Germany","","","","","5"
"Never","2014","no migration background","West Germany","","","","","5"
"Never","2014","indirect migration background","West Germany","","","","","5"
"Never","2014","direct migration background","East Germany","","","","","5"
"Often","2014","no migration background","East Germany","","","","","2"
"Often","2014","direct migration background","West Germany","","","","","2"
"Often","2014","direct migration background","East Germany","","","","","2"
"Often","2014","no migration background","West Germany","","","","","2"
"Often","2014","indirect migration background","West Germany","","","","","2"
"Often","2014","indirect migration background","East Germany","","","","","2"
"Rarely ","2014","no migration background","East Germany","","","","","4"
"Rarely ","2014","indirect migration background","West Germany","","","","","4"
"Rarely ","2014","indirect migration background","East Germany","","","","","4"
"Rarely ","2014","no migration background","West Germany","","","","","4"
"Rarely ","2014","direct migration background","West Germany","","","","","4"
"Rarely ","2014","direct migration background","East Germany","","","","","4"
"Sometimes","2014","no migration background","East Germany","","","","","3"
"Sometimes","2014","direct migration background","West Germany","","","","","3"
"Sometimes","2014","no migration background","West Germany","","","","","3"
