"plj0587","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","in school","","","",""
"Very often","2013","no migration background","inadequately","","","",""
"Very often","2013","no migration background","general elemantary","53","0.0263357618350258","0.0190779644432154","0.0335935592268361"
"Very often","2013","no migration background","middle vocational","203","0.01979619248158","0.0171929146716124","0.0223994702915475"
"Very often","2013","no migration background","vocational + Abi","","","",""
"Very often","2013","no migration background","higher vocational","","","",""
"Very often","2013","no migration background","higher education","52","0.0132267919399774","0.0100882702410714","0.0163653136388833"
"Very often","2013","direct migration background","in school","","","",""
"Very often","2013","direct migration background","inadequately","","","",""
"Very often","2013","direct migration background","general elemantary","","","",""
"Very often","2013","direct migration background","middle vocational","","","",""
"Very often","2013","direct migration background","vocational + Abi","","","",""
"Very often","2013","direct migration background","higher vocational","","","",""
"Very often","2013","direct migration background","higher education","","","",""
"Very often","2013","indirect migration background","in school","","","",""
"Very often","2013","indirect migration background","inadequately","","","",""
"Very often","2013","indirect migration background","general elemantary","","","",""
"Very often","2013","indirect migration background","middle vocational","","","",""
"Very often","2013","indirect migration background","vocational + Abi","","","",""
"Very often","2013","indirect migration background","higher vocational","","","",""
"Very often","2013","indirect migration background","higher education","","","",""
"Often","2013","no migration background","in school","","","",""
"Often","2013","no migration background","inadequately","32","0.149828560808761","0.0975441600289778","0.202112961588545"
"Often","2013","no migration background","general elemantary","199","0.104025344344878","0.090188255441821","0.117862433247934"
"Often","2013","no migration background","middle vocational","889","0.0816360478907754","0.0765189951871787","0.0867531005943722"
"Often","2013","no migration background","vocational + Abi","93","0.0686295686998093","0.0553385720446023","0.0819205653550162"
"Often","2013","no migration background","higher vocational","96","0.0659696171607227","0.0535233563449121","0.0784158779765332"
"Often","2013","no migration background","higher education","302","0.0704546508696717","0.063424262374233","0.0774850393651105"
"Often","2013","direct migration background","in school","","","",""
"Often","2013","direct migration background","inadequately","","","",""
"Often","2013","direct migration background","general elemantary","62","0.129102918683238","0.100171169723712","0.158034667642765"
"Often","2013","direct migration background","middle vocational","110","0.103983252421748","0.0848040106818949","0.123162494161601"
"Often","2013","direct migration background","vocational + Abi","34","0.0817106366552063","0.05126696911305","0.112154304197363"
"Often","2013","direct migration background","higher vocational","","","",""
"Often","2013","direct migration background","higher education","80","0.156012236076255","0.125958291344434","0.186066180808075"
"Often","2013","indirect migration background","in school","","","",""
"Often","2013","indirect migration background","inadequately","","","",""
"Often","2013","indirect migration background","general elemantary","","","",""
"Often","2013","indirect migration background","middle vocational","51","0.107650644582481","0.0797192065863906","0.135582082578572"
"Often","2013","indirect migration background","vocational + Abi","","","",""
"Often","2013","indirect migration background","higher vocational","","","",""
"Often","2013","indirect migration background","higher education","","","",""
"Sometimes","2013","no migration background","in school","93","0.246451223745234","0.199955576788896","0.292946870701573"
"Sometimes","2013","no migration background","inadequately","66","0.343076689433421","0.273530311342751","0.412623067524091"
"Sometimes","2013","no migration background","general elemantary","589","0.346001374113945","0.324441083153438","0.367561665074451"
"Sometimes","2013","no migration background","middle vocational","3830","0.349264349877517","0.34035489937821","0.358173800376824"
"Sometimes","2013","no migration background","vocational + Abi","464","0.364497571870393","0.339196051555088","0.389799092185699"
"Sometimes","2013","no migration background","higher vocational","550","0.385147246222994","0.360747496387206","0.409546996058782"
"Sometimes","2013","no migration background","higher education","1681","0.348681076574497","0.335589250195859","0.361772902953135"
"Sometimes","2013","direct migration background","in school","","","",""
"Sometimes","2013","direct migration background","inadequately","44","0.380563258281154","0.29475927598624","0.466367240576069"
"Sometimes","2013","direct migration background","general elemantary","169","0.347468156210457","0.306383316191435","0.388552996229479"
"Sometimes","2013","direct migration background","middle vocational","321","0.336896450646953","0.307198220744982","0.366594680548923"
"Sometimes","2013","direct migration background","vocational + Abi","109","0.366346037707224","0.312798473124623","0.419893602289824"
"Sometimes","2013","direct migration background","higher vocational","30","0.393220424709417","0.297000723377637","0.489440126041198"
"Sometimes","2013","direct migration background","higher education","195","0.320970423463262","0.282304273519247","0.359636573407277"
"Sometimes","2013","indirect migration background","in school","","","",""
"Sometimes","2013","indirect migration background","inadequately","","","",""
"Sometimes","2013","indirect migration background","general elemantary","58","0.29868149083261","0.236029775475248","0.361333206189973"
"Sometimes","2013","indirect migration background","middle vocational","151","0.299306920557884","0.258036412615565","0.340577428500204"
"Sometimes","2013","indirect migration background","vocational + Abi","31","0.416648631007222","0.305073462960393","0.52822379905405"
"Sometimes","2013","indirect migration background","higher vocational","","","",""
"Sometimes","2013","indirect migration background","higher education","58","0.276146105915755","0.211720702591351","0.34057150924016"
"Rarely ","2013","no migration background","in school","145","0.416881086301306","0.363685477804814","0.470076694797799"
"Rarely ","2013","no migration background","inadequately","42","0.299439135696167","0.232342801670978","0.366535469721356"
"Rarely ","2013","no migration background","general elemantary","663","0.335762338065467","0.314357841085881","0.357166835045054"
"Rarely ","2013","no migration background","middle vocational","4109","0.377788329548771","0.368727565205476","0.386849093892066"
"Rarely ","2013","no migration background","vocational + Abi","594","0.406273562895488","0.38045434004854","0.432092785742437"
"Rarely ","2013","no migration background","higher vocational","610","0.381470770294143","0.357115264056532","0.405826276531754"
"Rarely ","2013","no migration background","higher education","2167","0.416017225172889","0.402476407978976","0.429558042366803"
"Rarely ","2013","direct migration background","in school","","","",""
"Rarely ","2013","direct migration background","inadequately","","","",""
"Rarely ","2013","direct migration background","general elemantary","161","0.269632685950803","0.231343143760107","0.307922228141499"
"Rarely ","2013","direct migration background","middle vocational","304","0.317087978301362","0.287848882492284","0.346327074110441"
"Rarely ","2013","direct migration background","vocational + Abi","103","0.329714556362379","0.277466895590183","0.381962217134575"
"Rarely ","2013","direct migration background","higher vocational","31","0.289085219585361","0.19978506528685","0.378385373883873"
"Rarely ","2013","direct migration background","higher education","181","0.359105876633156","0.319372225131161","0.398839528135151"
"Rarely ","2013","indirect migration background","in school","38","0.316891569057088","0.222836040274857","0.410947097839319"
"Rarely ","2013","indirect migration background","inadequately","","","",""
"Rarely ","2013","indirect migration background","general elemantary","76","0.303233288910695","0.240311176328753","0.366155401492637"
"Rarely ","2013","indirect migration background","middle vocational","176","0.400198550136931","0.356045670669682","0.44435142960418"
"Rarely ","2013","indirect migration background","vocational + Abi","","","",""
"Rarely ","2013","indirect migration background","higher vocational","","","",""
"Rarely ","2013","indirect migration background","higher education","77","0.41048317967359","0.339597581221772","0.481368778125408"
"Never","2013","no migration background","in school","65","0.21181494103212","0.167730685034565","0.255899197029675"
"Never","2013","no migration background","inadequately","","","",""
"Never","2013","no migration background","general elemantary","366","0.187875181640685","0.170171100726485","0.205579262554884"
"Never","2013","no migration background","middle vocational","1968","0.171515080201357","0.164470340526022","0.178559819876691"
"Never","2013","no migration background","vocational + Abi","214","0.128683174957337","0.111080055959817","0.146286293954857"
"Never","2013","no migration background","higher vocational","256","0.154836660859771","0.136698483780231","0.172974837939311"
"Never","2013","no migration background","higher education","888","0.151620255442965","0.141767380800069","0.16147313008586"
"Never","2013","direct migration background","in school","","","",""
"Never","2013","direct migration background","inadequately","","","",""
"Never","2013","direct migration background","general elemantary","100","0.216255399805091","0.18073367860866","0.251777121001523"
"Never","2013","direct migration background","middle vocational","213","0.224035520548688","0.197837345965483","0.250233695131892"
"Never","2013","direct migration background","vocational + Abi","53","0.198387483893242","0.154066716034164","0.242708251752319"
"Never","2013","direct migration background","higher vocational","","","",""
"Never","2013","direct migration background","higher education","86","0.141379767978112","0.112522961386166","0.170236574570059"
"Never","2013","indirect migration background","in school","","","",""
"Never","2013","indirect migration background","inadequately","","","",""
"Never","2013","indirect migration background","general elemantary","40","0.266447820163751","0.205928679554277","0.326966960773225"
"Never","2013","indirect migration background","middle vocational","85","0.170699403296165","0.136792391990828","0.204606414601502"
"Never","2013","indirect migration background","vocational + Abi","","","",""
"Never","2013","indirect migration background","higher vocational","","","",""
"Never","2013","indirect migration background","higher education","","","",""
"Very often","2014","no migration background","in school","","","",""
"Very often","2014","no migration background","inadequately","","","",""
"Very often","2014","no migration background","general elemantary","","","",""
"Very often","2014","no migration background","middle vocational","","","",""
"Very often","2014","no migration background","vocational + Abi","","","",""
"Very often","2014","no migration background","higher vocational","","","",""
"Very often","2014","no migration background","higher education","","","",""
"Very often","2014","direct migration background","in school","","","",""
"Very often","2014","direct migration background","inadequately","","","",""
"Very often","2014","direct migration background","general elemantary","","","",""
"Very often","2014","direct migration background","middle vocational","","","",""
"Very often","2014","direct migration background","vocational + Abi","","","",""
"Very often","2014","direct migration background","higher vocational","","","",""
"Very often","2014","direct migration background","higher education","","","",""
"Very often","2014","indirect migration background","in school","","","",""
"Very often","2014","indirect migration background","inadequately","","","",""
"Very often","2014","indirect migration background","general elemantary","","","",""
"Very often","2014","indirect migration background","middle vocational","","","",""
"Very often","2014","indirect migration background","vocational + Abi","","","",""
"Very often","2014","indirect migration background","higher vocational","","","",""
"Very often","2014","indirect migration background","higher education","","","",""
"Often","2014","no migration background","in school","","","",""
"Often","2014","no migration background","inadequately","","","",""
"Often","2014","no migration background","general elemantary","","","",""
"Often","2014","no migration background","middle vocational","","","",""
"Often","2014","no migration background","vocational + Abi","","","",""
"Often","2014","no migration background","higher vocational","","","",""
"Often","2014","no migration background","higher education","","","",""
"Often","2014","direct migration background","in school","","","",""
"Often","2014","direct migration background","inadequately","","","",""
"Often","2014","direct migration background","general elemantary","","","",""
"Often","2014","direct migration background","middle vocational","","","",""
"Often","2014","direct migration background","vocational + Abi","","","",""
"Often","2014","direct migration background","higher vocational","","","",""
"Often","2014","direct migration background","higher education","","","",""
"Often","2014","indirect migration background","in school","","","",""
"Often","2014","indirect migration background","inadequately","","","",""
"Often","2014","indirect migration background","general elemantary","","","",""
"Often","2014","indirect migration background","middle vocational","","","",""
"Often","2014","indirect migration background","vocational + Abi","","","",""
"Often","2014","indirect migration background","higher vocational","","","",""
"Often","2014","indirect migration background","higher education","","","",""
"Sometimes","2014","no migration background","in school","","","",""
"Sometimes","2014","no migration background","inadequately","","","",""
"Sometimes","2014","no migration background","general elemantary","","","",""
"Sometimes","2014","no migration background","middle vocational","","","",""
"Sometimes","2014","no migration background","vocational + Abi","","","",""
"Sometimes","2014","no migration background","higher vocational","","","",""
"Sometimes","2014","no migration background","higher education","","","",""
"Sometimes","2014","direct migration background","in school","","","",""
"Sometimes","2014","direct migration background","inadequately","","","",""
"Sometimes","2014","direct migration background","general elemantary","","","",""
"Sometimes","2014","direct migration background","middle vocational","","","",""
"Sometimes","2014","direct migration background","vocational + Abi","","","",""
"Sometimes","2014","direct migration background","higher vocational","","","",""
"Sometimes","2014","direct migration background","higher education","","","",""
"Sometimes","2014","indirect migration background","in school","","","",""
"Sometimes","2014","indirect migration background","inadequately","","","",""
"Sometimes","2014","indirect migration background","general elemantary","","","",""
"Sometimes","2014","indirect migration background","middle vocational","","","",""
"Sometimes","2014","indirect migration background","vocational + Abi","","","",""
"Sometimes","2014","indirect migration background","higher vocational","","","",""
"Sometimes","2014","indirect migration background","higher education","","","",""
"Rarely ","2014","no migration background","in school","","","",""
"Rarely ","2014","no migration background","inadequately","","","",""
"Rarely ","2014","no migration background","general elemantary","","","",""
"Rarely ","2014","no migration background","middle vocational","","","",""
"Rarely ","2014","no migration background","vocational + Abi","","","",""
"Rarely ","2014","no migration background","higher vocational","","","",""
"Rarely ","2014","no migration background","higher education","","","",""
"Rarely ","2014","direct migration background","in school","","","",""
"Rarely ","2014","direct migration background","inadequately","","","",""
"Rarely ","2014","direct migration background","general elemantary","","","",""
"Rarely ","2014","direct migration background","middle vocational","","","",""
"Rarely ","2014","direct migration background","vocational + Abi","","","",""
"Rarely ","2014","direct migration background","higher vocational","","","",""
"Rarely ","2014","direct migration background","higher education","","","",""
"Rarely ","2014","indirect migration background","in school","","","",""
"Rarely ","2014","indirect migration background","inadequately","","","",""
"Rarely ","2014","indirect migration background","general elemantary","","","",""
