"plj0587","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","in school","","","",""
"Very often","2013","lower secondary degree","inadequately","","","",""
"Very often","2013","lower secondary degree","general elemantary","51","0.0329731286069864","0.0240576200526872","0.0418886371612856"
"Very often","2013","lower secondary degree","middle vocational","101","0.0210494288579353","0.0170768743275411","0.0250219833883295"
"Very often","2013","lower secondary degree","vocational + Abi","","","",""
"Very often","2013","lower secondary degree","higher vocational","6","","",""
"Very often","2013","lower secondary degree","higher education","2","","",""
"Very often","2013","secondary school degree","in school","","","",""
"Very often","2013","secondary school degree","inadequately","","","",""
"Very often","2013","secondary school degree","general elemantary","15","","",""
"Very often","2013","secondary school degree","middle vocational","100","0.0189464667675844","0.0154157973505107","0.0224771361846581"
"Very often","2013","secondary school degree","vocational + Abi","","","",""
"Very often","2013","secondary school degree","higher vocational","4","","",""
"Very often","2013","secondary school degree","higher education","13","","",""
"Very often","2013","college entrance qualification","in school","","","",""
"Very often","2013","college entrance qualification","inadequately","","","",""
"Very often","2013","college entrance qualification","general elemantary","","","",""
"Very often","2013","college entrance qualification","middle vocational","14","","",""
"Very often","2013","college entrance qualification","vocational + Abi","27","","",""
"Very often","2013","college entrance qualification","higher vocational","4","","",""
"Very often","2013","college entrance qualification","higher education","38","0.00818410276409659","0.00556337907653397","0.0108048264516592"
"Very often","2013","Other degree","in school","","","",""
"Very often","2013","Other degree","inadequately","7","","",""
"Very often","2013","Other degree","general elemantary","16","","",""
"Very often","2013","Other degree","middle vocational","18","","",""
"Very often","2013","Other degree","vocational + Abi","12","","",""
"Very often","2013","Other degree","higher vocational","1","","",""
"Very often","2013","Other degree","higher education","17","","",""
"Very often","2013","no degree/no degree yet","in school","2","","",""
"Very often","2013","no degree/no degree yet","inadequately","18","","",""
"Very often","2013","no degree/no degree yet","general elemantary","","","",""
"Very often","2013","no degree/no degree yet","middle vocational","4","","",""
"Very often","2013","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2013","no degree/no degree yet","higher vocational","","","",""
"Very often","2013","no degree/no degree yet","higher education","","","",""
"Often","2013","lower secondary degree","in school","","","",""
"Often","2013","lower secondary degree","inadequately","","","",""
"Often","2013","lower secondary degree","general elemantary","178","0.103875676774159","0.0886425927530598","0.119108760795259"
"Often","2013","lower secondary degree","middle vocational","411","0.0819044256702588","0.0743157331092954","0.0894931182312222"
"Often","2013","lower secondary degree","vocational + Abi","1","","",""
"Often","2013","lower secondary degree","higher vocational","24","","",""
"Often","2013","lower secondary degree","higher education","14","","",""
"Often","2013","secondary school degree","in school","","","",""
"Often","2013","secondary school degree","inadequately","","","",""
"Often","2013","secondary school degree","general elemantary","73","0.114365879356641","0.0911355233443482","0.137596235368934"
"Often","2013","secondary school degree","middle vocational","477","0.0831954722419029","0.0760433520083547","0.090347592475451"
"Often","2013","secondary school degree","vocational + Abi","3","","",""
"Often","2013","secondary school degree","higher vocational","54","0.0750922714528085","0.0562563879533694","0.0939281549522476"
"Often","2013","secondary school degree","higher education","52","0.0966850373634332","0.0742909035560254","0.119079171170841"
"Often","2013","college entrance qualification","in school","","","",""
"Often","2013","college entrance qualification","inadequately","","","",""
"Often","2013","college entrance qualification","general elemantary","","","",""
"Often","2013","college entrance qualification","middle vocational","68","0.0615585245291017","0.0456512420932115","0.0774658069649919"
"Often","2013","college entrance qualification","vocational + Abi","103","0.0624923567286376","0.0503560296018968","0.0746286838553784"
"Often","2013","college entrance qualification","higher vocational","30","0.064072126474117","0.041521700516786","0.086622552431448"
"Often","2013","college entrance qualification","higher education","269","0.0681258163912361","0.0607966485961255","0.0754549841863467"
"Often","2013","Other degree","in school","","","",""
"Often","2013","Other degree","inadequately","6","","",""
"Often","2013","Other degree","general elemantary","36","0.122159773952638","0.0867745465231035","0.157545001382172"
"Often","2013","Other degree","middle vocational","62","0.119802488565955","0.0929071469201731","0.146697830211737"
"Often","2013","Other degree","vocational + Abi","27","","",""
"Often","2013","Other degree","higher vocational","6","","",""
"Often","2013","Other degree","higher education","62","0.179976704940938","0.141849318990767","0.218104090891109"
"Often","2013","no degree/no degree yet","in school","36","0.104177306742991","0.0757618789494614","0.132592734536521"
"Often","2013","no degree/no degree yet","inadequately","50","0.158735111536578","0.115227391228152","0.202242831845004"
"Often","2013","no degree/no degree yet","general elemantary","","","",""
"Often","2013","no degree/no degree yet","middle vocational","10","","",""
"Often","2013","no degree/no degree yet","vocational + Abi","","","",""
"Often","2013","no degree/no degree yet","higher vocational","","","",""
"Often","2013","no degree/no degree yet","higher education","","","",""
"Sometimes","2013","lower secondary degree","in school","","","",""
"Sometimes","2013","lower secondary degree","inadequately","","","",""
"Sometimes","2013","lower secondary degree","general elemantary","475","0.342080510888785","0.318394206096116","0.365766815681453"
"Sometimes","2013","lower secondary degree","middle vocational","1668","0.343960143742104","0.330814298951292","0.357105988532915"
"Sometimes","2013","lower secondary degree","vocational + Abi","2","","",""
"Sometimes","2013","lower secondary degree","higher vocational","134","0.305612349378642","0.260691924800272","0.350532773957012"
"Sometimes","2013","lower secondary degree","higher education","57","0.426960146041758","0.350316848356761","0.503603443726755"
"Sometimes","2013","secondary school degree","in school","","","",""
"Sometimes","2013","secondary school degree","inadequately","","","",""
"Sometimes","2013","secondary school degree","general elemantary","231","0.34992439419706","0.315110748667123","0.384738039726997"
"Sometimes","2013","secondary school degree","middle vocational","2066","0.358565202873971","0.346145622712153","0.370984783035788"
"Sometimes","2013","secondary school degree","vocational + Abi","6","","",""
"Sometimes","2013","secondary school degree","higher vocational","280","0.395756277762236","0.360805314419717","0.430707241104754"
"Sometimes","2013","secondary school degree","higher education","230","0.359477605524807","0.323116413560201","0.395838797489413"
