"plj0587","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","(0) in school","","","",""
"Very often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2013","lower secondary degree","(1b) general elementary school","51","0.0329853235167663","0.0240653279750568","0.0419053190584759"
"Very often","2013","lower secondary degree","(1c) basic vocational qualification","107","0.0208439929711379","0.017034324300679","0.0246536616415969"
"Very often","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Very often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Very often","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Very often","2013","secondary school degree","(0) in school","","","",""
"Very often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2013","secondary school degree","(1b) general elementary school","","","",""
"Very often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"Very often","2013","secondary school degree","(2a) intermediate vocational","104","0.0177092120200577","0.0144966770861869","0.0209217469539285"
"Very often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Very often","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Very often","2013","college entrance qualification","(0) in school","","","",""
"Very often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2013","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Very often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","31","0.026154552557233","0.0191266696057836","0.0331824355086825"
"Very often","2013","college entrance qualification","(3a) lower tertiary education","","","",""
"Very often","2013","college entrance qualification","(3b) higher tertiary education","","","",""
"Very often","2013","Other degree","(0) in school","","","",""
"Very often","2013","Other degree","(1a) inadequately completed","","","",""
"Very often","2013","Other degree","(1b) general elementary school","","","",""
"Very often","2013","Other degree","(1c) basic vocational qualification","","","",""
"Very often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2013","Other degree","(2a) intermediate vocational","","","",""
"Very often","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Other degree","(3a) lower tertiary education","","","",""
"Very often","2013","Other degree","(3b) higher tertiary education","","","",""
"Very often","2013","no degree/no degree yet","(0) in school","","","",""
"Very often","2013","no degree/no degree yet","(1a) inadequately completed","","","",""
"Very often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2013","lower secondary degree","(0) in school","","","",""
"Often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2013","lower secondary degree","(1b) general elementary school","177","0.103544250678578","0.0883277372422051","0.11876076411495"
"Often","2013","lower secondary degree","(1c) basic vocational qualification","430","0.0792165323838007","0.0720144601725678","0.0864186045950337"
"Often","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Often","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Often","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Often","2013","secondary school degree","(0) in school","","","",""
"Often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Often","2013","secondary school degree","(1b) general elementary school","","","",""
"Often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Often","2013","secondary school degree","(2b) intermediate general qualification","73","0.114365879356641","0.0911355233443482","0.137596235368934"
"Often","2013","secondary school degree","(2a) intermediate vocational","529","0.081881980915345","0.0752035931696329","0.0885603686610572"
"Often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","secondary school degree","(3a) lower tertiary education","37","0.0853293263153253","0.0614999505550217","0.109158702075629"
"Often","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Often","2013","college entrance qualification","(0) in school","","","",""
"Often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Often","2013","college entrance qualification","(2c_gen) general maturity certificate","68","0.0615585245291017","0.0456512420932115","0.0774658069649919"
"Often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","133","0.0628741051711071","0.0521850152359832","0.0735631951062309"
"Often","2013","college entrance qualification","(3a) lower tertiary education","64","0.0582292783133131","0.0458784937059797","0.0705800629206465"
"Often","2013","college entrance qualification","(3b) higher tertiary education","205","0.0730040531349901","0.0639324157530392","0.082075690516941"
"Often","2013","Other degree","(0) in school","","","",""
"Often","2013","Other degree","(1a) inadequately completed","","","",""
"Often","2013","Other degree","(1b) general elementary school","42","0.120075680111389","0.0876907624887578","0.15246059773402"
"Often","2013","Other degree","(1c) basic vocational qualification","46","0.117799206574072","0.087609010025412","0.147989403122732"
"Often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Often","2013","Other degree","(2a) intermediate vocational","","","",""
"Often","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","Other degree","(3a) lower tertiary education","","","",""
"Often","2013","Other degree","(3b) higher tertiary education","61","0.201869273315178","0.160347777374451","0.243390769255905"
"Often","2013","no degree/no degree yet","(0) in school","36","0.103212638081409","0.0750089756224774","0.131416300540341"
"Often","2013","no degree/no degree yet","(1a) inadequately completed","60","0.135381498297114","0.100039690469215","0.170723306125014"
"Often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Sometimes","2013","lower secondary degree","(0) in school","","","",""
"Sometimes","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Sometimes","2013","lower secondary degree","(1b) general elementary school","475","0.342207027271791","0.318510930914865","0.365903123628716"
"Sometimes","2013","lower secondary degree","(1c) basic vocational qualification","1798","0.342366831576948","0.329713394856421","0.355020268297474"
"Sometimes","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Sometimes","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Sometimes","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Sometimes","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2013","lower secondary degree","(3a) lower tertiary education","42","0.394002728409333","0.307649121104861","0.480356335713806"
"Sometimes","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Sometimes","2013","secondary school degree","(0) in school","","","",""
"Sometimes","2013","secondary school degree","(1a) inadequately completed","","","",""
"Sometimes","2013","secondary school degree","(1b) general elementary school","","","",""
"Sometimes","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Sometimes","2013","secondary school degree","(2b) intermediate general qualification","231","0.34992439419706","0.315110748667123","0.384738039726997"
