"plj0587","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","lower secondary degree","21","","",""
"Very often","2013","16-34 y.","secondary school degree","33","0.0212716965747116","0.0141638217298388","0.0283795714195843"
"Very often","2013","16-34 y.","college entrance qualification","27","","",""
"Very often","2013","16-34 y.","Other degree","13","","",""
"Very often","2013","16-34 y.","no degree/no degree yet","9","","",""
"Very often","2013","35-65 y.","lower secondary degree","77","0.0206033552184457","0.0159488212517642","0.0252578891851272"
"Very often","2013","35-65 y.","secondary school degree","79","0.0162670369345705","0.0128613635556992","0.0196727103134418"
"Very often","2013","35-65 y.","college entrance qualification","42","0.0124068002050347","0.00922352510935045","0.0155900753007189"
"Very often","2013","35-65 y.","Other degree","49","0.0290037621932285","0.0191135304261365","0.0388939939603204"
"Very often","2013","35-65 y.","no degree/no degree yet","9","","",""
"Very often","2013","66 and older","lower secondary degree","62","0.0267699181522978","0.0206417486649118","0.0328980876396837"
"Very often","2013","66 and older","secondary school degree","20","","",""
"Very often","2013","66 and older","college entrance qualification","14","","",""
"Very often","2013","66 and older","Other degree","9","","",""
"Very often","2013","66 and older","no degree/no degree yet","6","","",""
"Often","2013","16-34 y.","lower secondary degree","98","0.0887566578863124","0.0699987070335842","0.107514608739041"
"Often","2013","16-34 y.","secondary school degree","172","0.10638338330387","0.0911946991706425","0.121572067437097"
"Often","2013","16-34 y.","college entrance qualification","148","0.0750966718622704","0.0628808455252329","0.0873124981993079"
"Often","2013","16-34 y.","Other degree","28","","",""
"Often","2013","16-34 y.","no degree/no degree yet","60","0.115375223639506","0.0887241702380274","0.142026277040984"
"Often","2013","35-65 y.","lower secondary degree","308","0.0780179211979359","0.0692299960367914","0.0868058463590804"
"Often","2013","35-65 y.","secondary school degree","406","0.0813676752078126","0.0740071810599932","0.0887281693556321"
"Often","2013","35-65 y.","college entrance qualification","263","0.0587641600791119","0.0520008277745185","0.0655274923837053"
"Often","2013","35-65 y.","Other degree","140","0.136808561838696","0.116555964493849","0.157061159183543"
"Often","2013","35-65 y.","no degree/no degree yet","26","","",""
"Often","2013","66 and older","lower secondary degree","222","0.0912954008269675","0.0803599851205913","0.102230816533344"
"Often","2013","66 and older","secondary school degree","81","0.0816738274336617","0.0647419547103392","0.0986057001569843"
"Often","2013","66 and older","college entrance qualification","59","0.0716696256658268","0.0553952894983602","0.0879439618332934"
"Often","2013","66 and older","Other degree","31","0.122064281250454","0.081884861628291","0.162243700872618"
"Often","2013","66 and older","no degree/no degree yet","10","","",""
"Sometimes","2013","16-34 y.","lower secondary degree","296","0.376989779507","0.345024381738544","0.408955177275456"
"Sometimes","2013","16-34 y.","secondary school degree","570","0.367763884413072","0.344010154020849","0.391517614805294"
