"plj0587","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","(0) in school","","","",""
"Very often","2013","1-pers.-HH","(1a) inadequately completed","5","","",""
"Very often","2013","1-pers.-HH","(1b) general elementary school","20","","",""
"Very often","2013","1-pers.-HH","(1c) basic vocational qualification","51","0.0505120995058185","0.0365933486847124","0.0644308503269246"
"Very often","2013","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Very often","2013","1-pers.-HH","(2a) intermediate vocational","34","0.0368986050708667","0.023574872681894","0.0502223374598394"
"Very often","2013","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Very often","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","12","","",""
"Very often","2013","1-pers.-HH","(3a) lower tertiary education","12","","",""
"Very often","2013","1-pers.-HH","(3b) higher tertiary education","14","","",""
"Very often","2013","(Married) couple without C. ","(0) in school","","","",""
"Very often","2013","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Very often","2013","(Married) couple without C. ","(1b) general elementary school","14","","",""
"Very often","2013","(Married) couple without C. ","(1c) basic vocational qualification","24","","",""
"Very often","2013","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Very often","2013","(Married) couple without C. ","(2a) intermediate vocational","11","","",""
"Very often","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Very often","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","7","","",""
"Very often","2013","(Married) couple without C. ","(3a) lower tertiary education","7","","",""
"Very often","2013","(Married) couple without C. ","(3b) higher tertiary education","9","","",""
"Very often","2013","Single parent ","(0) in school","1","","",""
"Very often","2013","Single parent ","(1a) inadequately completed","6","","",""
"Very often","2013","Single parent ","(1b) general elementary school","19","","",""
"Very often","2013","Single parent ","(1c) basic vocational qualification","9","","",""
"Very often","2013","Single parent ","(2b) intermediate general qualification","6","","",""
"Very often","2013","Single parent ","(2a) intermediate vocational","28","","",""
"Very often","2013","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Very often","2013","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Very often","2013","Single parent ","(3a) lower tertiary education","1","","",""
