"plj0587","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","no migration background","Rural Area","1391","0.15951449513273","0.151631076084177","0.167397914181283","5"
"Never","2013","direct migration background","Rural Area","114","0.203650960610643","0.17262030778318","0.234681613438107","5"
"Never","2013","indirect migration background","Urban Area","177","0.205978459065634","0.180436041987799","0.231520876143469","5"
"Never","2013","indirect migration background","Rural Area","43","0.235779534953037","0.180066342539513","0.291492727366561","5"
"Never","2013","direct migration background","Urban Area","406","0.201434506037487","0.183896495495713","0.218972516579262","5"
"Never","2013","no migration background","Urban Area","2482","0.169911658241223","0.163562175304229","0.176261141178218","5"
"Often","2013","no migration background","Rural Area","670","0.0878171288247147","0.0817234439036449","0.0939108137457846","2"
"Often","2013","no migration background","Urban Area","995","0.0767771392284809","0.0722758817908418","0.0812783966661201","2"
"Often","2013","direct migration background","Urban Area","239","0.121969909319279","0.107659924502128","0.13627989413643","2"
"Often","2013","direct migration background","Rural Area","82","0.109735982091788","0.0856519116697724","0.133820052513803","2"
"Often","2013","indirect migration background","Urban Area","117","0.101768039636041","0.0826723695086055","0.120863709763477","2"
"Often","2013","indirect migration background","Rural Area","17","","","","2"
"Rarely ","2013","no migration background","Rural Area","3227","0.376730977141929","0.366298129650047","0.387163824633811","4"
"Rarely ","2013","no migration background","Urban Area","5221","0.386963282530169","0.378728678190373","0.395197886869964","4"
"Rarely ","2013","direct migration background","Urban Area","636","0.313488826058382","0.293202987700716","0.333774664416047","4"
"Rarely ","2013","direct migration background","Rural Area","194","0.297271065309131","0.262052943731569","0.332489186886693","4"
"Rarely ","2013","indirect migration background","Urban Area","370","0.387136274368542","0.356371846767189","0.417900701969895","4"
"Rarely ","2013","indirect migration background","Rural Area","77","0.308843504440632","0.248204356211687","0.369482652669577","4"
"Sometimes","2013","no migration background","Rural Area","2849","0.356556346368412","0.346243732239033","0.36686896049779","3"
"Sometimes","2013","direct migration background","Urban Area","653","0.337388491762593","0.316713147851743","0.358063835673443","3"
"Sometimes","2013","indirect migration background","Rural Area","79","0.358720932677676","0.29577066930224","0.421671196053112","3"
"Sometimes","2013","indirect migration background","Urban Area","283","0.287181818319021","0.258605728501467","0.315757908136575","3"
"Sometimes","2013","no migration background","Urban Area","4525","0.347221604354251","0.339172438613664","0.355270770094837","3"
"Sometimes","2013","direct migration background","Rural Area","238","0.360310030283419","0.323317086091101","0.397302974475738","3"
"Very often","2013","no migration background","Urban Area","216","0.0191263156458765","0.0168105915482486","0.0214420397435044","1"
"Very often","2013","no migration background","Rural Area","150","0.0193810525322148","0.016412886155146","0.0223492189092836","1"
"Very often","2013","direct migration background","Urban Area","75","0.0257182668222594","0.0187964316789873","0.0326401019655315","1"
