"plj0587","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","no migration background","146","0.0234017565367776","0.0196988859163781","0.0271046271571771"
"Very often","2013","lower secondary degree","direct migration background","","","",""
"Very often","2013","lower secondary degree","indirect migration background","","","",""
"Very often","2013","secondary school degree","no migration background","118","0.0184593209406926","0.0153740592144689","0.0215445826669163"
"Very often","2013","secondary school degree","direct migration background","","","",""
"Very often","2013","secondary school degree","indirect migration background","","","",""
"Very often","2013","college entrance qualification","no migration background","76","0.0147877235531938","0.0119026970468897","0.0176727500594979"
"Very often","2013","college entrance qualification","direct migration background","","","",""
"Very often","2013","college entrance qualification","indirect migration background","","","",""
"Very often","2013","Other degree","no migration background","","","",""
"Very often","2013","Other degree","direct migration background","58","0.0289913395091909","0.0201262205697859","0.0378564584485959"
"Very often","2013","Other degree","indirect migration background","","","",""
"Very often","2013","no degree/no degree yet","no migration background","","","",""
"Very often","2013","no degree/no degree yet","direct migration background","","","",""
"Very often","2013","no degree/no degree yet","indirect migration background","","","",""
"Often","2013","lower secondary degree","no migration background","544","0.0840284865464037","0.0772331558827889","0.0908238172100185"
"Often","2013","lower secondary degree","direct migration background","54","0.105553981228088","0.0768437870594334","0.134264175396742"
"Often","2013","lower secondary degree","indirect migration background","30","0.0802688574447806","0.0486126516960914","0.11192506319347"
"Often","2013","secondary school degree","no migration background","589","0.0836328965093841","0.0772875796505464","0.0899782133682219"
"Often","2013","secondary school degree","direct migration background","35","0.133714440161079","0.0932677179986579","0.174161162323499"
"Often","2013","secondary school degree","indirect migration background","35","0.139634331324898","0.100671640688997","0.178597021960798"
"Often","2013","college entrance qualification","no migration background","404","0.0651245976813266","0.0592268847192783","0.0710223106433748"
"Often","2013","college entrance qualification","direct migration background","","","",""
"Often","2013","college entrance qualification","indirect migration background","37","0.071551584309711","0.0448152107880019","0.0982879578314201"
"Often","2013","Other degree","no migration background","","","",""
"Often","2013","Other degree","direct migration background","171","0.128514533507074","0.110831976349329","0.146197090664819"
"Often","2013","Other degree","indirect migration background","","","",""
"Often","2013","no degree/no degree yet","no migration background","59","0.134236718393847","0.105268117557457","0.163205319230237"
"Often","2013","no degree/no degree yet","direct migration background","","","",""
"Often","2013","no degree/no degree yet","indirect migration background","","","",""
"Sometimes","2013","lower secondary degree","no migration background","2092","0.341698178892089","0.330081280241251","0.353315077542927"
"Sometimes","2013","lower secondary degree","direct migration background","154","0.406500994738224","0.36060629246999","0.452395697006457"
"Sometimes","2013","lower secondary degree","indirect migration background","90","0.27687978348077","0.224747620022151","0.32901194693939"
"Sometimes","2013","secondary school degree","no migration background","2636","0.363727435027144","0.352700885602801","0.374753984451488"
"Sometimes","2013","secondary school degree","direct migration background","80","0.354680410197255","0.297825279191366","0.411535541203144"
"Sometimes","2013","secondary school degree","indirect migration background","97","0.297773409928959","0.2463698861561","0.349176933701818"
"Sometimes","2013","college entrance qualification","no migration background","2242","0.355255010327482","0.343815739755464","0.3666942808995"
"Sometimes","2013","college entrance qualification","direct migration background","100","0.270038773753277","0.221164375929342","0.318913171577211"
"Sometimes","2013","college entrance qualification","indirect migration background","114","0.314524628257693","0.266358998864199","0.362690257651187"
"Sometimes","2013","Other degree","no migration background","62","0.312502007094742","0.24826353303879","0.376740481150695"
"Sometimes","2013","Other degree","direct migration background","477","0.339577322902111","0.314555485199536","0.364599160604686"
