"plb0218","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","in school","3","","",""
"No, never","2005","Not Employed","inadequately","3","","",""
"No, never","2005","Not Employed","general elemantary","13","","",""
"No, never","2005","Not Employed","middle vocational","47","0.68706843843516","0.578444947960888","0.795691928909432"
"No, never","2005","Not Employed","vocational + Abi","4","","",""
"No, never","2005","Not Employed","higher vocational","5","","",""
"No, never","2005","Not Employed","higher education","16","","",""
"No, never","2005","Employed","in school","13","","",""
"No, never","2005","Employed","inadequately","39","0.512418015173684","0.395323893999688","0.629512136347681"
"No, never","2005","Employed","general elemantary","419","0.439694392501009","0.406956125435189","0.47243265956683"
"No, never","2005","Employed","middle vocational","2025","0.356696640237922","0.34400341014214","0.369389870333705"
"No, never","2005","Employed","vocational + Abi","332","0.438688342161168","0.403547369020514","0.473829315301823"
"No, never","2005","Employed","higher vocational","303","0.286030103348992","0.258146536360179","0.313913670337804"
"No, never","2005","Employed","higher education","996","0.330318483404679","0.313212408115037","0.347424558694321"
"Yes, every week","2005","Not Employed","in school","","","",""
"Yes, every week","2005","Not Employed","inadequately","","","",""
"Yes, every week","2005","Not Employed","general elemantary","4","","",""
"Yes, every week","2005","Not Employed","middle vocational","8","","",""
"Yes, every week","2005","Not Employed","vocational + Abi","","","",""
"Yes, every week","2005","Not Employed","higher vocational","4","","",""
"Yes, every week","2005","Not Employed","higher education","2","","",""
"Yes, every week","2005","Employed","in school","14","","",""
"Yes, every week","2005","Employed","inadequately","8","","",""
"Yes, every week","2005","Employed","general elemantary","130","0.178426707076447","0.153173250773645","0.203680163379249"
"Yes, every week","2005","Employed","middle vocational","780","0.151954800469653","0.142442590110234","0.161467010829073"
"Yes, every week","2005","Employed","vocational + Abi","70","0.0958209702284129","0.0749764836055287","0.116665456851297"
"Yes, every week","2005","Employed","higher vocational","147","0.150181740011355","0.128138567319225","0.172224912703485"
"Yes, every week","2005","Employed","higher education","418","0.145726502311235","0.132893817654397","0.158559186968073"
"Yes, every 2 weeks","2005","Not Employed","in school","","","",""
"Yes, every 2 weeks","2005","Not Employed","inadequately","","","",""
"Yes, every 2 weeks","2005","Not Employed","general elemantary","6","","",""
"Yes, every 2 weeks","2005","Not Employed","middle vocational","7","","",""
"Yes, every 2 weeks","2005","Not Employed","vocational + Abi","1","","",""
"Yes, every 2 weeks","2005","Not Employed","higher vocational","1","","",""
"Yes, every 2 weeks","2005","Not Employed","higher education","3","","",""
"Yes, every 2 weeks","2005","Employed","in school","7","","",""
"Yes, every 2 weeks","2005","Employed","inadequately","7","","",""
"Yes, every 2 weeks","2005","Employed","general elemantary","133","0.158677121263196","0.134577720424173","0.18277652210222"
"Yes, every 2 weeks","2005","Employed","middle vocational","837","0.152620956407342","0.143091663448215","0.162150249366469"
"Yes, every 2 weeks","2005","Employed","vocational + Abi","109","0.136579939266371","0.112261358199355","0.160898520333387"
"Yes, every 2 weeks","2005","Employed","higher vocational","159","0.173672242626121","0.150297658927565","0.197046826324677"
"Yes, every 2 weeks","2005","Employed","higher education","304","0.11656949991524","0.104897952298149","0.128241047532332"
"Yes, every 3-4 weeks","2005","Not Employed","in school","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","inadequately","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","general elemantary","3","","",""
"Yes, every 3-4 weeks","2005","Not Employed","middle vocational","2","","",""
"Yes, every 3-4 weeks","2005","Not Employed","vocational + Abi","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","higher vocational","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","higher education","2","","",""
"Yes, every 3-4 weeks","2005","Employed","in school","2","","",""
"Yes, every 3-4 weeks","2005","Employed","inadequately","5","","",""
"Yes, every 3-4 weeks","2005","Employed","general elemantary","67","0.0666265584972917","0.0501783292892724","0.083074787705311"
"Yes, every 3-4 weeks","2005","Employed","middle vocational","528","0.104250288762785","0.0961528680292926","0.112347709496277"
"Yes, every 3-4 weeks","2005","Employed","vocational + Abi","68","0.0789912760108226","0.0598903183083255","0.0980922337133197"
"Yes, every 3-4 weeks","2005","Employed","higher vocational","104","0.0953472198203611","0.0772255803404597","0.113468859300262"
"Yes, every 3-4 weeks","2005","Employed","higher education","258","0.085178716596235","0.0750259720017424","0.0953314611907277"
"Rarely","2005","Not Employed","in school","1","","",""
"Rarely","2005","Not Employed","inadequately","","","",""
"Rarely","2005","Not Employed","general elemantary","5","","",""
"Rarely","2005","Not Employed","middle vocational","6","","",""
"Rarely","2005","Not Employed","vocational + Abi","3","","",""
"Rarely","2005","Not Employed","higher vocational","1","","",""
"Rarely","2005","Not Employed","higher education","7","","",""
"Rarely","2005","Employed","in school","8","","",""
"Rarely","2005","Employed","inadequately","11","","",""
"Rarely","2005","Employed","general elemantary","134","0.156575220662055","0.132606081684106","0.180544359640005"
"Rarely","2005","Employed","middle vocational","1301","0.234477314122298","0.223250819267464","0.245703808977131"
"Rarely","2005","Employed","vocational + Abi","187","0.249919472333225","0.219258374603632","0.280580570062819"
"Rarely","2005","Employed","higher vocational","296","0.294768694193171","0.266636152055066","0.322901236331276"
"Rarely","2005","Employed","higher education","928","0.32220679777261","0.3052100535551","0.339203541990121"
"No, never","2006","Not Employed","in school","","","",""
"No, never","2006","Not Employed","inadequately","","","",""
"No, never","2006","Not Employed","general elemantary","","","",""
"No, never","2006","Not Employed","middle vocational","","","",""
"No, never","2006","Not Employed","vocational + Abi","","","",""
"No, never","2006","Not Employed","higher vocational","","","",""
"No, never","2006","Not Employed","higher education","","","",""
"No, never","2006","Employed","in school","","","",""
"No, never","2006","Employed","inadequately","","","",""
"No, never","2006","Employed","general elemantary","","","",""
"No, never","2006","Employed","middle vocational","","","",""
"No, never","2006","Employed","vocational + Abi","","","",""
"No, never","2006","Employed","higher vocational","","","",""
"No, never","2006","Employed","higher education","","","",""
"Yes, every week","2006","Not Employed","in school","","","",""
"Yes, every week","2006","Not Employed","inadequately","","","",""
"Yes, every week","2006","Not Employed","general elemantary","","","",""
"Yes, every week","2006","Not Employed","middle vocational","","","",""
"Yes, every week","2006","Not Employed","vocational + Abi","","","",""
"Yes, every week","2006","Not Employed","higher vocational","","","",""
"Yes, every week","2006","Not Employed","higher education","","","",""
"Yes, every week","2006","Employed","in school","","","",""
"Yes, every week","2006","Employed","inadequately","","","",""
"Yes, every week","2006","Employed","general elemantary","","","",""
"Yes, every week","2006","Employed","middle vocational","","","",""
"Yes, every week","2006","Employed","vocational + Abi","","","",""
"Yes, every week","2006","Employed","higher vocational","","","",""
"Yes, every week","2006","Employed","higher education","","","",""
