"plb0218","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","in school","West Germany","15","","",""
"No, never","2005","in school","East Germany","1","","",""
"No, never","2005","inadequately","West Germany","38","0.501005466900208","0.38302973729117","0.618981196509246"
"No, never","2005","inadequately","East Germany","4","","",""
"No, never","2005","general elemantary","West Germany","383","0.436512251667554","0.402037195341025","0.470987307994082"
"No, never","2005","general elemantary","East Germany","49","0.449664382420367","0.360285964024816","0.539042800815919"
"No, never","2005","middle vocational","West Germany","1720","0.379972362109734","0.365459704714084","0.394485019505384"
"No, never","2005","middle vocational","East Germany","352","0.267781658607012","0.243175228208068","0.292388089005955"
"No, never","2005","vocational + Abi","West Germany","298","0.442610450407868","0.404887885082772","0.480333015732964"
"No, never","2005","vocational + Abi","East Germany","38","0.416234424975384","0.323695791817153","0.508773058133615"
"No, never","2005","higher vocational","West Germany","239","0.293474473428004","0.261579936232294","0.325369010623714"
"No, never","2005","higher vocational","East Germany","69","0.255105914536168","0.199607389035186","0.31060444003715"
"No, never","2005","higher education","West Germany","728","0.323469326754433","0.303542049640424","0.343396603868442"
"No, never","2005","higher education","East Germany","284","0.365503254929843","0.332481710125172","0.398524799734514"
"Yes, every week","2005","in school","West Germany","13","","",""
"Yes, every week","2005","in school","East Germany","1","","",""
"Yes, every week","2005","inadequately","West Germany","8","","",""
"Yes, every week","2005","inadequately","East Germany","","","",""
"Yes, every week","2005","general elemantary","West Germany","122","0.18359615164597","0.156683974354388","0.210508328937553"
"Yes, every week","2005","general elemantary","East Germany","12","","",""
"Yes, every week","2005","middle vocational","West Germany","606","0.150440704533782","0.139751510969353","0.161129898098212"
"Yes, every week","2005","middle vocational","East Germany","182","0.154330103765542","0.134254729043383","0.174405478487702"
"Yes, every week","2005","vocational + Abi","West Germany","59","0.093057997962031","0.0709943364316804","0.115121659492382"
"Yes, every week","2005","vocational + Abi","East Germany","11","","",""
"Yes, every week","2005","higher vocational","West Germany","110","0.155514888409937","0.130131523385251","0.180898253434623"
"Yes, every week","2005","higher vocational","East Germany","41","0.140410779201842","0.096180505875731","0.184641052527953"
"Yes, every week","2005","higher education","West Germany","312","0.149109485176427","0.133936286704884","0.16428268364797"
"Yes, every week","2005","higher education","East Germany","108","0.126811271141651","0.103993666478486","0.149628875804816"
