"plb0218","year","education","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","no migration background","851","0.3618322412254","0.342615371313583","0.381049111137217"
"No, never","2005","lower secondary degree","direct migration background","124","0.345558801103055","0.292535697296501","0.398581904909608"
"No, never","2005","lower secondary degree","indirect migration background","61","0.374106710974883","0.29692622402246","0.451287197927305"
"No, never","2005","secondary school degree","no migration background","1398","0.343911209140202","0.328790377657533","0.359032040622871"
"No, never","2005","secondary school degree","direct migration background","59","0.350386862181253","0.271074296776175","0.429699427586332"
"No, never","2005","secondary school degree","indirect migration background","64","0.428056450944704","0.347796522297664","0.508316379591744"
"No, never","2005","college entrance qualification","no migration background","1215","0.373288500547317","0.356806061512753","0.389770939581881"
"No, never","2005","college entrance qualification","direct migration background","65","0.36757119224368","0.294880083298248","0.440262301189112"
"No, never","2005","college entrance qualification","indirect migration background","51","0.337209092648987","0.254987830393235","0.419430354904739"
"No, never","2005","Other degree","no migration background","22","","",""
"No, never","2005","Other degree","direct migration background","232","0.415396317228998","0.373081611618062","0.457711022839935"
"No, never","2005","Other degree","indirect migration background","3","","",""
"No, never","2005","no degree/no degree yet","no migration background","21","","",""
"No, never","2005","no degree/no degree yet","direct migration background","23","","",""
"No, never","2005","no degree/no degree yet","indirect migration background","5","","",""
"Yes, every week","2005","lower secondary degree","no migration background","415","0.178742557566469","0.163420565521298","0.194064549611641"
"Yes, every week","2005","lower secondary degree","direct migration background","40","0.168979435513793","0.127197200810719","0.210761670216868"
"Yes, every week","2005","lower secondary degree","indirect migration background","22","","",""
"Yes, every week","2005","secondary school degree","no migration background","484","0.138961392435198","0.127950320753444","0.149972464116953"
"Yes, every week","2005","secondary school degree","direct migration background","10","","",""
"Yes, every week","2005","secondary school degree","indirect migration background","24","","",""
"Yes, every week","2005","college entrance qualification","no migration background","435","0.134805366197749","0.123167433551683","0.146443298843814"
"Yes, every week","2005","college entrance qualification","direct migration background","25","","",""
"Yes, every week","2005","college entrance qualification","indirect migration background","19","","",""
"Yes, every week","2005","Other degree","no migration background","7","","",""
"Yes, every week","2005","Other degree","direct migration background","65","0.115368970918358","0.0879371382469099","0.142800803589807"
"Yes, every week","2005","Other degree","indirect migration background","1","","",""
"Yes, every week","2005","no degree/no degree yet","no migration background","20","","",""
"Yes, every week","2005","no degree/no degree yet","direct migration background","8","","",""
"Yes, every week","2005","no degree/no degree yet","indirect migration background","2","","",""
"Yes, every 2 weeks","2005","lower secondary degree","no migration background","372","0.146159378583874","0.132031942872084","0.160286814295665"
"Yes, every 2 weeks","2005","lower secondary degree","direct migration background","38","0.127059907494426","0.0899264542230692","0.164193360765782"
"Yes, every 2 weeks","2005","lower secondary degree","indirect migration background","25","","",""
"Yes, every 2 weeks","2005","secondary school degree","no migration background","594","0.168601196726533","0.156683118743927","0.18051927470914"
"Yes, every 2 weeks","2005","secondary school degree","direct migration background","29","","",""
"Yes, every 2 weeks","2005","secondary school degree","indirect migration background","21","","",""
"Yes, every 2 weeks","2005","college entrance qualification","no migration background","357","0.115914189371451","0.105005292102999","0.126823086639904"
"Yes, every 2 weeks","2005","college entrance qualification","direct migration background","14","","",""
"Yes, every 2 weeks","2005","college entrance qualification","indirect migration background","15","","",""
"Yes, every 2 weeks","2005","Other degree","no migration background","3","","",""
"Yes, every 2 weeks","2005","Other degree","direct migration background","80","0.158103272581192","0.126775532291332","0.189431012871052"
"Yes, every 2 weeks","2005","Other degree","indirect migration background","1","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","no migration background","8","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","direct migration background","7","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","indirect migration background","","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","no migration background","204","0.0807273766065955","0.069833205990578","0.091621547222613"
"Yes, every 3-4 weeks","2005","lower secondary degree","direct migration background","33","0.129902389536421","0.0924170534281497","0.167387725644693"
