"plb0218","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","(0) in school","3","","",""
"No, never","2005","Not Employed","(1a) inadequately completed","","","",""
"No, never","2005","Not Employed","(1b) general elementary school","10","","",""
"No, never","2005","Not Employed","(1c) basic vocational qualification","15","","",""
"No, never","2005","Not Employed","(2b) intermediate general qualification","6","","",""
"No, never","2005","Not Employed","(2a) intermediate vocational","25","","",""
"No, never","2005","Not Employed","(2c_gen) general maturity certificate","9","","",""
"No, never","2005","Not Employed","(2c_voc) vocational maturity certificate","7","","",""
"No, never","2005","Not Employed","(3a) lower tertiary education","8","","",""
"No, never","2005","Not Employed","(3b) higher tertiary education","8","","",""
"No, never","2005","Employed","(0) in school","13","","",""
"No, never","2005","Employed","(1a) inadequately completed","33","0.445463537790101","0.332980096663051","0.557946978917151"
"No, never","2005","Employed","(1b) general elementary school","281","0.452931243469822","0.41227998963058","0.493582497309064"
"No, never","2005","Employed","(1c) basic vocational qualification","869","0.350585235918222","0.331903576596437","0.369266895240007"
"No, never","2005","Employed","(2b) intermediate general qualification","149","0.437568935091267","0.383214999808981","0.491922870373553"
"No, never","2005","Employed","(2a) intermediate vocational","1168","0.330854687766264","0.314735099136174","0.346974276396353"
"No, never","2005","Employed","(2c_gen) general maturity certificate","159","0.426209373924641","0.374982860165506","0.477435887683776"
"No, never","2005","Employed","(2c_voc) vocational maturity certificate","437","0.424089338316995","0.394010230577005","0.454168446056986"
"No, never","2005","Employed","(3a) lower tertiary education","410","0.356765174828183","0.328430194009012","0.385100155647354"
"No, never","2005","Employed","(3b) higher tertiary education","586","0.311858020852663","0.290492833608345","0.333223208096981"
"Yes, every week","2005","Not Employed","(0) in school","","","",""
"Yes, every week","2005","Not Employed","(1a) inadequately completed","1","","",""
"Yes, every week","2005","Not Employed","(1b) general elementary school","3","","",""
"Yes, every week","2005","Not Employed","(1c) basic vocational qualification","4","","",""
"Yes, every week","2005","Not Employed","(2b) intermediate general qualification","1","","",""
"Yes, every week","2005","Not Employed","(2a) intermediate vocational","3","","",""
"Yes, every week","2005","Not Employed","(2c_gen) general maturity certificate","3","","",""
"Yes, every week","2005","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Yes, every week","2005","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every week","2005","Not Employed","(3b) higher tertiary education","2","","",""
"Yes, every week","2005","Employed","(0) in school","14","","",""
"Yes, every week","2005","Employed","(1a) inadequately completed","15","","",""
"Yes, every week","2005","Employed","(1b) general elementary school","83","0.178223300305925","0.146969991598509","0.20947660901334"
"Yes, every week","2005","Employed","(1c) basic vocational qualification","424","0.171589135981631","0.156827810911852","0.186350461051411"
"Yes, every week","2005","Employed","(2b) intermediate general qualification","47","0.169459394219514","0.128355178912608","0.210563609526419"
"Yes, every week","2005","Employed","(2a) intermediate vocational","414","0.13549987062619","0.12377448702002","0.14722525423236"
"Yes, every week","2005","Employed","(2c_gen) general maturity certificate","54","0.177315979198981","0.137752265901268","0.216879692496694"
