"plb0218","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","lower secondary degree","20","","",""
"No, never","2005","Not Employed","secondary school degree","34","0.591261406988379","0.460142958936302","0.722379855040457"
"No, never","2005","Not Employed","college entrance qualification","27","","",""
"No, never","2005","Not Employed","Other degree","7","","",""
"No, never","2005","Not Employed","no degree/no degree yet","3","","",""
"No, never","2005","Employed","lower secondary degree","1016","0.358605776871111","0.340911176890525","0.376300376851698"
"No, never","2005","Employed","secondary school degree","1487","0.344214614413996","0.329531351419774","0.358897877408217"
"No, never","2005","Employed","college entrance qualification","1304","0.368789327541134","0.352927043655104","0.384651611427163"
"No, never","2005","Employed","Other degree","250","0.414690287859015","0.374030665900139","0.45534990981789"
"No, never","2005","Employed","no degree/no degree yet","46","0.404436091246956","0.316625559720679","0.492246622773233"
"Yes, every week","2005","Not Employed","lower secondary degree","7","","",""
"Yes, every week","2005","Not Employed","secondary school degree","4","","",""
"Yes, every week","2005","Not Employed","college entrance qualification","6","","",""
"Yes, every week","2005","Not Employed","Other degree","","","",""
"Yes, every week","2005","Not Employed","no degree/no degree yet","1","","",""
"Yes, every week","2005","Employed","lower secondary degree","470","0.176337462100465","0.162276451483262","0.190398472717667"
"Yes, every week","2005","Employed","secondary school degree","514","0.137255768754495","0.126620869180176","0.147890668328815"
"Yes, every week","2005","Employed","college entrance qualification","473","0.136080514032644","0.124807916937835","0.147353111127452"
"Yes, every week","2005","Employed","Other degree","73","0.125356589165248","0.098029231759941","0.152683946570556"
"Yes, every week","2005","Employed","no degree/no degree yet","29","","",""
"Yes, every 2 weeks","2005","Not Employed","lower secondary degree","5","","",""
"Yes, every 2 weeks","2005","Not Employed","secondary school degree","10","","",""
"Yes, every 2 weeks","2005","Not Employed","college entrance qualification","3","","",""
"Yes, every 2 weeks","2005","Not Employed","Other degree","","","",""
"Yes, every 2 weeks","2005","Not Employed","no degree/no degree yet","","","",""
"Yes, every 2 weeks","2005","Employed","lower secondary degree","430","0.145054965321694","0.132062098608508","0.158047832034879"
"Yes, every 2 weeks","2005","Employed","secondary school degree","634","0.171996542540516","0.160333738156062","0.18365934692497"
"Yes, every 2 weeks","2005","Employed","college entrance qualification","383","0.116464523206599","0.105918269807803","0.127010776605395"
"Yes, every 2 weeks","2005","Employed","Other degree","84","0.149909093684244","0.120447569343801","0.179370618024688"
"Yes, every 2 weeks","2005","Employed","no degree/no degree yet","15","","",""
"Yes, every 3-4 weeks","2005","Not Employed","lower secondary degree","2","","",""
"Yes, every 3-4 weeks","2005","Not Employed","secondary school degree","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","college entrance qualification","4","","",""
"Yes, every 3-4 weeks","2005","Not Employed","Other degree","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","no degree/no degree yet","1","","",""
"Yes, every 3-4 weeks","2005","Employed","lower secondary degree","252","0.088487093572229","0.0780087903298264","0.0989653968146317"
"Yes, every 3-4 weeks","2005","Employed","secondary school degree","393","0.109357762915624","0.0997127345309398","0.119002791300308"
"Yes, every 3-4 weeks","2005","Employed","college entrance qualification","316","0.0809563754769348","0.0719886362561256","0.0899241146977441"
"Yes, every 3-4 weeks","2005","Employed","Other degree","58","0.0880108605720656","0.0646294070387152","0.111392314105416"
"Yes, every 3-4 weeks","2005","Employed","no degree/no degree yet","7","","",""
"Rarely","2005","Not Employed","lower secondary degree","6","","",""
"Rarely","2005","Not Employed","secondary school degree","5","","",""
"Rarely","2005","Not Employed","college entrance qualification","10","","",""
"Rarely","2005","Not Employed","Other degree","1","","",""
"Rarely","2005","Not Employed","no degree/no degree yet","1","","",""
"Rarely","2005","Employed","lower secondary degree","654","0.231514702134501","0.215952299195085","0.247077105073917"
"Rarely","2005","Employed","secondary school degree","994","0.237175311375369","0.224029900416134","0.250320722334604"
"Rarely","2005","Employed","college entrance qualification","1078","0.297709259742689","0.282676316359259","0.312742203126119"
"Rarely","2005","Employed","Other degree","99","0.222033168719427","0.187732861644762","0.256333475794092"
"Rarely","2005","Employed","no degree/no degree yet","23","","",""
"No, never","2006","Not Employed","lower secondary degree","","","",""
"No, never","2006","Not Employed","secondary school degree","","","",""
"No, never","2006","Not Employed","college entrance qualification","","","",""
"No, never","2006","Not Employed","Other degree","","","",""
"No, never","2006","Not Employed","no degree/no degree yet","","","",""
"No, never","2006","Employed","lower secondary degree","","","",""
"No, never","2006","Employed","secondary school degree","","","",""
"No, never","2006","Employed","college entrance qualification","","","",""
