"plb0218","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","no migration background","West Germany","2773","0.369393105990208","0.35828032702449","0.380505884955925","1"
"No, never","2005","no migration background","East Germany","799","0.310610431263063","0.292586205749177","0.328634656776949","1"
"No, never","2005","direct migration background","West Germany","508","0.388591206263674","0.360827044607372","0.416355367919977","1"
"No, never","2005","direct migration background","East Germany","5","","","","1"
"No, never","2005","indirect migration background","West Germany","191","0.405501577449209","0.360137356040336","0.450865798858081","1"
"No, never","2005","indirect migration background","East Germany","10","","","","1"
"Rarely","2005","no migration background","West Germany","1911","0.255762968345779","0.245717425833921","0.265808510857637","5"
"Rarely","2005","no migration background","East Germany","660","0.238189180837441","0.221597101188361","0.254781260486522","5"
"Rarely","2005","direct migration background","West Germany","248","0.236254434461167","0.212058824492114","0.260450044430219","5"
"Rarely","2005","direct migration background","East Germany","8","","","","5"
"Rarely","2005","indirect migration background","West Germany","85","0.198105691641197","0.161280172648948","0.234931210633447","5"
"Rarely","2005","indirect migration background","East Germany","3","","","","5"
"Yes, every 2 weeks","2005","direct migration background","West Germany","165","0.149774757938889","0.129448447684043","0.170101068193734","3"
"Yes, every 2 weeks","2005","no migration background","West Germany","906","0.13157911801627","0.123795929661111","0.139362306371428","3"
"Yes, every 2 weeks","2005","no migration background","East Germany","456","0.203262691228318","0.187587867949256","0.218937514507379","3"
"Yes, every 2 weeks","2005","direct migration background","East Germany","4","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","West Germany","65","0.150923319919827","0.117848806350395","0.183997833489258","3"
"Yes, every 2 weeks","2005","indirect migration background","East Germany","2","","","","3"
"Yes, every 3-4 weeks","2005","no migration background","West Germany","620","0.0876598004992192","0.081148352588412","0.0941712484100263","4"
"Yes, every 3-4 weeks","2005","direct migration background","West Germany","116","0.0943097516628557","0.0776625827457648","0.110956920579947","4"
"Yes, every 3-4 weeks","2005","no migration background","East Germany","268","0.10767866501634","0.0956049280545418","0.119752401978139","4"
"Yes, every 3-4 weeks","2005","indirect migration background","West Germany","41","0.10744171905344","0.078829825533722","0.136053612573158","4"
"Yes, every 3-4 weeks","2005","direct migration background","East Germany","1","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","East Germany","1","","","","4"
"Yes, every week","2005","direct migration background","West Germany","147","0.131069849673414","0.111847075061108","0.150292624285721","2"
"Yes, every week","2005","no migration background","West Germany","1036","0.155605007148525","0.147258908094041","0.163951106203008","2"
"Yes, every week","2005","no migration background","East Germany","349","0.140259031654837","0.126733153540166","0.153784909769509","2"
"Yes, every week","2005","direct migration background","East Germany","4","","","","2"
"Yes, every week","2005","indirect migration background","West Germany","68","0.138027691936328","0.106158459480687","0.169896924391968","2"
"Yes, every week","2005","indirect migration background","East Germany","3","","","","2"
"No, never","2006","direct migration background","West Germany","","","","","1"
"No, never","2006","direct migration background","East Germany","","","","","1"
"No, never","2006","no migration background","West Germany","","","","","1"
"No, never","2006","no migration background","East Germany","","","","","1"
"No, never","2006","indirect migration background","West Germany","","","","","1"
"No, never","2006","indirect migration background","East Germany","","","","","1"
"Rarely","2006","no migration background","West Germany","","","","","5"
"Rarely","2006","no migration background","East Germany","","","","","5"
"Rarely","2006","direct migration background","West Germany","","","","","5"
"Rarely","2006","direct migration background","East Germany","","","","","5"
"Rarely","2006","indirect migration background","West Germany","","","","","5"
"Rarely","2006","indirect migration background","East Germany","","","","","5"
"Yes, every 2 weeks","2006","no migration background","East Germany","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","West Germany","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","East Germany","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","West Germany","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","East Germany","","","","","3"
"Yes, every 2 weeks","2006","no migration background","West Germany","","","","","3"
"Yes, every 3-4 weeks","2006","no migration background","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","East Germany","","","","","4"
"Yes, every week","2006","no migration background","West Germany","","","","","2"
"Yes, every week","2006","no migration background","East Germany","","","","","2"
"Yes, every week","2006","direct migration background","West Germany","","","","","2"
"Yes, every week","2006","direct migration background","East Germany","","","","","2"
"Yes, every week","2006","indirect migration background","West Germany","","","","","2"
"Yes, every week","2006","indirect migration background","East Germany","","","","","2"
"No, never","2007","no migration background","West Germany","2723","0.354026910881281","0.343089686858831","0.364964134903732","1"
"No, never","2007","no migration background","East Germany","781","0.292858777867836","0.275288724445987","0.310428831289685","1"
"No, never","2007","direct migration background","West Germany","423","0.401074530293876","0.371625146638481","0.430523913949272","1"
"No, never","2007","direct migration background","East Germany","10","","","","1"
"No, never","2007","indirect migration background","West Germany","207","0.440125699203097","0.395151980930088","0.485099417476105","1"
