"plb0218","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","Urban Area","2425","0.37460839888764","0.362680930489436","0.386535867285844"
"No, never","2005","no migration background","Rural Area","1147","0.325299842091597","0.309671603615719","0.340928080567475"
"No, never","2005","direct migration background","Urban Area","437","0.390368985269152","0.360431233385473","0.420306737152832"
"No, never","2005","direct migration background","Rural Area","76","0.366389659440266","0.297146902511915","0.435632416368617"
"No, never","2005","indirect migration background","Urban Area","173","0.401587596208717","0.354078488297755","0.449096704119678"
"No, never","2005","indirect migration background","Rural Area","28","","",""
"Yes, every week","2005","no migration background","Urban Area","833","0.142424684551009","0.133812521050896","0.151036848051121"
"Yes, every week","2005","no migration background","Rural Area","552","0.173168418830643","0.160545622601674","0.185791215059611"
"Yes, every week","2005","direct migration background","Urban Area","133","0.140610283339543","0.119277298576796","0.161943268102291"
"Yes, every week","2005","direct migration background","Rural Area","18","","",""
"Yes, every week","2005","indirect migration background","Urban Area","67","0.153585411630159","0.118642990784261","0.188527832476056"
"Yes, every week","2005","indirect migration background","Rural Area","4","","",""
"Yes, every 2 weeks","2005","no migration background","Urban Area","837","0.140848274598535","0.132276037075532","0.149420512121539"
"Yes, every 2 weeks","2005","no migration background","Rural Area","525","0.154101195319043","0.142057079951773","0.166145310686313"
"Yes, every 2 weeks","2005","direct migration background","Urban Area","139","0.149951272923421","0.128041140913704","0.171861404933139"
"Yes, every 2 weeks","2005","direct migration background","Rural Area","30","0.158924653597118","0.106382882601243","0.211466424592993"
"Yes, every 2 weeks","2005","indirect migration background","Urban Area","53","0.129024648689242","0.0965364440590329","0.161512853319452"
"Yes, every 2 weeks","2005","indirect migration background","Rural Area","14","","",""
"Yes, every 3-4 weeks","2005","no migration background","Urban Area","541","0.0838074897407546","0.0769791002999448","0.0906358791815644"
"Yes, every 3-4 weeks","2005","no migration background","Rural Area","347","0.106827182808724","0.0965228154335795","0.117131550183868"
"Yes, every 3-4 weeks","2005","direct migration background","Urban Area","100","0.0931520062522089","0.0753154355420821","0.110988576962336"
"Yes, every 3-4 weeks","2005","direct migration background","Rural Area","17","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Urban Area","39","0.117703695971972","0.0864724926936022","0.148934899250342"
"Yes, every 3-4 weeks","2005","indirect migration background","Rural Area","3","","",""
"Rarely","2005","no migration background","Urban Area","1690","0.258311152222061","0.247525014779414","0.269097289664707"
