"plb0218","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","lower secondary degree","209","0.337897821961957","0.300331848344652","0.375463795579262"
"No, never","2005","16-34 y.","secondary school degree","445","0.343559239473027","0.316440216929023","0.370678262017031"
"No, never","2005","16-34 y.","college entrance qualification","433","0.422911766213214","0.392727098621964","0.453096433804464"
"No, never","2005","16-34 y.","Other degree","36","0.342358642836811","0.24432795660025","0.440389329073372"
"No, never","2005","16-34 y.","no degree/no degree yet","22","","",""
"No, never","2005","35-65 y.","lower secondary degree","803","0.367991277016147","0.347820983344003","0.388161570688291"
"No, never","2005","35-65 y.","secondary school degree","1068","0.348993608972229","0.331579387669712","0.366407830274746"
"No, never","2005","35-65 y.","college entrance qualification","876","0.340699388717209","0.322205983655154","0.359192793779263"
"No, never","2005","35-65 y.","Other degree","220","0.436210336539677","0.391799713579628","0.480620959499727"
"No, never","2005","35-65 y.","no degree/no degree yet","25","","",""
"No, never","2005","66 and older","lower secondary degree","24","","",""
"No, never","2005","66 and older","secondary school degree","8","","",""
"No, never","2005","66 and older","college entrance qualification","22","","",""
"No, never","2005","66 and older","Other degree","1","","",""
"No, never","2005","66 and older","no degree/no degree yet","2","","",""
"Yes, every week","2005","16-34 y.","lower secondary degree","118","0.201045231944303","0.169214441020386","0.23287602286822"
"Yes, every week","2005","16-34 y.","secondary school degree","163","0.152192469899559","0.131679872171508","0.17270506762761"
"Yes, every week","2005","16-34 y.","college entrance qualification","123","0.116080101479822","0.0965085277358515","0.135651675223792"
"Yes, every week","2005","16-34 y.","Other degree","12","","",""
"Yes, every week","2005","16-34 y.","no degree/no degree yet","23","","",""
"Yes, every week","2005","35-65 y.","lower secondary degree","340","0.160226922215829","0.144884969422191","0.175568875009466"
"Yes, every week","2005","35-65 y.","secondary school degree","348","0.127997549428584","0.115791858280256","0.140203240576911"
"Yes, every week","2005","35-65 y.","college entrance qualification","350","0.146818899104646","0.133008664359678","0.160629133849614"
"Yes, every week","2005","35-65 y.","Other degree","58","0.124587669859348","0.0950127078334371","0.154162631885259"
"Yes, every week","2005","35-65 y.","no degree/no degree yet","7","","",""
"Yes, every week","2005","66 and older","lower secondary degree","19","","",""
