"plb0218","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Not Employed","Urban Area","54","0.568292650526777","0.467625596903939","0.668959704149616","1"
"No, never","2005","Not Employed","Rural Area","46","0.589970400154357","0.480820459027362","0.699120341281353","1"
"No, never","2005","Employed","Urban Area","2981","0.376144111199973","0.365297444626263","0.386990777773683","1"
"No, never","2005","Employed","Rural Area","1205","0.324274610438021","0.30902581994612","0.339523400929922","1"
"Rarely","2005","Employed","Rural Area","921","0.244115915769288","0.230122638036886","0.258109193501689","5"
"Rarely","2005","Not Employed","Urban Area","9","","","","5"
"Rarely","2005","Not Employed","Rural Area","16","","","","5"
"Rarely","2005","Employed","Urban Area","1969","0.251846645996464","0.242127224495214","0.261566067497714","5"
"Yes, every 2 weeks","2005","Not Employed","Urban Area","13","","","","3"
"Yes, every 2 weeks","2005","Not Employed","Rural Area","5","","","","3"
"Yes, every 2 weeks","2005","Employed","Urban Area","1016","0.141720625595184","0.133911401500881","0.149529849689486","3"
"Yes, every 2 weeks","2005","Employed","Rural Area","564","0.158904495287868","0.146995241415699","0.170813749160037","3"
"Yes, every 3-4 weeks","2005","Not Employed","Urban Area","6","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","Rural Area","3","","","","4"
"Yes, every 3-4 weeks","2005","Employed","Urban Area","674","0.0870566052710674","0.0807441283019655","0.0933690822401693","4"
"Yes, every 3-4 weeks","2005","Employed","Rural Area","364","0.106494837143522","0.096446212687758","0.116543461599286","4"
"Yes, every week","2005","Not Employed","Urban Area","11","","","","2"
"Yes, every week","2005","Not Employed","Rural Area","8","","","","2"
"Yes, every week","2005","Employed","Urban Area","1022","0.143232011937312","0.135388172790329","0.151075851084294","2"
"Yes, every week","2005","Employed","Rural Area","566","0.166210141361301","0.154083211396708","0.178337071325895","2"
"No, never","2006","Not Employed","Urban Area","","","","","1"
"No, never","2006","Not Employed","Rural Area","","","","","1"
"No, never","2006","Employed","Urban Area","","","","","1"
"No, never","2006","Employed","Rural Area","","","","","1"
"Rarely","2006","Not Employed","Urban Area","","","","","5"
"Rarely","2006","Not Employed","Rural Area","","","","","5"
"Rarely","2006","Employed","Urban Area","","","","","5"
"Rarely","2006","Employed","Rural Area","","","","","5"
"Yes, every 2 weeks","2006","Not Employed","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","Employed","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","Employed","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2006","Not Employed","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","Rural Area","","","","","4"
"Yes, every week","2006","Not Employed","Urban Area","","","","","2"
"Yes, every week","2006","Not Employed","Rural Area","","","","","2"
"Yes, every week","2006","Employed","Urban Area","","","","","2"
"Yes, every week","2006","Employed","Rural Area","","","","","2"
"No, never","2007","Employed","Rural Area","1200","0.308691350481417","0.293931593476864","0.32345110748597","1"
