"plb0218","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","Male","528","0.311335566304962","0.289292021462659","0.333379111147264"
"No, never","2005","lower secondary degree","Female","508","0.434108886528775","0.405672236173261","0.46254553688429"
"No, never","2005","secondary school degree","Male","520","0.25599150685422","0.236465549851125","0.275517463857314"
"No, never","2005","secondary school degree","Female","1001","0.441978640068842","0.421020677001497","0.462936603136187"
"No, never","2005","college entrance qualification","Male","590","0.299248618856789","0.279098606554012","0.319398631159566"
"No, never","2005","college entrance qualification","Female","741","0.467235888047887","0.442940370133937","0.491531405961838"
"No, never","2005","Other degree","Male","122","0.385871710190681","0.330968765114982","0.44077465526638"
"No, never","2005","Other degree","Female","135","0.45388069194757","0.394604804412665","0.513156579482476"
"No, never","2005","no degree/no degree yet","Male","24","","",""
"No, never","2005","no degree/no degree yet","Female","25","","",""
"Yes, every week","2005","lower secondary degree","Male","278","0.170745893909195","0.152832322085207","0.188659465733183"
"Yes, every week","2005","lower secondary degree","Female","199","0.184196543409471","0.161955960193613","0.206437126625329"
"Yes, every week","2005","secondary school degree","Male","259","0.138054700003577","0.122620786753009","0.153488613254146"
"Yes, every week","2005","secondary school degree","Female","259","0.134508354197878","0.120109461743163","0.148907246652593"
"Yes, every week","2005","college entrance qualification","Male","305","0.149225368994887","0.133546820504868","0.164903917484906"
"Yes, every week","2005","college entrance qualification","Female","174","0.117451301933289","0.101773367614623","0.133129236251954"
"Yes, every week","2005","Other degree","Male","47","0.155890092135936","0.114977841114129","0.196802343157743"
"Yes, every week","2005","Other degree","Female","26","","",""
"Yes, every week","2005","no degree/no degree yet","Male","19","","",""
"Yes, every week","2005","no degree/no degree yet","Female","11","","",""
"Yes, every 2 weeks","2005","lower secondary degree","Male","223","0.119361660379695","0.103927093036432","0.134796227722958"
"Yes, every 2 weeks","2005","lower secondary degree","Female","212","0.181517541878849","0.159403065952831","0.203632017804868"
"Yes, every 2 weeks","2005","secondary school degree","Male","285","0.170867540412776","0.154027142599716","0.187707938225836"
"Yes, every 2 weeks","2005","secondary school degree","Female","359","0.174003642176426","0.158004700541822","0.19000258381103"
"Yes, every 2 weeks","2005","college entrance qualification","Male","218","0.11459951047834","0.100583044821742","0.128615976134938"
"Yes, every 2 weeks","2005","college entrance qualification","Female","168","0.116220146929963","0.100613725066123","0.131826568793803"
"Yes, every 2 weeks","2005","Other degree","Male","35","0.108323142244614","0.0732714498347421","0.143374834654486"
"Yes, every 2 weeks","2005","Other degree","Female","49","0.191603559770876","0.144746241603794","0.238460877937958"
"Yes, every 2 weeks","2005","no degree/no degree yet","Male","3","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","Female","12","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","Male","169","0.0992021469200555","0.0849710804690245","0.113433213371086"
"Yes, every 3-4 weeks","2005","lower secondary degree","Female","85","0.0725820035381822","0.0576964530995821","0.0874675539767823"
"Yes, every 3-4 weeks","2005","secondary school degree","Male","225","0.122725603736815","0.108044932282727","0.137406275190904"
"Yes, every 3-4 weeks","2005","secondary school degree","Female","169","0.0925582030468849","0.0803278254572122","0.104788580636558"
"Yes, every 3-4 weeks","2005","college entrance qualification","Male","206","0.0957528566309272","0.0828050352519048","0.10870067800995"
"Yes, every 3-4 weeks","2005","college entrance qualification","Female","114","0.0601054062249447","0.0485313142855591","0.0716794981643303"
"Yes, every 3-4 weeks","2005","Other degree","Male","35","0.0972883624268092","0.063865042434071","0.130711682419547"
"Yes, every 3-4 weeks","2005","Other degree","Female","24","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","Male","6","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","Female","2","","",""
"Rarely","2005","lower secondary degree","Male","497","0.299354732486093","0.277552277407377","0.321157187564809"
"Rarely","2005","lower secondary degree","Female","163","0.127595024644723","0.108452967873681","0.146737081415764"
"Rarely","2005","secondary school degree","Male","630","0.312360648992612","0.291624928852015","0.333096369133209"
"Rarely","2005","secondary school degree","Female","369","0.156951160509969","0.14160033795601","0.172301983063927"
"Rarely","2005","college entrance qualification","Male","665","0.341173645039056","0.320311907523244","0.362035382554869"
"Rarely","2005","college entrance qualification","Female","423","0.238987256863917","0.218220249329115","0.259754264398719"
"Rarely","2005","Other degree","Male","63","0.252626693001959","0.203620267177391","0.301633118826528"
"Rarely","2005","Other degree","Female","37","0.184032852841418","0.137896053638726","0.23016965204411"
"Rarely","2005","no degree/no degree yet","Male","15","","",""
"Rarely","2005","no degree/no degree yet","Female","9","","",""
"No, never","2006","lower secondary degree","Male","","","",""
"No, never","2006","lower secondary degree","Female","","","",""
"No, never","2006","secondary school degree","Male","","","",""
"No, never","2006","secondary school degree","Female","","","",""
"No, never","2006","college entrance qualification","Male","","","",""
"No, never","2006","college entrance qualification","Female","","","",""
"No, never","2006","Other degree","Male","","","",""
"No, never","2006","Other degree","Female","","","",""
"No, never","2006","no degree/no degree yet","Male","","","",""
"No, never","2006","no degree/no degree yet","Female","","","",""
"Yes, every week","2006","lower secondary degree","Male","","","",""
"Yes, every week","2006","lower secondary degree","Female","","","",""
"Yes, every week","2006","secondary school degree","Male","","","",""
"Yes, every week","2006","secondary school degree","Female","","","",""
"Yes, every week","2006","college entrance qualification","Male","","","",""
"Yes, every week","2006","college entrance qualification","Female","","","",""
"Yes, every week","2006","Other degree","Male","","","",""
"Yes, every week","2006","Other degree","Female","","","",""
"Yes, every week","2006","no degree/no degree yet","Male","","","",""
"Yes, every week","2006","no degree/no degree yet","Female","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","Male","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","Female","","","",""
"Yes, every 2 weeks","2006","secondary school degree","Male","","","",""
"Yes, every 2 weeks","2006","secondary school degree","Female","","","",""
