"plb0218","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","in school","11","","",""
"No, never","2005","no migration background","inadequately","20","","",""
"No, never","2005","no migration background","general elemantary","262","0.406658940828622","0.366682745533822","0.446635136123423"
"No, never","2005","no migration background","middle vocational","1788","0.362747503843742","0.349193963371795","0.376301044315689"
"No, never","2005","no migration background","vocational + Abi","264","0.464799649570906","0.42508937687145","0.504509922270361"
"No, never","2005","no migration background","higher vocational","272","0.285967860387526","0.256576298866483","0.315359421908569"
"No, never","2005","no migration background","higher education","909","0.325792271641064","0.308011890908925","0.343572652373203"
"No, never","2005","direct migration background","in school","2","","",""
"No, never","2005","direct migration background","inadequately","20","","",""
"No, never","2005","direct migration background","general elemantary","122","0.493420719720769","0.429499277900881","0.557342161540657"
"No, never","2005","direct migration background","middle vocational","193","0.346272785904247","0.304146078736207","0.388399493072287"
"No, never","2005","direct migration background","vocational + Abi","55","0.348322213812511","0.269118100656959","0.427526326968064"
"No, never","2005","direct migration background","higher vocational","26","","",""
"No, never","2005","direct migration background","higher education","88","0.411570108983098","0.34469173594739","0.478448482018807"
"No, never","2005","indirect migration background","in school","3","","",""
"No, never","2005","indirect migration background","inadequately","2","","",""
"No, never","2005","indirect migration background","general elemantary","48","0.500185495514916","0.401693606242406","0.598677384787426"
"No, never","2005","indirect migration background","middle vocational","91","0.361759898969979","0.297827576725278","0.42569222121468"
"No, never","2005","indirect migration background","vocational + Abi","17","","",""
"No, never","2005","indirect migration background","higher vocational","10","","",""
"No, never","2005","indirect migration background","higher education","15","","",""
"Yes, every week","2005","no migration background","in school","12","","",""
"Yes, every week","2005","no migration background","inadequately","1","","",""
"Yes, every week","2005","no migration background","general elemantary","91","0.197645237258416","0.165236621005348","0.230053853511484"
"Yes, every week","2005","no migration background","middle vocational","688","0.152751524972181","0.142610241014196","0.162892808930166"
"Yes, every week","2005","no migration background","vocational + Abi","49","0.0930758162694796","0.0699436823900627","0.116207950148896"
"Yes, every week","2005","no migration background","higher vocational","140","0.163937355683826","0.139856964414603","0.188017746953049"
"Yes, every week","2005","no migration background","higher education","387","0.146749948224838","0.133325360904026","0.16017453554565"
"Yes, every week","2005","direct migration background","in school","2","","",""
"Yes, every week","2005","direct migration background","inadequately","5","","",""
"Yes, every week","2005","direct migration background","general elemantary","27","","",""
"Yes, every week","2005","direct migration background","middle vocational","66","0.138600728396869","0.108006813277895","0.169194643515843"
"Yes, every week","2005","direct migration background","vocational + Abi","17","","",""
"Yes, every week","2005","direct migration background","higher vocational","7","","",""
"Yes, every week","2005","direct migration background","higher education","24","","",""
"Yes, every week","2005","indirect migration background","in school","","","",""
"Yes, every week","2005","indirect migration background","inadequately","2","","",""
"Yes, every week","2005","indirect migration background","general elemantary","16","","",""
"Yes, every week","2005","indirect migration background","middle vocational","34","0.146014536739148","0.0990314538377623","0.192997619640534"
"Yes, every week","2005","indirect migration background","vocational + Abi","4","","",""
"Yes, every week","2005","indirect migration background","higher vocational","4","","",""
"Yes, every week","2005","indirect migration background","higher education","9","","",""
"Yes, every 2 weeks","2005","no migration background","in school","7","","",""
"Yes, every 2 weeks","2005","no migration background","inadequately","1","","",""
"Yes, every 2 weeks","2005","no migration background","general elemantary","98","0.174373105573409","0.14349392542566","0.205252285721158"
"Yes, every 2 weeks","2005","no migration background","middle vocational","738","0.152028355547682","0.141906789068611","0.162149922026754"
"Yes, every 2 weeks","2005","no migration background","vocational + Abi","87","0.126961490353089","0.10045425188007","0.153468728826109"
"Yes, every 2 weeks","2005","no migration background","higher vocational","135","0.159880661754197","0.136042452587406","0.183718870920988"
"Yes, every 2 weeks","2005","no migration background","higher education","276","0.115529789321229","0.10340253738269","0.127657041259768"
"Yes, every 2 weeks","2005","direct migration background","in school","","","",""
"Yes, every 2 weeks","2005","direct migration background","inadequately","6","","",""
"Yes, every 2 weeks","2005","direct migration background","general elemantary","29","","",""
"Yes, every 2 weeks","2005","direct migration background","middle vocational","72","0.150385771413377","0.118736456514345","0.18203508631241"
"Yes, every 2 weeks","2005","direct migration background","vocational + Abi","20","","",""
"Yes, every 2 weeks","2005","direct migration background","higher vocational","18","","",""
"Yes, every 2 weeks","2005","direct migration background","higher education","24","","",""
"Yes, every 2 weeks","2005","indirect migration background","in school","","","",""
"Yes, every 2 weeks","2005","indirect migration background","inadequately","","","",""
"Yes, every 2 weeks","2005","indirect migration background","general elemantary","12","","",""
"Yes, every 2 weeks","2005","indirect migration background","middle vocational","34","0.159545735475483","0.110824547764546","0.208266923186421"
"Yes, every 2 weeks","2005","indirect migration background","vocational + Abi","3","","",""
"Yes, every 2 weeks","2005","indirect migration background","higher vocational","7","","",""
"Yes, every 2 weeks","2005","indirect migration background","higher education","7","","",""
"Yes, every 3-4 weeks","2005","no migration background","in school","3","","",""
"Yes, every 3-4 weeks","2005","no migration background","inadequately","1","","",""
"Yes, every 3-4 weeks","2005","no migration background","general elemantary","39","0.0639419004255135","0.0440315791956353","0.0838522216553917"
"Yes, every 3-4 weeks","2005","no migration background","middle vocational","457","0.10087320933738","0.0923834934562274","0.109362925218532"
"Yes, every 3-4 weeks","2005","no migration background","vocational + Abi","48","0.06066451797748","0.0416585707845522","0.0796704651704078"
"Yes, every 3-4 weeks","2005","no migration background","higher vocational","96","0.0993000633742594","0.0798478065119861","0.118752320236533"
"Yes, every 3-4 weeks","2005","no migration background","higher education","239","0.0864680505632572","0.0758054409593625","0.0971306601671519"
"Yes, every 3-4 weeks","2005","direct migration background","in school","","","",""
"Yes, every 3-4 weeks","2005","direct migration background","inadequately","3","","",""
"Yes, every 3-4 weeks","2005","direct migration background","general elemantary","24","","",""
"Yes, every 3-4 weeks","2005","direct migration background","middle vocational","49","0.104624010133282","0.0775240623421649","0.131723957924399"
"Yes, every 3-4 weeks","2005","direct migration background","vocational + Abi","18","","",""
"Yes, every 3-4 weeks","2005","direct migration background","higher vocational","8","","",""
"Yes, every 3-4 weeks","2005","direct migration background","higher education","15","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","in school","","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","inadequately","1","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","general elemantary","7","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","middle vocational","24","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","vocational + Abi","3","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","higher vocational","","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","higher education","6","","",""
"Rarely","2005","no migration background","in school","8","","",""
"Rarely","2005","no migration background","inadequately","6","","",""
"Rarely","2005","no migration background","general elemantary","90","0.157380815914039","0.127744401311051","0.187017230517027"
"Rarely","2005","no migration background","middle vocational","1163","0.231599406299015","0.219707339644749","0.243491472953281"
"Rarely","2005","no migration background","vocational + Abi","158","0.254498525829046","0.219818559451877","0.289178492206214"
"Rarely","2005","no migration background","higher vocational","265","0.290914058800191","0.261372258434552","0.320455859165831"
"Rarely","2005","no migration background","higher education","858","0.325459940249611","0.307684251071095","0.343235629428127"
"Rarely","2005","direct migration background","in school","1","","",""
"Rarely","2005","direct migration background","inadequately","4","","",""
"Rarely","2005","direct migration background","general elemantary","33","0.149487947707583","0.103899218559202","0.195076676855965"
"Rarely","2005","direct migration background","middle vocational","110","0.260116704152225","0.221273434160329","0.29895997414412"
"Rarely","2005","direct migration background","vocational + Abi","29","","",""
"Rarely","2005","direct migration background","higher vocational","20","","",""
"Rarely","2005","direct migration background","higher education","57","0.286622308728285","0.225170993776245","0.348073623680325"
"Rarely","2005","indirect migration background","in school","","","",""
"Rarely","2005","indirect migration background","inadequately","1","","",""
"Rarely","2005","indirect migration background","general elemantary","16","","",""
"Rarely","2005","indirect migration background","middle vocational","34","0.185238451773901","0.133549341379064","0.236927562168738"
"Rarely","2005","indirect migration background","vocational + Abi","3","","",""
"Rarely","2005","indirect migration background","higher vocational","12","","",""
"Rarely","2005","indirect migration background","higher education","20","","",""
"No, never","2006","no migration background","in school","","","",""
"No, never","2006","no migration background","inadequately","","","",""
"No, never","2006","no migration background","general elemantary","","","",""
"No, never","2006","no migration background","middle vocational","","","",""
"No, never","2006","no migration background","vocational + Abi","","","",""
"No, never","2006","no migration background","higher vocational","","","",""
"No, never","2006","no migration background","higher education","","","",""
"No, never","2006","direct migration background","in school","","","",""
"No, never","2006","direct migration background","inadequately","","","",""
"No, never","2006","direct migration background","general elemantary","","","",""
"No, never","2006","direct migration background","middle vocational","","","",""
"No, never","2006","direct migration background","vocational + Abi","","","",""
"No, never","2006","direct migration background","higher vocational","","","",""
"No, never","2006","direct migration background","higher education","","","",""
"No, never","2006","indirect migration background","in school","","","",""
"No, never","2006","indirect migration background","inadequately","","","",""
"No, never","2006","indirect migration background","general elemantary","","","",""
"No, never","2006","indirect migration background","middle vocational","","","",""
"No, never","2006","indirect migration background","vocational + Abi","","","",""
"No, never","2006","indirect migration background","higher vocational","","","",""
"No, never","2006","indirect migration background","higher education","","","",""
"Yes, every week","2006","no migration background","in school","","","",""
"Yes, every week","2006","no migration background","inadequately","","","",""
"Yes, every week","2006","no migration background","general elemantary","","","",""
"Yes, every week","2006","no migration background","middle vocational","","","",""
"Yes, every week","2006","no migration background","vocational + Abi","","","",""
"Yes, every week","2006","no migration background","higher vocational","","","",""
"Yes, every week","2006","no migration background","higher education","","","",""
"Yes, every week","2006","direct migration background","in school","","","",""
"Yes, every week","2006","direct migration background","inadequately","","","",""
"Yes, every week","2006","direct migration background","general elemantary","","","",""
"Yes, every week","2006","direct migration background","middle vocational","","","",""
"Yes, every week","2006","direct migration background","vocational + Abi","","","",""
"Yes, every week","2006","direct migration background","higher vocational","","","",""
"Yes, every week","2006","direct migration background","higher education","","","",""
"Yes, every week","2006","indirect migration background","in school","","","",""
"Yes, every week","2006","indirect migration background","inadequately","","","",""
"Yes, every week","2006","indirect migration background","general elemantary","","","",""
"Yes, every week","2006","indirect migration background","middle vocational","","","",""
"Yes, every week","2006","indirect migration background","vocational + Abi","","","",""
"Yes, every week","2006","indirect migration background","higher vocational","","","",""
"Yes, every week","2006","indirect migration background","higher education","","","",""
"Yes, every 2 weeks","2006","no migration background","in school","","","",""
"Yes, every 2 weeks","2006","no migration background","inadequately","","","",""
"Yes, every 2 weeks","2006","no migration background","general elemantary","","","",""
"Yes, every 2 weeks","2006","no migration background","middle vocational","","","",""
"Yes, every 2 weeks","2006","no migration background","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","no migration background","higher vocational","","","",""
"Yes, every 2 weeks","2006","no migration background","higher education","","","",""
"Yes, every 2 weeks","2006","direct migration background","in school","","","",""
"Yes, every 2 weeks","2006","direct migration background","inadequately","","","",""
"Yes, every 2 weeks","2006","direct migration background","general elemantary","","","",""
"Yes, every 2 weeks","2006","direct migration background","middle vocational","","","",""
"Yes, every 2 weeks","2006","direct migration background","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","direct migration background","higher vocational","","","",""
"Yes, every 2 weeks","2006","direct migration background","higher education","","","",""
"Yes, every 2 weeks","2006","indirect migration background","in school","","","",""
"Yes, every 2 weeks","2006","indirect migration background","inadequately","","","",""
"Yes, every 2 weeks","2006","indirect migration background","general elemantary","","","",""
"Yes, every 2 weeks","2006","indirect migration background","middle vocational","","","",""
"Yes, every 2 weeks","2006","indirect migration background","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","indirect migration background","higher vocational","","","",""
"Yes, every 2 weeks","2006","indirect migration background","higher education","","","",""
"Yes, every 3-4 weeks","2006","no migration background","in school","","","",""
"Yes, every 3-4 weeks","2006","no migration background","inadequately","","","",""
"Yes, every 3-4 weeks","2006","no migration background","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","no migration background","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","no migration background","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","no migration background","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","no migration background","higher education","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","in school","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","inadequately","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","higher education","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","in school","","","",""
