"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","Male","549","0.320785148290585","0.298090047190965","0.343480249390204"
"No, never","2005","16-34 y.","Female","677","0.423148637792733","0.398408783174666","0.4478884924108"
"No, never","2005","35-65 y.","Male","1247","0.28408124349227","0.270704223508454","0.297458263476086"
"No, never","2005","35-65 y.","Female","1756","0.457476673162141","0.441626431572514","0.473326914751767"
"No, never","2005","66 and older","Male","33","0.367848909019755","0.268771970839465","0.466925847200045"
"No, never","2005","66 and older","Female","24","","",""
"Yes, every week","2005","16-34 y.","Male","253","0.168899150553599","0.150682773619313","0.187115527487886"
"Yes, every week","2005","16-34 y.","Female","213","0.141343584811299","0.123898765769725","0.158788403852874"
"Yes, every week","2005","35-65 y.","Male","643","0.147078378669396","0.136572431704655","0.157584325634138"
"Yes, every week","2005","35-65 y.","Female","463","0.137949736499376","0.126978162591294","0.148921310407458"
"Yes, every week","2005","66 and older","Male","23","","",""
"Yes, every week","2005","66 and older","Female","12","","",""
"Yes, every 2 weeks","2005","16-34 y.","Male","218","0.134761957586644","0.118159481365038","0.15136443380825"
"Yes, every 2 weeks","2005","16-34 y.","Female","307","0.215298164028201","0.19471599189794","0.235880336158461"
"Yes, every 2 weeks","2005","35-65 y.","Male","557","0.133799903826209","0.123701720755834","0.143898086896585"
"Yes, every 2 weeks","2005","35-65 y.","Female","507","0.141369106622601","0.130284438040344","0.152453775204858"
"Yes, every 2 weeks","2005","66 and older","Male","6","","",""
"Yes, every 2 weeks","2005","66 and older","Female","3","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","Male","168","0.0951858880579744","0.0809170905723543","0.109454685543594"
"Yes, every 3-4 weeks","2005","16-34 y.","Female","101","0.0775508759041088","0.0641577092326107","0.0909440425756069"
"Yes, every 3-4 weeks","2005","35-65 y.","Male","474","0.109846087527856","0.100570721128359","0.119121453927353"
"Yes, every 3-4 weeks","2005","35-65 y.","Female","294","0.0770328138836096","0.0685493500538293","0.0855162777133898"
"Yes, every 3-4 weeks","2005","66 and older","Male","8","","",""
"Yes, every 3-4 weeks","2005","66 and older","Female","2","","",""
"Rarely","2005","16-34 y.","Male","437","0.280367855511197","0.258528450852844","0.302207260169551"
"Rarely","2005","16-34 y.","Female","234","0.142658737463658","0.125146374111212","0.160171100816103"
"Rarely","2005","35-65 y.","Male","1445","0.325194386484268","0.311299113324004","0.339089659644533"
"Rarely","2005","35-65 y.","Female","775","0.186171669832272","0.1737875427504","0.198555796914145"
"Rarely","2005","66 and older","Male","21","","",""
"Rarely","2005","66 and older","Female","3","","",""
"No, never","2006","16-34 y.","Male","","","",""
"No, never","2006","16-34 y.","Female","","","",""
"No, never","2006","35-65 y.","Male","","","",""
"No, never","2006","35-65 y.","Female","","","",""
"No, never","2006","66 and older","Male","","","",""
"No, never","2006","66 and older","Female","","","",""
"Yes, every week","2006","16-34 y.","Male","","","",""
"Yes, every week","2006","16-34 y.","Female","","","",""
"Yes, every week","2006","35-65 y.","Male","","","",""
"Yes, every week","2006","35-65 y.","Female","","","",""
"Yes, every week","2006","66 and older","Male","","","",""
"Yes, every week","2006","66 and older","Female","","","",""
"Yes, every 2 weeks","2006","16-34 y.","Male","","","",""
"Yes, every 2 weeks","2006","16-34 y.","Female","","","",""
"Yes, every 2 weeks","2006","35-65 y.","Male","","","",""
"Yes, every 2 weeks","2006","35-65 y.","Female","","","",""
"Yes, every 2 weeks","2006","66 and older","Male","","","",""
"Yes, every 2 weeks","2006","66 and older","Female","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","Male","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","Female","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","Male","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","Female","","","",""
"Yes, every 3-4 weeks","2006","66 and older","Male","","","",""
"Yes, every 3-4 weeks","2006","66 and older","Female","","","",""
"Rarely","2006","16-34 y.","Male","","","",""
"Rarely","2006","16-34 y.","Female","","","",""
"Rarely","2006","35-65 y.","Male","","","",""
"Rarely","2006","35-65 y.","Female","","","",""
"Rarely","2006","66 and older","Male","","","",""
"Rarely","2006","66 and older","Female","","","",""
"No, never","2007","16-34 y.","Male","525","0.338994486831533","0.315413527389101","0.362575446273964"
"No, never","2007","16-34 y.","Female","598","0.397306868229643","0.372137289866544","0.422476446592742"
"No, never","2007","35-65 y.","Male","1226","0.279779382363471","0.266500654842316","0.293058109884626"
"No, never","2007","35-65 y.","Female","1746","0.433394897622093","0.41792162712764","0.448868168116545"
"No, never","2007","66 and older","Male","37","0.300186303238356","0.218520157147349","0.381852449329364"
"No, never","2007","66 and older","Female","26","","",""
"Yes, every week","2007","16-34 y.","Male","226","0.140071353676384","0.122782409021961","0.157360298330808"
"Yes, every week","2007","16-34 y.","Female","207","0.156708541296547","0.138010334111672","0.175406748481422"
"Yes, every week","2007","35-65 y.","Male","690","0.153530695058933","0.142866721833676","0.16419466828419"
"Yes, every week","2007","35-65 y.","Female","523","0.13654467013645","0.125823127086688","0.147266213186212"
"Yes, every week","2007","66 and older","Male","30","0.263655045341567","0.185147010450135","0.342163080232999"
"Yes, every week","2007","66 and older","Female","17","","",""
"Yes, every 2 weeks","2007","16-34 y.","Male","258","0.170157202567043","0.151438071039395","0.188876334094692"
"Yes, every 2 weeks","2007","16-34 y.","Female","266","0.179832580142819","0.16007879947966","0.199586360805978"
"Yes, every 2 weeks","2007","35-65 y.","Male","596","0.151708205080879","0.141096308739013","0.162320101422744"
"Yes, every 2 weeks","2007","35-65 y.","Female","568","0.152903129946447","0.141665500525683","0.164140759367212"
