"plb0218","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","in school","","","",""
"No, never","2005","1-pers.-HH","inadequately","5","","",""
"No, never","2005","1-pers.-HH","general elemantary","37","0.413463088761484","0.309983543640257","0.516942633882711"
"No, never","2005","1-pers.-HH","middle vocational","228","0.3261452310466","0.290541161076136","0.361749301017064"
"No, never","2005","1-pers.-HH","vocational + Abi","51","0.491569074764233","0.397717168566929","0.585420980961536"
"No, never","2005","1-pers.-HH","higher vocational","32","0.318273474130757","0.229177360575405","0.407369587686109"
"No, never","2005","1-pers.-HH","higher education","123","0.377614572025692","0.327743482181089","0.427485661870295"
"No, never","2005","(Married) couple without C. ","in school","1","","",""
"No, never","2005","(Married) couple without C. ","inadequately","6","","",""
"No, never","2005","(Married) couple without C. ","general elemantary","79","0.464615154955641","0.387092390454464","0.542137919456818"
"No, never","2005","(Married) couple without C. ","middle vocational","608","0.395703903116921","0.371088409339167","0.420319396894676"
"No, never","2005","(Married) couple without C. ","vocational + Abi","102","0.454336227592646","0.389564361873443","0.519108093311848"
"No, never","2005","(Married) couple without C. ","higher vocational","92","0.29957470183013","0.245137333901408","0.354012069758851"
"No, never","2005","(Married) couple without C. ","higher education","330","0.341999837840413","0.31167418809859","0.372325487582237"
"No, never","2005","Single parent ","in school","","","",""
"No, never","2005","Single parent ","inadequately","2","","",""
"No, never","2005","Single parent ","general elemantary","34","0.344987011074637","0.245098671779141","0.444875350370134"
"No, never","2005","Single parent ","middle vocational","130","0.390558274094921","0.337352858005478","0.443763690184363"
"No, never","2005","Single parent ","vocational + Abi","15","","",""
"No, never","2005","Single parent ","higher vocational","6","","",""
"No, never","2005","Single parent ","higher education","34","0.387535955593385","0.287438348589328","0.487633562597442"
"No, never","2005","Couple + C. LE 16 ","in school","1","","",""
"No, never","2005","Couple + C. LE 16 ","inadequately","4","","",""
"No, never","2005","Couple + C. LE 16 ","general elemantary","60","0.34975387802542","0.27266183087925","0.426845925171591"
"No, never","2005","Couple + C. LE 16 ","middle vocational","444","0.324546775405836","0.299355571775458","0.349737979036215"
