"plb0218","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","in school","16","","",""
"No, never","2005","16-34 y.","inadequately","17","","",""
"No, never","2005","16-34 y.","general elemantary","220","0.429310497178871","0.385349320702004","0.473271673655737"
"No, never","2005","16-34 y.","middle vocational","555","0.332631020426942","0.308976181802386","0.356285859051498"
"No, never","2005","16-34 y.","vocational + Abi","141","0.449689731459644","0.395605992969847","0.50377346994944"
"No, never","2005","16-34 y.","higher vocational","48","0.277707539120473","0.210775471140168","0.344639607100779"
"No, never","2005","16-34 y.","higher education","165","0.357715046138179","0.312825675777842","0.402604416498516"
"No, never","2005","35-65 y.","in school","","","",""
"No, never","2005","35-65 y.","inadequately","24","","",""
"No, never","2005","35-65 y.","general elemantary","203","0.44669555556602","0.398748608412991","0.494642502719049"
"No, never","2005","35-65 y.","middle vocational","1497","0.371716847664828","0.356678475771468","0.386755219558188"
"No, never","2005","35-65 y.","vocational + Abi","193","0.427841979349306","0.382026864815908","0.473657093882705"
"No, never","2005","35-65 y.","higher vocational","258","0.289701768490876","0.25900709270528","0.320396444276472"
"No, never","2005","35-65 y.","higher education","824","0.321830892783789","0.303282632030392","0.340379153537185"
"No, never","2005","66 and older","in school","","","",""
"No, never","2005","66 and older","inadequately","1","","",""
"No, never","2005","66 and older","general elemantary","9","","",""
"No, never","2005","66 and older","middle vocational","20","","",""
"No, never","2005","66 and older","vocational + Abi","2","","",""
"No, never","2005","66 and older","higher vocational","2","","",""
"No, never","2005","66 and older","higher education","23","","",""
"Yes, every week","2005","16-34 y.","in school","14","","",""
"Yes, every week","2005","16-34 y.","inadequately","6","","",""
"Yes, every week","2005","16-34 y.","general elemantary","78","0.176906681041519","0.143016002350793","0.210797359732245"
"Yes, every week","2005","16-34 y.","middle vocational","242","0.171120977672186","0.152212663568635","0.190029291775737"
"Yes, every week","2005","16-34 y.","vocational + Abi","30","0.0919129186710991","0.0605036056408983","0.1233222317013"
"Yes, every week","2005","16-34 y.","higher vocational","23","","",""
"Yes, every week","2005","16-34 y.","higher education","52","0.101911193132711","0.0735789069005111","0.130243479364911"
"Yes, every week","2005","35-65 y.","in school","","","",""
"Yes, every week","2005","35-65 y.","inadequately","2","","",""
