"plb0218","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","1-pers.-HH","188","0.362410467836512","0.321369864262897","0.403451071410127","1"
"No, never","2005","16-34 y.","(Married) couple without C. ","303","0.346101784338096","0.313053527857693","0.379150040818498","1"
"No, never","2005","16-34 y.","Single parent ","70","0.366830003445649","0.298482289058436","0.435177717832861","1"
"No, never","2005","16-34 y.","Couple + C. LE 16 ","219","0.294427520030234","0.259966869498101","0.328888170562367","1"
"No, never","2005","16-34 y.","Couple + C. GT 16 ","301","0.459312720697181","0.421436679425106","0.497188761969257","1"
"No, never","2005","16-34 y.","Couple + C. LE and GT 16","112","0.448047576107106","0.382184968349463","0.51391018386475","1"
"No, never","2005","35-65 y.","1-pers.-HH","284","0.352765171563602","0.319736290845201","0.385794052282003","1"
"No, never","2005","35-65 y.","(Married) couple without C. ","879","0.39472731408172","0.374539559072897","0.414915069090544","1"
"No, never","2005","35-65 y.","Single parent ","158","0.39559686868574","0.347557606296282","0.443636131075198","1"
"No, never","2005","35-65 y.","Couple + C. LE 16 ","719","0.321970045845374","0.30196752982558","0.341972561865169","1"
"No, never","2005","35-65 y.","Couple + C. GT 16 ","612","0.381883553148946","0.358017687778364","0.405749418519528","1"
"No, never","2005","35-65 y.","Couple + C. LE and GT 16","292","0.339270075892608","0.307213963819769","0.371326187965447","1"
"No, never","2005","66 and older","1-pers.-HH","11","","","","1"
"No, never","2005","66 and older","(Married) couple without C. ","42","0.430528889066033","0.33299231622143","0.528065461910635","1"
"No, never","2005","66 and older","Single parent ","","","","","1"
"No, never","2005","66 and older","Couple + C. LE 16 ","","","","","1"
"No, never","2005","66 and older","Couple + C. GT 16 ","4","","","","1"
"No, never","2005","66 and older","Couple + C. LE and GT 16","","","","","1"
"Rarely","2005","16-34 y.","1-pers.-HH","119","0.230915877523866","0.194936254892994","0.266895500154738","5"
"Rarely","2005","16-34 y.","Couple + C. LE and GT 16","29","","","","5"
"Rarely","2005","16-34 y.","Couple + C. LE 16 ","165","0.237558978801627","0.205381478242452","0.269736479360802","5"
"Rarely","2005","16-34 y.","Couple + C. GT 16 ","114","0.183577080701196","0.15415291944155","0.213001241960842","5"
"Rarely","2005","16-34 y.","(Married) couple without C. ","190","0.241854671352566","0.212107544264643","0.271601798440489","5"
"Rarely","2005","16-34 y.","Single parent ","38","0.181886525829697","0.127180087112702","0.236592964546692","5"
"Rarely","2005","35-65 y.","1-pers.-HH","217","0.25757765475003","0.227350332479095","0.287804977020965","5"
"Rarely","2005","35-65 y.","(Married) couple without C. ","609","0.249779075827276","0.231900352180144","0.267657799474408","5"
"Rarely","2005","35-65 y.","Single parent ","87","0.202838019545424","0.1633327959239","0.242343243166948","5"
"Rarely","2005","35-65 y.","Couple + C. LE 16 ","610","0.286301768786595","0.266949950487137","0.305653587086052","5"
"Rarely","2005","35-65 y.","Couple + C. LE and GT 16","226","0.288182924291908","0.2575178229193","0.318848025664516","5"
"Rarely","2005","66 and older","1-pers.-HH","3","","","","5"
"Rarely","2005","66 and older","(Married) couple without C. ","20","","","","5"
"Rarely","2005","35-65 y.","Couple + C. GT 16 ","419","0.262633771219353","0.241016868616129","0.284250673822577","5"
"Rarely","2005","66 and older","Single parent ","","","","","5"
"Rarely","2005","66 and older","Couple + C. LE 16 ","","","","","5"
"Rarely","2005","66 and older","Couple + C. GT 16 ","","","","","5"
"Rarely","2005","66 and older","Couple + C. LE and GT 16","1","","","","5"
"Yes, every 2 weeks","2005","16-34 y.","1-pers.-HH","111","0.201383390722976","0.167144177467349","0.235622603978602","3"
"Yes, every 2 weeks","2005","35-65 y.","Single parent ","56","0.132124876645447","0.0988568169267074","0.165392936364187","3"
"Yes, every 2 weeks","2005","35-65 y.","Couple + C. GT 16 ","196","0.122854473658789","0.106729171046345","0.138979776271233","3"
"Yes, every 2 weeks","2005","16-34 y.","(Married) couple without C. ","131","0.173663242827563","0.147346990244823","0.199979495410303","3"
"Yes, every 2 weeks","2005","16-34 y.","Single parent ","38","0.198904801445722","0.142294416871786","0.255515186019658","3"
"Yes, every 2 weeks","2005","16-34 y.","Couple + C. LE 16 ","106","0.167617311400771","0.139376029276669","0.195858593524872","3"
"Yes, every 2 weeks","2005","16-34 y.","Couple + C. GT 16 ","93","0.143367624129829","0.116732173141409","0.170003075118249","3"
"Yes, every 2 weeks","2005","16-34 y.","Couple + C. LE and GT 16","28","","","","3"
"Yes, every 2 weeks","2005","35-65 y.","1-pers.-HH","116","0.134295839339506","0.110727113857052","0.157864564821961","3"
