"plb0218","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","1226","0.367339683502385","0.350523399980041","0.384155967024728","1"
"No, never","2005","35-65 y.","3003","0.360795006992718","0.350375990132215","0.37121402385322","1"
"No, never","2005","66 and older","57","0.425534483373848","0.342131695371389","0.508937271376307","1"
"Rarely","2005","35-65 y.","2220","0.263687829900072","0.254127950039689","0.273247709760454","5"
"Rarely","2005","66 and older","24","","","","5"
"Rarely","2005","16-34 y.","671","0.217738259584853","0.20334184918521","0.232134669984497","5"
"Yes, every 2 weeks","2005","35-65 y.","1064","0.137148677402969","0.129685217592147","0.144612137213791","3"
"Yes, every 2 weeks","2005","66 and older","9","","","","3"
"Yes, every 2 weeks","2005","16-34 y.","525","0.171389525451352","0.15824399402666","0.184535056876044","3"
"Yes, every 3-4 weeks","2005","16-34 y.","269","0.0871655499640838","0.0773259090805393","0.0970051908476282","4"
"Yes, every 3-4 weeks","2005","35-65 y.","768","0.0953288091958216","0.0889574239375099","0.101700194454133","4"
"Yes, every 3-4 weeks","2005","66 and older","10","","","","4"
"Yes, every week","2005","35-65 y.","1106","0.14303967650842","0.135443675404208","0.150635677612631","2"
"Yes, every week","2005","16-34 y.","466","0.156366981497326","0.143697462971186","0.169036500023466","2"
"Yes, every week","2005","66 and older","35","0.322605283119889","0.243748719612963","0.401461846626815","2"
"No, never","2006","35-65 y.","","","","","1"
"No, never","2006","66 and older","","","","","1"
"No, never","2006","16-34 y.","","","","","1"
"Rarely","2006","35-65 y.","","","","","5"
"Rarely","2006","66 and older","","","","","5"
"Rarely","2006","16-34 y.","","","","","5"
"Yes, every 2 weeks","2006","35-65 y.","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","","","","","3"
"Yes, every 2 weeks","2006","66 and older","","","","","3"
"Yes, every 3-4 weeks","2006","66 and older","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","","","","","4"
"Yes, every week","2006","16-34 y.","","","","","2"
"Yes, every week","2006","35-65 y.","","","","","2"
"Yes, every week","2006","66 and older","","","","","2"
"No, never","2007","16-34 y.","1123","0.365355890252697","0.348124883715953","0.382586896789442","1"
"No, never","2007","35-65 y.","2972","0.348425629882816","0.33819358035493","0.358657679410702","1"
"No, never","2007","66 and older","63","0.394725161080177","0.322306117917571","0.467144204242783","1"
"Rarely","2007","16-34 y.","624","0.206537774839832","0.192051712878373","0.22102383680129","5"
"Rarely","2007","35-65 y.","2174","0.254591303320465","0.245236285908427","0.263946320732502","5"
"Rarely","2007","66 and older","40","0.21575882226484","0.15481380996862","0.27670383456106","5"
"Yes, every 2 weeks","2007","35-65 y.","1164","0.152242181795084","0.144527305055413","0.159957058534756","3"
"Yes, every 2 weeks","2007","66 and older","13","","","","3"
"Yes, every 2 weeks","2007","16-34 y.","524","0.174531171275091","0.160948840451221","0.188113502098962","3"
"Yes, every 3-4 weeks","2007","16-34 y.","296","0.105982600838253","0.0949677724381888","0.116997429238318","4"
"Yes, every 3-4 weeks","2007","35-65 y.","807","0.0988007439908096","0.0923928383191314","0.105208649662488","4"
"Yes, every 3-4 weeks","2007","66 and older","12","","","","4"
"Yes, every week","2007","16-34 y.","433","0.147592562794126","0.13490017549746","0.160284950090792","2"
"Yes, every week","2007","35-65 y.","1213","0.145940141010825","0.138358606323919","0.153521675697731","2"
"Yes, every week","2007","66 and older","47","0.285978742341373","0.219028598646862","0.352928886035884","2"
"No, never","2008","16-34 y.","","","","","1"
"No, never","2008","35-65 y.","","","","","1"
"No, never","2008","66 and older","","","","","1"
"Rarely","2008","35-65 y.","","","","","5"
"Rarely","2008","66 and older","","","","","5"
"Rarely","2008","16-34 y.","","","","","5"
"Yes, every 2 weeks","2008","66 and older","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","","","","","3"
"Yes, every 3-4 weeks","2008","16-34 y.","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","","","","","4"
"Yes, every week","2008","35-65 y.","","","","","2"
"Yes, every week","2008","16-34 y.","","","","","2"
"Yes, every week","2008","66 and older","","","","","2"
"No, never","2009","35-65 y.","2625","0.347412004400378","0.336562659187716","0.35826134961304","1"
"No, never","2009","66 and older","75","0.35418470319104","0.290986342288377","0.417383064093704","1"
"No, never","2009","16-34 y.","981","0.377282242478307","0.358622338698801","0.395942146257812","1"
"Rarely","2009","16-34 y.","570","0.218249614206115","0.202347993622245","0.234151234789986","5"
"Rarely","2009","35-65 y.","1956","0.26252875577234","0.252502874371813","0.272554637172866","5"
"Rarely","2009","66 and older","62","0.276152764560393","0.217073523416659","0.335232005704127","5"
"Yes, every 2 weeks","2009","35-65 y.","1002","0.14635330687317","0.138299486699545","0.154407127046796","3"
"Yes, every 2 weeks","2009","66 and older","17","","","","3"
"Yes, every 2 weeks","2009","16-34 y.","442","0.162419296754583","0.148220134010312","0.176618459498853","3"
"Yes, every 3-4 weeks","2009","16-34 y.","218","0.0846381055608386","0.073922666418845","0.0953535447028322","4"
"Yes, every 3-4 weeks","2009","35-65 y.","685","0.0885525324265796","0.0820792002761504","0.0950258645770087","4"
"Yes, every 3-4 weeks","2009","66 and older","11","","","","4"
"Yes, every week","2009","16-34 y.","381","0.157410741000157","0.143390491786719","0.171430990213595","2"
"Yes, every week","2009","35-65 y.","1131","0.155153400527533","0.146903833475425","0.16340296757964","2"
"Yes, every week","2009","66 and older","55","0.206757207043357","0.15324287037258","0.260271543714134","2"
"No, never","2010","16-34 y.","462","0.321879303582623","0.297562303190778","0.346196303974468","1"
"No, never","2010","35-65 y.","1072","0.36241650804139","0.345500428755251","0.379332587327528","1"
"No, never","2010","66 and older","","","","","1"
"Rarely","2010","16-34 y.","326","0.22704921067097","0.205244722518675","0.248853698823264","5"
"Rarely","2010","35-65 y.","836","0.265433165487488","0.249894259270783","0.280972071704193","5"
"Rarely","2010","66 and older","1","","","","5"
"Yes, every 2 weeks","2010","35-65 y.","464","0.142298025548419","0.130003979478283","0.154592071618555","3"
"Yes, every 2 weeks","2010","16-34 y.","295","0.216454095650529","0.195019015986876","0.237889175314182","3"
"Yes, every 2 weeks","2010","66 and older","","","","","3"
"Yes, every 3-4 weeks","2010","16-34 y.","131","0.0893499112676779","0.0745031130703603","0.104196709464996","4"
"Yes, every 3-4 weeks","2010","35-65 y.","302","0.1014483887497","0.0908235760009315","0.112073201498468","4"
"Yes, every 3-4 weeks","2010","66 and older","","","","","4"
"Yes, every week","2010","35-65 y.","428","0.128403912173004","0.116631269609146","0.140176554736862","2"
"Yes, every week","2010","16-34 y.","204","0.1452674788282","0.126927058297769","0.163607899358632","2"
"Yes, every week","2010","66 and older","1","","","","2"
"No, never","2011","16-34 y.","1591","0.386157120927161","0.371328317410497","0.400985924443825","1"
"No, never","2011","35-65 y.","4650","0.365563693146477","0.357086583173083","0.374040803119871","1"
"No, never","2011","66 and older","78","0.385561693867376","0.321245130300986","0.449878257433767","1"
"Rarely","2011","35-65 y.","2943","0.239310315393","0.231800024683173","0.246820606102827","5"
"Rarely","2011","66 and older","51","0.205696145535221","0.152283613971917","0.259108677098524","5"
"Rarely","2011","16-34 y.","831","0.22168328471772","0.209031839815418","0.234334729620023","5"
"Yes, every 2 weeks","2011","35-65 y.","1851","0.151355034831592","0.145046424095804","0.157663645567379","3"
"Yes, every 2 weeks","2011","66 and older","18","","","","3"
"Yes, every 2 weeks","2011","16-34 y.","753","0.170606961596648","0.159149879029628","0.182064044163668","3"
"Yes, every 3-4 weeks","2011","16-34 y.","387","0.0807601762188782","0.072461505739331","0.0890588466984253","4"
"Yes, every 3-4 weeks","2011","35-65 y.","1145","0.094956878700735","0.0897966360228654","0.100117121378605","4"
"Yes, every 3-4 weeks","2011","66 and older","21","","","","4"
"Yes, every week","2011","16-34 y.","579","0.140792456539593","0.130199084873283","0.151385828205903","2"
"Yes, every week","2011","35-65 y.","1809","0.148814077928197","0.142549288184624","0.15507886767177","2"
"Yes, every week","2011","66 and older","52","0.250220476738648","0.192985045154267","0.307455908323029","2"
"No, never","2012","35-65 y.","1565","0.399149553823716","0.38384441983812","0.414454687809313","1"
"No, never","2012","66 and older","1","","","","1"
"No, never","2012","16-34 y.","483","0.396415055159307","0.368966945194265","0.42386316512435","1"
"Rarely","2012","66 and older","","","","","5"
"Rarely","2012","16-34 y.","199","0.15063939009429","0.130567720093507","0.170711060095072","5"
"Rarely","2012","35-65 y.","832","0.212609483510139","0.199822369896197","0.225396597124082","5"
"Yes, every 2 weeks","2012","16-34 y.","232","0.209004188619761","0.186188543007671","0.231819834231852","3"
"Yes, every 2 weeks","2012","35-65 y.","628","0.160077336151196","0.148617703605463","0.171536968696929","3"
"Yes, every 2 weeks","2012","66 and older","","","","","3"
"Yes, every 3-4 weeks","2012","16-34 y.","116","0.0935370601990372","0.0771976994952491","0.109876420902825","4"
"Yes, every 3-4 weeks","2012","35-65 y.","353","0.091205138765705","0.0822074968901564","0.100202780641254","4"
"Yes, every 3-4 weeks","2012","66 and older","2","","","","4"
"Yes, every week","2012","16-34 y.","190","0.150404305927604","0.130345528385678","0.170463083469531","2"
"Yes, every week","2012","35-65 y.","555","0.136958487749244","0.12621373474158","0.147703240756907","2"
"Yes, every week","2012","66 and older","","","","","2"
"No, never","2013","66 and older","111","0.46525901286891","0.406835426954347","0.523682598783473","1"
"No, never","2013","16-34 y.","1497","0.394546598494481","0.378668923327474","0.410424273661489","1"
"No, never","2013","35-65 y.","4394","0.355543184010633","0.346841672489173","0.364244695532093","1"
"Rarely","2013","16-34 y.","696","0.21755689077419","0.20415363806451","0.23096014348387","5"
"Rarely","2013","35-65 y.","2897","0.260177256227931","0.252201899564432","0.26815261289143","5"
"Rarely","2013","66 and older","74","0.233728103567379","0.18415843765359","0.283297769481168","5"
"Yes, every 2 weeks","2013","66 and older","24","","","","3"
"Yes, every 2 weeks","2013","16-34 y.","619","0.168717779335611","0.156551660044831","0.180883898626392","3"
