"plb0218","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","Not Employed","63","0.567400937313088","0.471253919865731","0.663547954760446","1"
"No, never","2005","16-34 y.","Employed","1163","0.362024912941693","0.344983187170116","0.37906663871327","1"
"No, never","2005","35-65 y.","Not Employed","35","0.589069820438383","0.470371785599031","0.707767855277735","1"
"No, never","2005","35-65 y.","Employed","2968","0.358665434212074","0.348217588503883","0.369113279920265","1"
"No, never","2005","66 and older","Not Employed","2","","","","1"
"No, never","2005","66 and older","Employed","55","0.421777665281626","0.33753146035735","0.506023870205902","1"
"Rarely","2005","16-34 y.","Not Employed","14","","","","5"
"Rarely","2005","16-34 y.","Employed","657","0.218514048199654","0.203860501494774","0.233167594904534","5"
"Rarely","2005","35-65 y.","Not Employed","10","","","","5"
"Rarely","2005","35-65 y.","Employed","2210","0.264821385134446","0.255209410330814","0.274433359938078","5"
"Rarely","2005","66 and older","Not Employed","1","","","","5"
"Rarely","2005","66 and older","Employed","23","","","","5"
"Yes, every 2 weeks","2005","35-65 y.","Not Employed","7","","","","3"
"Yes, every 2 weeks","2005","16-34 y.","Not Employed","11","","","","3"
"Yes, every 2 weeks","2005","16-34 y.","Employed","514","0.172508217900274","0.159110549553993","0.185905886246555","3"
"Yes, every 2 weeks","2005","35-65 y.","Employed","1057","0.13773054795308","0.13022337705817","0.14523771884799","3"
"Yes, every 2 weeks","2005","66 and older","Not Employed","","","","","3"
"Yes, every 2 weeks","2005","66 and older","Employed","9","","","","3"
"Yes, every 3-4 weeks","2005","16-34 y.","Not Employed","6","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Not Employed","3","","","","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Employed","263","0.0879095856698027","0.0778685260426935","0.097950645296912","4"
"Yes, every 3-4 weeks","2005","66 and older","Not Employed","","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Employed","765","0.0958705518084974","0.0894570150912161","0.102284088525779","4"
"Yes, every 3-4 weeks","2005","66 and older","Employed","10","","","","4"
"Yes, every week","2005","35-65 y.","Not Employed","11","","","","2"
"Yes, every week","2005","16-34 y.","Not Employed","8","","","","2"
