"plb0218","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","(0) in school","11","","",""
"No, never","2005","no migration background","(1a) inadequately completed","10","","",""
"No, never","2005","no migration background","(1b) general elementary school","150","0.416813670966236","0.363538508003436","0.470088833929035"
"No, never","2005","no migration background","(1c) basic vocational qualification","710","0.35668834683181","0.336017719998418","0.377358973665202"
"No, never","2005","no migration background","(2b) intermediate general qualification","125","0.429348744061653","0.369752945822527","0.48894454230078"
"No, never","2005","no migration background","(2a) intermediate vocational","1112","0.333105175205449","0.31655894533473","0.349651405076168"
"No, never","2005","no migration background","(2c_gen) general maturity certificate","123","0.450776624139112","0.392075184814923","0.5094780634633"
"No, never","2005","no migration background","(2c_voc) vocational maturity certificate","359","0.456030017320629","0.422288116487183","0.489771918154074"
"No, never","2005","no migration background","(3a) lower tertiary education","396","0.357325078827354","0.328394627348501","0.386255530306207"
"No, never","2005","no migration background","(3b) higher tertiary education","513","0.301382230741682","0.279003241729206","0.323761219754158"
"No, never","2005","direct migration background","(0) in school","2","","",""
"No, never","2005","direct migration background","(1a) inadequately completed","21","","",""
"No, never","2005","direct migration background","(1b) general elementary school","112","0.512808764514036","0.445366162681451","0.580251366346621"
"No, never","2005","direct migration background","(1c) basic vocational qualification","142","0.346054197808778","0.297842188807025","0.394266206810531"
"No, never","2005","direct migration background","(2b) intermediate general qualification","10","","",""
"No, never","2005","direct migration background","(2a) intermediate vocational","40","0.351120705700615","0.254628031502479","0.44761337989875"
"No, never","2005","direct migration background","(2c_gen) general maturity certificate","24","","",""
"No, never","2005","direct migration background","(2c_voc) vocational maturity certificate","64","0.321473263919354","0.251877797186233","0.391068730652475"
"No, never","2005","direct migration background","(3a) lower tertiary education","19","","",""
"No, never","2005","direct migration background","(3b) higher tertiary education","69","0.409152002506139","0.334803251924507","0.48350075308777"
"No, never","2005","indirect migration background","(0) in school","3","","",""
"No, never","2005","indirect migration background","(1a) inadequately completed","2","","",""
"No, never","2005","indirect migration background","(1b) general elementary school","29","","",""
"No, never","2005","indirect migration background","(1c) basic vocational qualification","32","0.29822108165075","0.206227904602738","0.390214258698762"
"No, never","2005","indirect migration background","(2b) intermediate general qualification","20","","",""
"No, never","2005","indirect migration background","(2a) intermediate vocational","41","0.3741001283782","0.278296620099088","0.469903636657311"
"No, never","2005","indirect migration background","(2c_gen) general maturity certificate","21","","",""
"No, never","2005","indirect migration background","(2c_voc) vocational maturity certificate","21","","",""
"No, never","2005","indirect migration background","(3a) lower tertiary education","3","","",""
"No, never","2005","indirect migration background","(3b) higher tertiary education","12","","",""
"Yes, every week","2005","no migration background","(0) in school","12","","",""
"Yes, every week","2005","no migration background","(1a) inadequately completed","8","","",""
"Yes, every week","2005","no migration background","(1b) general elementary school","52","0.193645156238229","0.150946268653734","0.236344043822724"
"Yes, every week","2005","no migration background","(1c) basic vocational qualification","363","0.177064197504044","0.160592178552087","0.193536216456"
"Yes, every week","2005","no migration background","(2b) intermediate general qualification","39","0.190058777581287","0.142820302294702","0.237297252867872"
"Yes, every week","2005","no migration background","(2a) intermediate vocational","393","0.136718561093839","0.124657941179233","0.148779181008446"
"Yes, every week","2005","no migration background","(2c_gen) general maturity certificate","42","0.178075490592346","0.132940683534302","0.22321029765039"
"Yes, every week","2005","no migration background","(2c_voc) vocational maturity certificate","66","0.085279764044824","0.0663583974323004","0.104201130657348"
"Yes, every week","2005","no migration background","(3a) lower tertiary education","132","0.126550494282852","0.106479050647735","0.146621937917969"
"Yes, every week","2005","no migration background","(3b) higher tertiary education","255","0.162386662519132","0.14439965990726","0.180373665131003"
"Yes, every week","2005","direct migration background","(0) in school","2","","",""
"Yes, every week","2005","direct migration background","(1a) inadequately completed","6","","",""
"Yes, every week","2005","direct migration background","(1b) general elementary school","26","","",""
