"plb0218","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","in school","","","",""
"No, never","2005","lower secondary degree","inadequately","","","",""
"No, never","2005","lower secondary degree","general elemantary","208","0.415152761084679","0.369826974260212","0.460478547909146"
"No, never","2005","lower secondary degree","middle vocational","762","0.361271891492104","0.340866949661764","0.381676833322443"
"No, never","2005","lower secondary degree","vocational + Abi","4","","",""
"No, never","2005","lower secondary degree","higher vocational","49","0.241390186690977","0.184971757840677","0.297808615541276"
"No, never","2005","lower secondary degree","higher education","13","","",""
"No, never","2005","secondary school degree","in school","","","",""
"No, never","2005","secondary school degree","inadequately","","","",""
"No, never","2005","secondary school degree","general elemantary","155","0.43536154037974","0.382109502421417","0.488613578338062"
"No, never","2005","secondary school degree","middle vocational","1045","0.34853644719789","0.330886710251172","0.366186184144609"
"No, never","2005","secondary school degree","vocational + Abi","6","","",""
"No, never","2005","secondary school degree","higher vocational","147","0.261251482626017","0.222935488765635","0.299567476486399"
"No, never","2005","secondary school degree","higher education","168","0.380148052489187","0.333834058438422","0.426462046539951"
"No, never","2005","college entrance qualification","in school","","","",""
"No, never","2005","college entrance qualification","inadequately","","","",""
"No, never","2005","college entrance qualification","general elemantary","","","",""
"No, never","2005","college entrance qualification","middle vocational","153","0.439302288512472","0.386314076515117","0.492290500509827"
"No, never","2005","college entrance qualification","vocational + Abi","294","0.467781296142861","0.430056235425473","0.505506356860248"
"No, never","2005","college entrance qualification","higher vocational","103","0.423468552984644","0.362703579092981","0.484233526876306"
"No, never","2005","college entrance qualification","higher education","781","0.317805250025395","0.298943494814458","0.336667005236331"
"No, never","2005","Other degree","in school","","","",""
"No, never","2005","Other degree","inadequately","14","","",""
"No, never","2005","Other degree","general elemantary","69","0.535562588954451","0.448823482401532","0.622301695507371"
"No, never","2005","Other degree","middle vocational","86","0.39345730209124","0.327068334086814","0.459846270095667"
"No, never","2005","Other degree","vocational + Abi","32","0.326739703677664","0.220592167837946","0.432887239517382"
"No, never","2005","Other degree","higher vocational","8","","",""
"No, never","2005","Other degree","higher education","48","0.456351568038992","0.364514562893297","0.548188573184687"
"No, never","2005","no degree/no degree yet","in school","16","","",""
"No, never","2005","no degree/no degree yet","inadequately","28","","",""
"No, never","2005","no degree/no degree yet","general elemantary","","","",""
"No, never","2005","no degree/no degree yet","middle vocational","5","","",""
"No, never","2005","no degree/no degree yet","vocational + Abi","","","",""
"No, never","2005","no degree/no degree yet","higher vocational","","","",""
"No, never","2005","no degree/no degree yet","higher education","","","",""
"Yes, every week","2005","lower secondary degree","in school","","","",""
"Yes, every week","2005","lower secondary degree","inadequately","","","",""
"Yes, every week","2005","lower secondary degree","general elemantary","71","0.19380712804904","0.157447074466329","0.23016718163175"
"Yes, every week","2005","lower secondary degree","middle vocational","348","0.166995279800895","0.151152328422932","0.182838231178857"
"Yes, every week","2005","lower secondary degree","vocational + Abi","2","","",""
"Yes, every week","2005","lower secondary degree","higher vocational","50","0.234641221246941","0.178770195677732","0.29051224681615"
